Store,User ID,Store Rank
1340,r0p05ap,2
722,g0h013d,2
856,JPC004X,2
3748,d0m0h0b,2
1373,f0c0596,2
2513,t0d08ac,2
1122,TAS00BQ,2
1400,jtmillw,2
5390,jmb00sd,2
2732,R0A00TO,2
515,CLC00EH,2
1070,wabyers,2
2584,BLP005C,2
615,laguido,2
1363,CLRENNI,2
5275,z0s012f,2
3462,NSHUTCH,2
4144,j0s19ub,2
1586,NAHOLLI,2
1403,DGHALLM,2
2811,abj001r,2
3,mfr0025,2
1367,c0c0jq6,2
5812,DAY001G,2
727,ABECKOM,2
928,g0m0857,2
800,b0d09h6,2
705,b0f05hw,2
697,d0e01ib,2
4262,SIDEJES,2
767,slt008l,2
836,maschul,2
2920,m0m047e,2
2695,srh00cj,2
2843,rms009c,2
1283,CAC00U6,2
551,smb00sm,2
889,CSS009H,2
1297,p0r01on,2
1960,anvilli,2
1079,DDSYLVE,2
1213,e0f01dl,2
582,a0f04tv,2
1205,MFPRUET,2
1029,daproul,2
2626,m0g0b2i,2
1172,BEBEDFO,2
613,AAA00IR,2
1225,BEBREWE,2
779,k0n03gy,2
2796,r0g0767,2
5964,W0M01K0,2
3207,j0r0mw7,2
6978,DEMCCLE,2
977,DPHUNT,2
4368,MMM00QL,2
960,jcs00bn,2
3702,t0h01iy,2
1072,t0b0f1n,2
5054,UTBEMBE,2
952,d0m0ggu,2
1083,MNC000V,2
725,weallbr,2
1219,m0w0exg,2
1006,c0a04mu,2
3877,ehampto,2
994,DJWITTB,2
7194,M0J018Z,2
1090,AMR00NA,2
843,c0w0cpo,2
5266,KDB009O,2
3308,NMMOSLE,2
7245,R0B04Y4,2
5797,CDB0077,2
1444,jwm0033,2
5037,JAMERKE,2
899,pmr001r,2
3372,n0t00bg,2
959,SLV001X,2
1513,jff000p,2
588,s0s0211,2
579,b0b04bt,2
4681,PMCIRAN,2
6887,drp008j,2
1130,t0r018r,2
4583,JMS00PA,2
396,l0b034f,2
6879,k0j0b7h,2
1037,c0o010c,2
4334,RDF003B,2
1663,BSB0053,2
2929,l0t0199,2
1795,r0p07mw,2
3191,RLH00GD,2
2928,R0C01J2,2
605,c0h0coj,2
881,pabrewi,2
1286,j0l08hf,2
624,JSCOCKR,2
1011,CSPRYOR,2
6576,r0h0bgj,2
644,AEJ000T,2
1270,a0m0bm2,2
1382,JDJ00DL,2
2265,JSDEADW,2
795,LJR006U,2
1748,jkh005v,2
4273,srbowen,2
4487,CDGOMIL,2
514,aph003f,2
1359,c0t0d1z,2
3367,k0l0646,2
1392,jan002h,2
585,HMMCMAN,2
2348,lkp001p,2
3222,MHMERED,2
4593,r0m0p8k,2
1774,r0j00r1,2
4420,b0m0e2p,2
625,KAHOWAR,2
642,whpower,2
1261,cahorst,2
4521,GWLINGL,2
1358,t0s02un,2
1767,bgm000m,2
1146,DVH000D,2
1155,DMP0051,2
1123,S0N01NX,2
586,t0w080r,2
4664,r0k05zh,2
628,TLGRANT,2
6929,TMKARL,2
2688,p0p04pj,2
2883,MSK0038,2
807,CTIPPEC,2
2973,GJM002Z,2
5359,TMS0084,2
5987,RJRUSH,2
220,CLO003V,2
896,e0n00qw,2
3224,KLW00HB,2
1044,JRW00HH,2
789,C0M08DJ,2
251,RJBARKL,2
5191,CRG008O,2
610,JMB012W,2
5810,k0b09os,2
467,e0a02mr,2
3433,rmhollo,2
3432,jdj008v,2
516,damasci,2
1216,dmfenim,2
827,AMT00FM,2
5288,CGBYRD,2
6467,sba000m,2
5210,t0j02yg,2
3284,H0E004Q,2
421,z0m04c0,2
565,NOREIMI,2
2086,d0b05um,2
353,JLCALHO,2
5673,JGW0034,2
4240,tnt003d,2
284,rij000f,2
561,DSADLER,2
5211,WWKAAKE,2
3631,feb000a,2
1117,a0k03px,2
5672,J0L0CYH,2
2918,ahojabr,2
5389,DEVICKE,2
248,AJSTEEN,2
4165,m0w04pj,2
1801,KJH00A0,2
1800,j0e051r,2
211,CMF0084,2
5866,j0b06gt,2
5764,k0l0ebn,2
2105,mtiqbal,2
6963,C0P01G4,2
1254,JMG00O8,2
5889,cycruz,2
320,d0c0l4f,2
8930,yismail,2
260,bjc00a9,2
746,i0p030y,2
2978,a0j087x,2
5823,JES00IJ,2
412,TWC001Z,2
5147,lrn000p,2
5092,J0T02EP,2
1022,smelio,2
1150,anr001u,2
3297,A0B09BL,2
4183,A0J03U3,2
5959,jcb00by,2
2765,V0V00H7,2
452,m0r021s,2
1103,J0Q00NS,2
595,j0t01w2,2
322,P0A00ZQ,2
1042,a0n099t,2
482,hlhanne,2
846,KLDAVID,2
446,dmb00bz,2
5165,BIBUENO,2
5612,a0v0b1d,2
293,e0g0446,2
473,R0L03NU,2
808,BPROHDE,2
297,h0r05n5,2
321,LTT000X,2
4112,CJCERVA,2
567,w0s02lr,2
440,d0w0ldq,2
1062,tla0042,2
752,m0b01fl,2
951,A0D04XF,2
397,j0g06sq,2
5460,TAC0056,2
5091,smdilwo,2
1296,RCI0006,2
872,A0S0CG9,2
5809,v0r02hj,2
429,l0t0532,2
3296,keo000y,2
1409,JJJARQU,2
463,mps0023,2
529,n0b01l7,2
527,A0R02CP,2
5116,TAP003V,2
456,TFGARCI,2
461,E0P01WO,2
2612,FAM002T,2
813,PGLASSC,2
782,L0M05ET,2
900,TRGEORG,2
508,TLBURRE,2
554,fjv000z,2
3763,agjohns,2
901,TJWOODS,2
3623,j0c11et,2
1232,SJARCHE,2
3518,a0e05t3,2
999,CHS0013,2
