STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,19,0,9,102,39
2,94,20,94,766,376
3,5,0,5,314,27
4,37,0,96,348,174
5,9,0,18,129,48
7,19,0,9,76,38
8,7,0,8,82,41
9,11,3,3,56,28
10,126,10,100,838,417
11,103,9,105,828,414
12,7,0,11,106,39
13,31,0,10,110,54
14,113,0,38,306,150
15,107,0,69,843,371
16,24,11,8,173,86
17,3,5,5,188,61
18,0,0,0,0,0
19,68,0,90,308,151
20,9,2,12,266,133
21,10,0,19,244,120
22,3,0,14,96,46
23,4,0,13,70,35
24,0,0,0,0,2
25,2,0,7,54,27
26,13,2,8,100,49
27,106,0,22,278,139
28,4,0,11,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,10,4,2,52,26
33,0,0,0,0,1
34,0,0,0,0,8
35,31,4,10,89,42
36,1,0,21,86,45
37,92,0,56,328,152
38,11,0,5,52,25
39,13,1,7,79,39
40,10,0,9,84,40
41,14,12,6,95,32
42,6,0,5,60,28
43,27,5,16,82,43
44,1,0,0,0,0
45,9,0,7,50,25
46,48,0,48,246,123
47,1,0,4,13,6
48,7,0,7,72,36
49,16,0,9,134,67
50,2,0,12,74,36
51,0,0,0,0,0
52,22,0,41,119,97
54,9,0,4,58,27
55,0,0,0,0,5
56,15,0,13,100,99
57,0,0,0,0,10
58,55,3,98,451,284
59,11,78,13,92,51
60,2,1,12,77,29
61,24,5,16,91,41
62,0,0,0,0,1
63,11,2,13,76,38
64,0,0,0,0,1
65,21,0,24,162,67
66,83,12,75,331,210
67,3,12,21,143,143
68,0,0,0,0,0
69,25,21,18,110,104
70,0,0,0,0,0
71,9,0,21,89,42
72,10,0,7,45,30
73,1,2,6,33,15
74,0,0,0,0,1
75,16,0,9,65,29
76,13,14,18,142,119
77,16,0,12,92,56
78,23,0,8,110,64
79,77,11,42,278,129
80,0,0,0,0,0
81,7,0,5,53,30
82,43,33,4,104,51
83,0,0,0,0,1
85,7,0,11,46,32
86,3,0,8,79,72
87,9,0,4,38,23
88,5,0,5,119,32
89,127,3,45,509,266
90,76,2,54,174,135
91,0,0,0,0,0
92,6,0,16,88,54
93,13,0,2,59,13
94,0,0,0,0,1
95,93,1,49,287,159
96,11,1,8,56,21
97,0,0,0,0,1
98,5,0,5,38,19
99,13,0,4,61,28
100,12,0,25,268,90
101,114,7,45,473,250
102,0,0,0,0,0
103,5,0,16,105,17
104,17,4,6,57,30
105,5,1,20,80,47
106,0,0,0,0,0
107,16,6,11,103,37
108,10,0,3,40,21
109,12,2,8,134,38
110,0,0,0,0,-1
111,0,0,0,0,0
112,6,0,6,46,27
113,19,0,21,87,38
114,12,0,5,99,48
115,1,0,0,0,1
116,0,0,0,0,1
117,151,2,24,313,187
118,11,0,2,52,7
119,82,1,71,532,268
120,0,0,0,0,0
121,7,0,8,49,25
122,4,0,6,83,35
123,0,0,0,0,3
124,0,0,0,0,0
125,17,1,10,78,79
126,10,0,5,38,30
127,14,0,9,63,31
128,8,0,9,55,34
129,83,0,12,115,67
130,1,0,0,0,0
131,39,0,49,180,81
132,0,0,0,0,0
133,0,0,0,0,1
134,98,0,4,143,74
135,26,0,9,127,69
136,0,0,0,0,2
137,13,2,11,95,58
138,85,0,15,150,79
139,27,0,10,87,47
140,16,2,25,130,65
141,10,0,8,57,38
143,128,3,27,231,196
144,27,0,18,150,105
145,0,0,0,0,0
146,15,0,14,98,50
147,58,0,33,187,103
148,58,0,41,158,67
149,8,0,5,50,28
150,0,0,0,0,0
151,31,0,26,106,103
152,33,33,17,182,132
153,14,0,4,55,31
154,141,2,19,295,180
155,10,0,8,66,36
157,1,0,12,53,35
158,36,0,14,142,73
159,14,0,4,62,31
160,61,115,124,731,376
161,148,5,8,112,90
162,0,0,0,0,0
163,24,0,19,140,65
164,0,0,0,0,0
165,17,0,7,84,41
166,12,0,18,126,125
167,11,0,8,41,37
168,3,49,9,153,34
169,0,0,0,0,2
170,10,0,5,48,20
171,0,0,0,0,1
172,12,0,5,117,39
173,15,0,6,78,42
174,1,0,8,32,3
175,0,0,0,0,0
176,0,0,0,0,0
177,181,2,26,212,139
178,0,0,0,0,50
179,8,0,13,91,60
180,18,5,13,134,72
181,7,0,5,50,15
182,24,2,4,94,41
183,0,0,0,0,0
184,10,1,11,80,31
185,43,0,13,145,73
186,5,1,14,80,30
188,26,28,1,147,48
189,25,0,20,97,48
190,14,0,0,35,14
192,12,3,11,89,49
194,18,0,1,79,8
195,10,1,8,92,25
196,3,7,10,35,18
197,0,0,0,0,0
198,0,0,0,0,0
199,18,0,2,0,72
200,0,0,0,0,0
201,0,0,0,0,-1
202,0,0,0,81,0
203,0,0,0,0,0
204,12,3,9,94,48
205,28,0,5,99,48
206,20,0,4,76,38
207,1,3,7,34,24
209,0,0,0,0,0
210,0,0,0,0,2
211,23,0,8,105,59
212,30,0,5,92,50
213,17,0,3,67,31
