Region,Market,Store Number,Total Five Star,AES,W+ Enrolled,Sales Comp,Controllable Profit,OPD Growth,Presub,Shrink
2,18,515,4.55,64.6%,73.11,5.6%,16.2%,20.7%,93.8%,-2.2%
2,18,1070,4.58,73.0%,51.47,5.4%,18.6%,26.9%,94.2%,-1.3%
2,18,1122,4.64,67.6%,78.24,6.2%,15.6%,4.0%,93.2%,-2.0%
2,18,1403,4.57,63.3%,60.58,6.6%,17.8%,22.6%,91.6%,-1.3%
2,18,2513,4.62,68.8%,60.14,10.5%,17.6%,34.1%,95.8%,-1.2%
2,18,2753,4.67,61.0%,66.14,3.2%,14.3%,19.2%,96.1%,-1.2%
2,18,3485,4.68,73.3%,68.50,2.6%,19.8%,16.1%,94.3%,-1.0%
2,18,3874,4.66,70.7%,68.98,8.9%,17.4%,17.1%,93.6%,-1.7%
2,18,4616,4.6,72.0%,70.60,9.6%,17.0%,31.1%,95.4%,-1.3%
2,18,5786,4.66,67.8%,78.75,11.5%,18.3%,40.4%,95.9%,-1.1%
2,18,5812,4.63,70.8%,77.24,7.2%,18.9%,18.2%,95.1%,-1.4%
2,19,745,4.54,65.9%,58.73,4.0%,14.9%,39.4%,93.3%,
2,19,3201,4.55,72.2%,50.63,3.0%,13.7%,20.5%,91.5%,-2.2%
2,19,3401,4.41,73.3%,81.31,2.8%,7.6%,30.2%,88.5%,-5.7%
2,19,3402,4.46,64.2%,68.23,-6.7%,15.0%,7.2%,89.0%,-3.2%
2,19,3609,4.56,64.2%,62.99,-3.3%,13.1%,14.7%,91.4%,-2.5%
2,19,3709,4.53,73.7%,62.78,4.7%,12.3%,43.1%,90.7%,-2.3%
2,19,5709,4.54,64.4%,59.89,7.7%,15.7%,41.4%,91.2%,-2.2%
2,19,6998,4.6,65.3%,37.78,17.9%,9.9%,134.0%,84.9%,-4.8%
2,20,1184,4.46,71.3%,60.53,8.7%,13.7%,91.5%,94.0%,-3.0%
2,20,1340,4.4,68.3%,66.67,5.5%,11.0%,73.0%,91.6%,-4.5%
2,20,2475,4.5,71.7%,85.75,1.9%,14.5%,39.2%,90.9%,-1.7%
2,20,2584,4.55,72.9%,92.05,6.7%,13.3%,62.2%,94.0%,-3.2%
2,20,3067,4.5,62.4%,67.33,3.9%,13.6%,22.9%,94.5%,-3.8%
2,20,3118,4.43,64.7%,53.21,11.5%,16.4%,63.3%,91.2%,-3.5%
2,20,3188,4.52,74.9%,67.81,6.7%,14.4%,39.1%,92.9%,-3.0%
2,20,3710,4.52,73.7%,87.76,10.0%,12.2%,102.7%,92.4%,-3.3%
2,20,4472,4.55,65.7%,80.66,7.3%,13.5%,59.9%,92.8%,-3.2%
2,21,3,4.46,59.8%,52.49,5.8%,18.1%,24.8%,93.8%,-1.4%
2,21,510,4.47,74.1%,63.53,5.2%,15.4%,49.4%,94.4%,-2.9%
2,21,1111,4.58,71.0%,95.25,5.6%,16.7%,24.0%,93.6%,
2,21,1121,4.56,72.1%,63.58,6.6%,18.5%,28.0%,95.7%,-1.8%
2,21,1363,4.6,68.2%,64.06,7.9%,15.9%,21.8%,95.5%,-1.4%
2,21,1400,4.48,62.6%,54.03,0.7%,18.3%,43.9%,90.6%,-1.3%
2,21,1701,4.73,74.1%,91.20,7.2%,13.5%,45.8%,95.8%,0.0%
2,21,2811,4.6,68.3%,75.86,6.7%,16.8%,31.8%,94.9%,-1.6%
2,21,3627,4.41,68.8%,73.58,0.2%,15.1%,-12.4%,91.0%,-3.8%
2,21,5482,4.68,71.4%,92.03,8.9%,15.0%,130.1%,96.5%,-0.8%
2,22,594,4.47,66.8%,46.83,-1.2%,15.0%,25.9%,90.4%,-2.5%
2,22,722,4.52,60.7%,82.69,8.3%,16.3%,31.9%,92.6%,-1.8%
2,22,727,4.49,75.7%,82.30,11.0%,14.7%,37.2%,93.7%,-2.6%
2,22,787,4.48,71.0%,72.02,10.3%,12.7%,69.3%,94.3%,-3.2%
2,22,855,4.47,67.3%,41.20,2.9%,10.9%,124.4%,89.9%,-3.7%
2,22,856,4.52,71.6%,84.49,10.8%,17.9%,37.9%,95.8%,-1.3%
2,22,1047,4.55,69.8%,73.30,0.6%,12.3%,26.2%,89.4%,-3.2%
2,22,1488,4.45,67.7%,64.84,5.2%,15.6%,56.6%,91.0%,-2.7%
2,22,2732,4.47,62.7%,79.03,6.3%,16.1%,47.8%,92.7%,-2.0%
2,22,4409,4.56,63.0%,83.91,9.4%,15.9%,34.8%,94.1%,-1.9%
2,23,1181,4.52,67.8%,63.90,10.9%,14.2%,83.3%,89.6%,-5.4%
2,23,1578,4.47,79.0%,48.60,3.8%,14.2%,28.1%,91.1%,-3.9%
2,23,1766,4.56,59.1%,83.92,7.7%,13.5%,58.4%,95.2%,-2.2%
2,23,2360,4.45,75.5%,50.49,4.3%,8.9%,53.8%,91.0%,-6.0%
2,23,3205,4.46,68.8%,79.49,4.6%,13.9%,52.3%,92.9%,-2.2%
2,23,3621,4.45,81.3%,46.60,11.9%,14.4%,57.7%,91.3%,
