Store Number,City and State ,Supplier Name,Supplier Contact Number,Date Scheduled to Transition
2367,"PINE CITY, MN",PPG,724-816-5662,7/16/2023
1634,LITTLE FALLS MN,PPG,724-816-5662,7/16/2023
3875,"WAHPETON, ND",PPG,724-816-5662,7/16/2023
1654,BAXTER MN,PPG,724-816-5662,7/16/2023
1534,BISMARCK ND,PPG,724-816-5662,7/16/2023
1649,JAMESTOWN ND,PPG,724-816-5662,7/16/2023
1633,ST CLOUD MN,PPG,724-816-5662,7/16/2023
1567,DICKINSON ND,PPG,724-816-5662,7/16/2023
2033,MANDAN BISMARCK ND,PPG,724-816-5662,7/16/2023
3648,"BISMARCK, ND",PPG,724-816-5662,7/16/2023
3404,ROSEVILLE MN,PPG,724-816-5662,7/16/2023
5977,BURNSVILLE MN,PPG,724-816-5662,7/16/2023
927,PLAINVIEW TX,PPG,724-816-5662,7/17/2023
851,"RUIDOSO DOWNS, NM",PPG,724-816-5662,7/17/2023
822,AMARILLO TX,PPG,724-816-5662,7/17/2023
4341,"TRUTH OR CONSEQUENCES, NM",PPG,724-816-5662,7/17/2023
1272,SNYDER TX,PPG,724-816-5662,7/17/2023
611,ROSWELL NM,PPG,724-816-5662,7/17/2023
1306,ALAMOGORDO NM,PPG,724-816-5662,7/17/2023
755,AMARILLO TX,PPG,724-816-5662,7/17/2023
3427,ARTESIA NM,PPG,724-816-5662,7/17/2023
3805,"WOODLAND PARK, CO",PPG,724-816-5662,7/17/2023
5492,"SOCORRO, NM",PPG,724-816-5662,7/17/2023
1273,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
793,CANYON TX,PPG,724-816-5662,7/17/2023
945,LUBBOCK TX (W),PPG,724-816-5662,7/17/2023
2653,"PORTALES, NM",PPG,724-816-5662,7/17/2023
3826,"LUBBOCK (TXTECH), TX",PPG,724-816-5662,7/17/2023
821,CLOVIS NM,PPG,724-816-5662,7/17/2023
549,HOBBS NM,PPG,724-816-5662,7/17/2023
1585,NORTH PLATTE NE,PPG,724-816-5662,7/17/2023
626,SEMINOLE TX,PPG,724-816-5662,7/17/2023
400,CONROE TX,PPG,724-816-5662,7/17/2023
861,LUBBOCK TX,PPG,724-816-5662,7/17/2023
4299,"LUBBOCK (SW), TX",PPG,724-816-5662,7/17/2023
5170,SIDNEY NE,PPG,724-816-5662,7/17/2023
6898,LUBBOCK QUAKER TX,PPG,724-816-5662,7/17/2023
7129,OGALLALA NE,PPG,724-816-5662,7/17/2023
3390,WOODLAND (W) TX,PPG,724-816-5662,7/17/2023
3018,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
3382,PUEBLO WEST CO,PPG,724-816-5662,7/18/2023
842,"PUEBLO (N), CO",PPG,724-816-5662,7/18/2023
1001,"PUEBLO, CO",PPG,724-816-5662,7/18/2023
2579,"CHADRON, NE",PPG,724-816-5662,7/18/2023
867,SCOTTSBLUFF NE,PPG,724-816-5662,7/18/2023
3213,"THE WOODLANDS, TX",PPG,724-816-5662,7/18/2023
602,"THE WOODLANDS,TX",PPG,724-816-5662,7/18/2023
1384,LA JUNTA CO,PPG,724-816-5662,7/19/2023
2672,"LAMAR, CO",PPG,724-816-5662,7/19/2023
1543,SPEARFISH SD,PPG,724-816-5662,7/19/2023
1604,RAPID CITY SD,PPG,724-816-5662,7/19/2023
3872,"RAPID CITY (S), SD",PPG,724-816-5662,7/19/2023
1685,PIERRE SD,PPG,724-816-5662,7/19/2023
5091,HOUSTON ROSEHILL TX,PPG,724-816-5662,7/19/2023
951,HEMPSTEAD TX,PPG,724-816-5662,7/19/2023
1485,GILLETTE WY,PPG,724-816-5662,7/20/2023
921,SALIDA CO,PPG,724-816-5662,7/20/2023
1019,CANON CITY CO,PPG,724-816-5662,7/20/2023
5287,"SPRING, TX",PPG,724-816-5662,7/20/2023
351,TOMBALL TX,PPG,724-816-5662,7/20/2023
869,ALAMOSA CO,PPG,724-816-5662,7/21/2023
2608,"MILES CITY, MT",PPG,724-816-5662,7/21/2023
1565,WILLISTON ND,PPG,724-816-5662,7/21/2023
5003,PAGOSA SPRINGS CO,PPG,724-816-5662,7/21/2023
703,TOMBALL TX,PPG,724-816-5662,7/21/2023
5045,HOUSTON (SPG CYP) TX,PPG,724-816-5662,7/21/2023
4253,"SAUK CENTRE, MN",PPG,724-816-5662,7/23/2023
1535,SIOUX FALLS SD,PPG,724-816-5662,7/23/2023
1152,SIOUX CENTER IA,PPG,724-816-5662,7/23/2023
2352,"CAMBRIDGE, MN",PPG,724-816-5662,7/23/2023
4865,SIOUX FALLS N SD,PPG,724-816-5662,7/23/2023
1472,HASTINGS MN,PPG,724-816-5662,7/23/2023
2443,SIOUX FALLS S SD,PPG,724-816-5662,7/23/2023
2274,"FOREST LAKE, MN",PPG,724-816-5662,7/23/2023
3237,SIOUX FALLS SD,PPG,724-816-5662,7/23/2023
3088,ST CLOUD MN,PPG,724-816-5662,7/23/2023
5992,LAKEVILLE MN,PPG,724-816-5662,7/23/2023
1786,EAGAN MN,PPG,724-816-5662,7/23/2023
372,DODGE CITY KS,PPG,724-816-5662,7/24/2023
600,PAMPA TX,PPG,724-816-5662,7/24/2023
799,LIBERAL KS,PPG,724-816-5662,7/24/2023
3229,"VERNON, TX",PPG,724-816-5662,7/24/2023
2923,"BILLINGS, MT",PPG,724-816-5662,7/24/2023
812,DUMAS TX,PPG,724-816-5662,7/24/2023
3384,HEREFORD (NW) TX,PPG,724-816-5662,7/24/2023
1516,BORGER TX,PPG,724-816-5662,7/24/2023
1437,GUYMON OK,PPG,724-816-5662,7/24/2023
900,CHILDRESS TX,PPG,724-816-5662,7/24/2023
652,GARDEN CITY KS,PPG,724-816-5662,7/24/2023
1058,MONTROSE CO,PPG,724-816-5662,7/24/2023
1956,BILLINGS MT,PPG,724-816-5662,7/24/2023
5216,"AMARILLO, (NW) TX",PPG,724-816-5662,7/24/2023
4412,"LAUREL, MT",PPG,724-816-5662,7/24/2023
3596,"LOS LUNAS, NM",PPG,724-816-5662,7/24/2023
3732,"RIO RANCHO (W), NM",PPG,724-816-5662,7/24/2023
3383,"AMARILLO (SC), TX",PPG,724-816-5662,7/24/2023
3731,"BERNALILLO, NM",PPG,724-816-5662,7/24/2023
437,SEALY TX,PPG,724-816-5662,7/24/2023
1257,STAMFORD TX,PPG,724-816-5662,7/24/2023
3423,"SANTA FE (S), NM",PPG,724-816-5662,7/24/2023
849,HOUST/HUMBLE/ALBIDE,PPG,724-816-5662,7/24/2023
1550,GUNNISON CO,PPG,724-816-5662,7/24/2023
1280,GRAND JUNCTION CO,PPG,724-816-5662,7/25/2023
1457,RIVERTON WY,PPG,724-816-5662,7/25/2023
1778,CODY WY,PPG,724-816-5662,7/25/2023
5458,DELTA CO,PPG,724-816-5662,7/25/2023
5099,GRAND JUNCTION (W) CO,PPG,724-816-5662,7/25/2023
546,"RICHMOND, TX",PPG,724-816-5662,7/25/2023
4111,RICHMOND TX,PPG,724-816-5662,7/25/2023
5232,"RIFLE, CO",PPG,724-816-5662,7/26/2023
1617,CASPER WY,PPG,724-816-5662,7/26/2023
1095,GLENWOOD SPRINGS CO,PPG,724-816-5662,7/26/2023
1508,SHERIDAN WY,PPG,724-816-5662,7/26/2023
1067,HALLETSVILLE TX,PPG,724-816-5662,7/26/2023
772,HOUSTON (ALIEF) TX,PPG,724-816-5662,7/26/2023
2505,"MISSOURI CITY, TX",PPG,724-816-5662,7/27/2023
2993,"SUGAR LAND, TX",PPG,724-816-5662,7/27/2023
986,FRISCO CO,PPG,724-816-5662,7/27/2023
1199,AVON CO,PPG,724-816-5662,7/27/2023
2293,"GOLDEN, CO",PPG,724-816-5662,7/28/2023
