DC,Wk 3,Wk 4,Wk 5,Wk 6,Wk 7,Wk 8,Wk 9,Wk 10,Wk 11,Wk 12,Grand Total
6042,"2,049","2,120","2,380","2,471","2,237","1,992","1,911","1,444","1,946","1,985","20,535"
6047,"5,941","6,161","6,690","6,407","5,885","5,359","5,353","4,707","5,187","4,959","56,649"
6055,"2,929","3,210","3,231","3,129","2,849","2,630","2,646","1,895","2,727","2,895","28,141"
6056,"1,535","1,638","1,754","1,828","1,651","1,543","1,509","1,018","1,512","1,551","15,539"
6057,"3,539","3,946","4,258","4,457","4,027","3,628","3,440","2,771","3,489","3,487","37,042"
6059,"3,819","3,990","4,593","4,491","4,082","3,565","3,480","2,913","3,332","3,348","37,613"
6064,"3,851","3,500","3,687","3,650","3,604","3,309","3,249","2,239","3,340","3,350","33,779"
6065,"2,885","3,115","3,446","3,358","3,122","2,805","2,775","2,125","2,668","2,684","28,983"
6071,"3,785","4,161","4,398","4,287","3,887","3,574","3,604","2,635","3,767","4,034","38,132"
6072,"4,077","4,131","4,298","4,501","4,162","3,731","3,524","2,656","3,559","3,809","38,448"
6073,"3,297","3,557","3,653","3,644","3,252","2,897","2,793","1,999","2,963","3,128","31,183"
6082,"5,113","5,154","5,490","5,836","5,286","4,873","4,590","3,538","4,902","5,142","49,924"
6083,"3,942","4,162","4,576","4,706","4,696","4,441","4,474","2,619","4,288","4,049","41,953"
6084,"3,563","4,325","4,953","4,970","4,656","4,113","4,083","3,492","4,302","3,916","42,373"
6085,"5,049","5,875","6,176","5,766","5,349","4,729","4,807","3,893","4,802","4,407","50,853"
6090,"3,728","3,532","3,709","3,641","3,219","2,941","2,882","2,023","3,089","3,131","31,895"
6095,"5,293","4,427","4,333","4,399","4,061","3,784","3,640","2,739","3,837","4,147","40,660"
6096,"4,609","4,225","4,550","4,905","4,299","3,886","3,880","3,347","3,917","3,775","41,393"
6097,"5,272","5,023","5,413","5,724","5,052","4,595","4,424","3,678","4,373","4,412","47,966"
6099,"3,387","3,748","3,967","4,208","3,888","3,590","3,406","2,575","3,544","3,802","36,115"
7010,"3,960","4,499","5,124","5,109","4,749","4,274","4,062","2,990","4,351","4,242","43,360"
7012,"4,034","3,892","4,087","4,066","3,574","3,199","3,113","2,484","3,161","3,155","34,765"
7013,"3,912","3,746","4,045","3,993","3,661","3,323","3,225","2,298","3,509","3,486","35,198"
7014,"3,862","4,028","4,312","4,291","3,767","3,383","3,379","2,471","3,462","3,589","36,544"
7015,"3,966","4,132","4,718","4,754","4,308","3,799","3,674","2,698","3,707","3,827","39,583"
7016,"5,551","5,771","6,033","6,072","5,388","4,969","4,882","3,849","5,001","5,228","52,744"
7017,"5,921","6,669","7,409","7,295","6,683","6,152","6,146","5,401","5,731","5,595","63,002"
7018,"4,150","4,565","5,281","5,553","5,216","4,537","4,476","3,518","4,127","3,532","44,955"
7019,"3,252","3,494","3,746","3,692","3,356","3,005","2,973","2,165","3,082","3,247","32,012"
7021,"3,760","4,060","4,266","4,200","3,731","3,287","3,144","2,112","3,545","3,701","35,806"
7023,"2,778","3,094","3,295","3,182","2,866","2,586","2,614","1,901","2,873","3,051","28,240"
7024,"4,601","5,445","6,064","5,941","5,244","4,582","4,558","3,806","4,694","4,457","49,392"
7030,"5,447","5,415","6,179","6,289","5,537","4,893","4,778","3,982","4,720","4,899","52,139"
7048,"3,803","2,841","3,090","3,022","2,627","2,350","2,251","1,514","2,619","2,760","26,877"
7055,"6,590","6,695","7,173","6,848","6,184","5,685","5,567","4,260","5,458","5,393","59,853"
7077,"2,088","2,437","2,649","2,914","2,580","2,164","2,155","1,693","2,458","2,322","23,460"
6062,"5,023","4,526","4,532","4,623","4,175","3,909","3,730","3,067","3,790","3,943","41,318"
6074,"4,744","5,490","5,813","5,725","5,167","4,632","4,621","3,817","4,807","4,641","49,457"
6077,"5,520","6,183","7,072","6,769","6,220","5,425","5,326","4,509","5,093","5,061","57,178"
6091,"2,345","2,194","2,294","2,218","1,943","1,760","1,704","1,118","1,918","1,971","19,465"
6858,"3,387","3,084","3,172","3,410","2,985","2,674","2,715","1,895","2,813","2,855","28,990"
7079,"4,372","3,830","4,256","4,162","3,881","3,419","3,228","2,606","3,271","2,987","36,012"
7084,"3,113","3,327","3,626","3,567","3,276","2,793","2,635","1,836","3,040","3,145","30,358"
8851,"1,932","2,190","2,269","2,159","1,983","1,906","1,871","1,437","2,040","2,105","19,892"
8852,"1,959","2,255","2,561","3,228","2,888","2,456","2,451","1,557","2,635","2,692","24,682"
