Store Number,Format,Audit Date Range
5186,WM Supercenter,June 5-16
2206,Wal-Mart,June 5-16
2527,Wal-Mart,June 5-16
5886,WM Supercenter,June 5-16
3084,Neighborhood Market,June 5-16
5996,Wal-Mart,June 5-16
1700,WM Supercenter,June 5-16
3177,WM Supercenter,June 5-16
953,WM Supercenter,June 5-16
1691,Wal-Mart,June 5-16
2855,WM Supercenter,June 5-16
5308,Neighborhood Market,June 5-16
2279,WM Supercenter,June 5-16
3490,Wal-Mart,June 5-16
5382,WM Supercenter,June 5-16
1875,WM Supercenter,June 5-16
3535,WM Supercenter,June 5-16
1930,Wal-Mart,June 5-16
2883,WM Supercenter,June 2
4219,WM Supercenter,June 5-16
4130,WM Supercenter,June 5-16
404,WM Supercenter,June 5-16
1129,WM Supercenter,June 5-16
1185,WM Supercenter,June 5-16
1253,WM Supercenter,June 5-16
2133,WM Supercenter,June 5-16
3569,WM Supercenter,June 5-16
4554,WM Supercenter,June 5-16
5317,WM Supercenter,June 5-16
2662,WM Supercenter,June 5-16
1499,WM Supercenter,June 5-16
2083,WM Supercenter,June 5-16
3215,WM Supercenter,June 5-16
1351,WM Supercenter,June 5-16
