Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
6,5959,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202425,19,90.80%,90.80%,8.8,85.30%,85.60%,97.00%,95.20%
6,567,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202425,49,73.00%,98.70%,4.9,75.00%,79.20%,52.40%,92.30%
19,3476,UBER,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202425,48,91.40%,97.00%,9.7,94.10%,90.40%,89.60%,91.80%
20,2540,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202425,4,92.20%,98.60%,9.7,95.00%,89.00%,95.40%,88.90%
20,2281,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202425,4,84.20%,99.00%,9.5,83.40%,82.10%,84.80%,86.90%
20,2792,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202425,21,94.80%,99.30%,5.4,98.40%,98.30%,96.00%,83.00%
40,44,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202425,49,88.00%,99.30%,4.1,85.20%,90.90%,87.80%,87.50%
21,5203,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202425,7,90.50%,94.00%,7.4,91.10%,90.60%,93.50%,86.90%
53,3245,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202425,6,66.00%,95.00%,5.7,74.10%,72.70%,48.40%,61.40%
72,5653,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202425,6,86.20%,98.20%,9.4,92.80%,83.60%,82.80%,86.80%
12,1694,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202425,2,83.40%,99.40%,8.5,86.90%,84.50%,78.90%,82.90%
12,2749,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202425,28,77.70%,93.80%,6.9,86.90%,75.70%,65.60%,80.70%
11,677,UBER,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202425,4,95.90%,99.50%,9.9,100.00%,91.20%,90.90%,81.80%
52,647,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202425,6,89.30%,99.10%,6.3,87.80%,91.30%,92.50%,85.90%
