STORE LIST,"LITTLE PEOPLE BARBIE
652698477","LITTLE PEOPLE VEHICLES
654041571","Laugn & Learn Remote
570224092"
47,X,,X
114,X,,
133,,,X
134,,X,
157,X,X,
242,,,X
251,,,X
318,,,X
340,X,,
425,X,,
505,X,,
507,X,,X
689,X,,
714,,X,
715,,,X
721,,,X
727,X,,
781,,,X
813,X,,
852,X,,
894,X,,X
959,X,,
972,X,,
1071,X,,X
1085,X,,
1118,,,X
1234,X,,
1277,,,X
1318,,,X
1353,X,,X
1381,,,X
1581,,,X
1597,,,X
1634,X,,
1690,X,X,
1701,,,X
1757,X,,
1807,X,,
1854,X,X,X
1898,X,X,
2026,,X,
2067,X,X,X
2072,X,X,X
2085,X,X,X
2091,X,,
2139,X,,
2155,,X,
2177,X,,
2180,X,X,
2240,X,X,X
2287,X,X,X
2302,X,X,X
2449,X,X,X
2452,X,,
2594,,,X
2596,,X,X
2610,,,X
2721,X,,
2860,,,X
2871,X,,
2926,X,,X
3035,,,X
3058,X,,X
3228,X,X,
3243,X,,
3350,X,,
3384,X,,
3463,X,,
3526,X,,
3569,X,,
3700,X,,
3716,X,,
3734,,,X
3837,,,X
4208,X,,
4299,X,X,
4321,,,X
4405,X,,
4474,X,X,X
4696,X,,
5066,,,X
5157,X,,
5195,X,,
5329,X,,
5345,,,X
5346,,,X
5352,,,X
5802,X,,
7087,X,,
7178,,,X
7185,X,,
7326,X,,
