Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL
1610,2/28/2025,285926219481,100 Elmridge Center Dr,Greece,NY,14626,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926219481
1673,2/28/2025,285926216910,4238 Recreation Dr,Canandaigua,NY,14424,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926216910
1831,2/28/2025,285926218441,8770 Dell Center Drive,Liverpool,NY,13090,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926218441
1744,2/28/2025,285926218360,1990 Brandt Point Drive,Webster,NY,14580,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926218360
2107,2/28/2025,285926215718,5735 South Transit Road,Lockport,NY,14094,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926215718
2355,2/28/2025,285926218636,5033 Transit Rd,Williamsville,NY,14221,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926218636
1705,2/28/2025,285926218670,1860 N Road,Waterloo,NY,13165,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926218670
2285,2/28/2025,285926218566,103 N Caroline St,Herkimer,NY,13350,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926218566
2444,2/28/2025,285926220511,2024 Genesee St,Oneida,NY,13421,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926220511
1813,2/28/2025,285926222444,6788 State Route 31 E,Newark,NY,14513,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222444
2120,2/28/2025,285926221893,5396 State Highway 12,Norwich,NY,13815,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221893
2859,2/28/2025,285926221286,2150 Chili Ave,Rochester,NY,14624,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221286
2056,2/28/2025,285926222319,16 Old Gick Rd,Saratoga Springs,NY,12866,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222319
1946,2/28/2025,285926226483,43 Stephenville St,Massena,NY,13662,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926226483
2785,2/28/2025,285926219643,441 Commerce Dr,Victor,NY,14564,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926219643
2164,2/28/2025,285926219264,317 S Cascade Dr,Springville,NY,14141,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926219264
2156,2/28/2025,285926216920,750 Middle Country Rd,Middle Island,NY,11953,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926216920
1997,2/28/2025,285926221058,800 Loudon Road,Latham,NY,12110,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221058
2262,2/28/2025,285926224220,5054 State Highway 23,Oneonta,NY,13820,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926224220
2097,2/28/2025,285926223234,460 Fairview Ave,Hudson,NY,12534,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926223234
2326,2/28/2025,285926228280,1000 State Route 36,Hornell,NY,14843,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926228280
2586,2/28/2025,285926220051,2500 Walden Ave,Cheektowaga,NY,14225,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926220051
1973,2/28/2025,285926223635,350 E Fairmount Ave,Lakewood,NY,14750,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926223635
2581,2/28/2025,285926224149,5399 W Genesee St,Camillus,NY,13031,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926224149
2146,2/28/2025,285926221908,101 Sanford Farms Shopping Ctr,Amsterdam,NY,12010,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221908
2992,2/28/2025,285926224550,3217 Silverback Ln,Painted Post,NY,14870,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926224550
1806,2/28/2025,285926221301,329 S Kingsboro Ave Ext,Gloversville,NY,12078,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221301
1871,2/28/2025,285926222433,20823 State Route 3,Watertown,NY,13601,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222433
2531,2/28/2025,285926224517,3133 E Main St,Mohegan Lake,NY,10547,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926224517
3332,2/28/2025,285926220408,1818 State Route #3,Fulton,NY,13069,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926220408
2911,2/28/2025,285926223727,3018 East Ave,Central Square,NY,13036,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926223727
2916,2/28/2025,285926219058,2465 Hempstead Tpke,East Meadow,NY,11554,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926219058
1926,2/28/2025,285926222617,341 State Route 104,Oswego,NY,13126,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222617
1959,2/28/2025,285926221150,470 Route 211 E,Middletown,NY,10940,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221150
2905,2/28/2025,285926222786,250 Route 59,Suffern,NY,10901,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222786
2092,2/28/2025,285926233110,3000 Ford Street Ext,Ogdensburg,NY,13669,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926233110
3280,2/28/2025,285926221860,1490 Hudson Ave,Rochester,NY,14621,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926221860
2405,2/28/2025,285926223874,5360 Southwestern Blvd,Hamburg,NY,14075,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926223874
1993,2/28/2025,285926222709,6265 Brockport Spencerport Rd,Brockport,NY,14420,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222709
2210,2/28/2025,285926223175,3290 Sheridan Dr,Amherst,NY,14226,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926223175
1619,2/28/2025,285926222135,1200 Marketplace Dr,Rochester,NY,14623,https://www.fedex.com/apps/fedextrack/?tracknumbers=285926222135
