Market,Store,Fashion Coach,Team Lead,VizPick Fashion Kit ,RFID Containment Box 
50,266,Complete,Complete,Complete,Complete
53,217,Complete,Complete,Complete,Complete
53,426,Complete,Complete,Complete,Complete
53,1216,Complete,Complete,Complete,Complete
53,2105,Complete,Complete,Complete,Complete
53,2427,Complete,Complete,Complete,Complete
53,2996,Complete,Complete,Complete,Complete
53,4240,Complete,Complete,Complete,Complete
53,5092,Complete,Complete,Complete,Complete
53,5889,Complete,Complete,Complete,Complete
63,752,Complete,Complete,Complete,Complete
63,1062,Complete,Complete,Complete,Complete
63,2724,Complete,Complete,Complete,Complete
63,3425,Complete,Complete,Complete,Complete
63,4526,Complete,Complete,Complete,Complete
63,5612,Complete,Complete,Complete,Complete
63,5959,Complete,Complete,Complete,Complete
105,819,Complete,Complete,Complete,Complete
105,987,Complete,Complete,Complete,Complete
105,1119,Complete,Complete,Complete,Complete
105,1957,Complete,Complete,Complete,Complete
105,3417,Complete,Complete,Complete,Complete
105,4063,Complete,Complete,Complete,Complete
105,5034,Complete,Complete,Complete,Complete
105,5055,Complete,Complete,Complete,Complete
105,5347,Complete,Complete,Complete,Complete
105,5391,Complete,Complete,Complete,Complete
110,1680,Complete,Complete,Complete,Complete
110,2091,Complete,Complete,Complete,Complete
110,2727,Complete,Complete,Complete,Complete
110,2814,Complete,Complete,Complete,Complete
110,4161,Complete,Complete,Complete,Complete
110,5671,Complete,Complete,Complete,Complete
110,5854,Complete,Complete,Complete,Complete
110,5912,Complete,Complete,Complete,Complete
110,6397,Complete,Complete,Complete,Complete
168,1670,Complete,Complete,Complete,Complete
168,1777,Complete,Complete,Complete,Complete
168,2145,Complete,Complete,Complete,Complete
168,2252,Complete,Complete,Complete,Complete
168,2614,Complete,Complete,Complete,Complete
168,2641,Complete,Complete,Complete,Complete
168,3563,Complete,Complete,Complete,Complete
168,3810,Complete,Complete,Complete,Complete
168,4612,Complete,Complete,Complete,Complete
204,1422,Complete,Complete,Complete,Complete
204,1428,Complete,Complete,Complete,Complete
204,1432,Complete,Complete,Complete,Complete
204,1719,Complete,Complete,Complete,Complete
204,1752,Complete,Complete,Complete,Complete
204,2014,Complete,Complete,Complete,Complete
204,2619,Complete,Complete,Complete,Complete
204,2644,Complete,Complete,Complete,Complete
204,5097,Complete,Complete,Complete,Complete
204,5159,Complete,Complete,Complete,Complete
204,5376,Complete,Complete,Complete,Complete
322,2,Complete,Complete,Complete,Complete
322,54,Complete,Complete,Complete,Complete
322,76,Complete,Complete,Complete,Complete
322,144,Complete,Complete,Complete,Complete
322,359,Complete,Complete,Complete,Complete
322,373,Complete,Complete,Complete,Complete
322,914,Complete,Complete,Complete,Complete
376,984,Complete,Complete,Complete,Complete
376,1492,Complete,Complete,Complete,Complete
376,1689,Complete,Complete,Complete,Complete
376,2892,Complete,Complete,Complete,Complete
376,3313,Complete,Complete,Complete,Complete
376,4639,Complete,Complete,Complete,Complete
376,5137,Complete,Complete,Complete,Complete
376,5334,Complete,Complete,Complete,Complete
583,259,Complete,Complete,Complete,Complete
583,789,Complete,Complete,Complete,Complete
583,1055,Complete,Complete,Complete,Complete
583,1800,Complete,Complete,Complete,Complete
583,3224,Complete,Complete,Complete,Complete
583,3225,Complete,Complete,Complete,Complete
583,5823,Complete,Complete,Complete,Complete
583,5987,Complete,Complete,Complete,Complete
583,8930,Complete,Complete,Complete,Complete
110,4303,Complete,Complete,Complete,Complete
323,1,Yes,4,Week 16,Week 16
322,2,Yes,4,Week 16,Week 16
323,4,Yes,4,Week 16,Week 16
326,5,Yes,4,Week 16,Week 16
326,7,Yes,4,Week 16,Week 16
326,8,No,4,Week 16,Week 16
335,9,Yes,4,Week 16,Week 16
328,11,Yes,4,Week 16,Week 16
334,13,Yes,4,Week 16,Week 16
321,16,Yes,4,Week 16,Week 16
334,17,Yes,4,Week 16,Week 16
328,18,No,3,Week 16,Week 16
335,19,Yes,4,Week 16,Week 16
135,23,Yes,4,Week 16,Week 16
326,24,Yes,4,Week 16,Week 16
335,30,No,4,Week 16,Week 16
325,33,No,3,Week 16,Week 16
334,34,No,3,Week 16,Week 16
335,37,Yes,4,Week 16,Week 16
334,48,No,3,Week 16,Week 16
325,52,Yes,4,Week 16,Week 16
322,54,Yes,4,Week 16,Week 16
321,55,No,3,Week 16,Week 16
328,57,No,3,Week 16,Week 16
325,58,Yes,4,Week 16,Week 16
334,59,Yes,4,Week 16,Week 16
146,64,No,3,Week 16,Week 16
321,66,Yes,4,Week 16,Week 16
321,67,No,4,Week 16,Week 16
335,69,Yes,4,Week 16,Week 16
328,71,Yes,4,Week 16,Week 16
356,73,No,4,Week 16,Week 16
322,76,Yes,4,Week 16,Week 16
334,79,Yes,4,Week 16,Week 16
335,82,No,3,Week 16,Week 16
327,83,Yes,3,Week 16,Week 16
324,85,Yes,4,Week 16,Week 16
127,87,Yes,4,Week 16,Week 16
334,92,No,3,Week 16,Week 16
146,93,Yes,4,Week 16,Week 16
335,95,Yes,4,Week 16,Week 16
146,97,No,3,Week 16,Week 16
135,98,No,4,Week 16,Week 16
323,100,Yes,4,Week 16,Week 16
327,102,No,3,Week 16,Week 16
146,104,Yes,4,Week 16,Week 16
146,106,No,3,Week 16,Week 16
