store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
1,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
2,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
3,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
4,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
5,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
7,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
9,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
10,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
11,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
12,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
13,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
14,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
15,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
16,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
17,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
18,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
19,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
21,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
22,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
23,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
24,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
25,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
28,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
29,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
30,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
