Mkt,Store,Launch Date
323,1,3/4/2025
322,2,3/4/2025
21,3,3/6/2025
323,4,3/4/2025
326,5,3/4/2025
326,7,3/4/2025
326,8,3/4/2025
335,9,3/4/2025
347,10,3/4/2025
328,11,3/4/2025
347,12,3/4/2025
334,13,3/4/2025
357,14,3/4/2025
333,15,3/4/2025
321,16,3/4/2025
334,17,3/4/2025
328,18,3/4/2025
335,19,3/4/2025
361,20,3/4/2025
336,21,3/4/2025
347,22,3/4/2025
135,23,3/4/2025
326,24,3/4/2025
359,25,3/4/2025
411,26,3/4/2025
357,27,3/4/2025
347,28,3/4/2025
336,29,3/4/2025
335,30,3/4/2025
351,31,3/4/2025
333,32,3/4/2025
325,33,3/4/2025
334,34,3/4/2025
407,35,3/4/2025
329,36,3/4/2025
335,37,3/4/2025
47,38,3/4/2025
410,39,3/4/2025
359,40,3/4/2025
345,41,3/4/2025
410,42,3/4/2025
407,43,3/4/2025
336,44,3/4/2025
329,45,3/4/2025
357,46,3/4/2025
351,47,3/4/2025
334,48,3/4/2025
47,49,3/4/2025
347,50,3/4/2025
359,51,3/4/2025
325,52,3/4/2025
322,54,3/4/2025
321,55,3/4/2025
333,56,3/4/2025
328,57,3/4/2025
325,58,3/4/2025
334,59,3/4/2025
339,60,3/4/2025
361,61,3/4/2025
329,62,3/4/2025
347,63,3/4/2025
146,64,3/4/2025
336,65,3/4/2025
321,66,3/4/2025
321,67,3/4/2025
329,68,3/4/2025
335,69,3/4/2025
329,70,3/4/2025
328,71,3/4/2025
410,72,3/4/2025
356,73,3/4/2025
329,74,3/4/2025
134,75,3/4/2025
322,76,3/4/2025
83,77,3/4/2025
357,78,3/4/2025
334,79,2/25/2025
359,80,3/4/2025
347,81,3/4/2025
335,82,3/4/2025
327,83,3/4/2025
324,85,3/4/2025
357,86,3/4/2025
127,87,3/4/2025
357,88,3/4/2025
336,89,3/4/2025
347,90,3/4/2025
329,91,3/4/2025
334,92,3/4/2025
146,93,3/4/2025
145,94,3/4/2025
335,95,3/4/2025
361,96,3/4/2025
146,97,3/4/2025
135,98,3/4/2025
340,99,3/4/2025
323,100,3/4/2025
336,101,3/4/2025
327,102,3/4/2025
351,103,3/4/2025
146,104,3/4/2025
4,105,3/4/2025
146,106,3/4/2025
146,107,3/4/2025
344,108,3/4/2025
360,109,3/4/2025
89,110,3/6/2025
410,111,3/4/2025
138,112,3/4/2025
349,113,3/4/2025
4,114,3/4/2025
138,115,3/4/2025
127,116,3/4/2025
47,117,3/4/2025
4,118,3/4/2025
328,119,3/4/2025
146,120,3/4/2025
351,121,3/4/2025
335,122,3/4/2025
351,123,3/4/2025
324,124,3/4/2025
321,125,3/4/2025
324,126,3/4/2025
325,127,3/4/2025
329,128,3/4/2025
350,129,3/4/2025
347,130,3/4/2025
47,131,3/4/2025
344,132,3/4/2025
325,133,3/4/2025
344,134,3/4/2025
360,135,3/4/2025
345,136,3/4/2025
352,137,3/4/2025
357,138,3/4/2025
353,139,3/4/2025
503,140,3/4/2025
321,141,3/4/2025
253,143,3/4/2025
322,144,3/4/2025
339,145,3/4/2025
46,146,3/4/2025
350,147,3/4/2025
47,148,3/4/2025
135,149,3/4/2025
344,150,3/4/2025
350,151,3/4/2025
335,152,3/4/2025
4,153,3/4/2025
311,154,3/6/2025
136,155,3/4/2025
328,157,3/4/2025
350,158,3/4/2025
359,159,3/4/2025
328,160,3/4/2025
147,161,3/4/2025
349,162,3/4/2025
503,163,3/4/2025
4,164,3/4/2025
46,165,3/4/2025
357,166,3/4/2025
327,167,3/4/2025
345,168,3/4/2025
326,169,3/4/2025
134,170,3/4/2025
327,171,3/4/2025
340,172,3/4/2025
357,173,3/4/2025
92,174,3/6/2025
144,175,3/4/2025
4,176,3/4/2025
146,177,3/4/2025
344,178,3/4/2025
357,179,3/4/2025
46,180,3/4/2025
47,181,3/4/2025
136,182,3/4/2025
138,183,3/4/2025
361,184,3/4/2025
350,185,3/4/2025
409,186,3/4/2025
335,188,3/4/2025
359,189,3/4/2025
329,190,3/4/2025
151,192,3/4/2025
60,194,3/4/2025
360,195,3/4/2025
271,196,3/4/2025
278,197,3/4/2025
272,198,3/4/2025
278,199,3/4/2025
275,200,3/4/2025
341,201,3/4/2025
51,202,3/4/2025
359,203,3/4/2025
253,204,3/4/2025
138,205,3/4/2025
52,206,3/4/2025
345,207,3/4/2025
321,209,3/4/2025
351,210,3/4/2025
76,211,3/4/2025
353,212,3/4/2025
272,213,3/4/2025
503,214,3/4/2025
271,216,3/4/2025
53,217,3/4/2025
147,218,3/4/2025
336,219,3/4/2025
48,220,3/4/2025
344,221,3/4/2025
271,222,3/4/2025
272,224,3/4/2025
350,225,3/4/2025
47,226,3/4/2025
344,227,3/4/2025
48,228,3/4/2025
329,229,3/4/2025
321,230,3/4/2025
351,231,3/4/2025
350,232,3/4/2025
271,233,3/4/2025
360,234,3/4/2025
503,236,3/4/2025
271,237,3/4/2025
147,238,3/4/2025
138,239,3/4/2025
47,240,3/4/2025
410,242,3/4/2025
339,243,3/4/2025
135,244,3/4/2025
345,246,3/4/2025
351,247,3/4/2025
76,248,3/4/2025
503,249,3/4/2025
357,250,3/4/2025
45,251,3/4/2025
271,252,3/4/2025
341,253,3/4/2025
273,254,3/4/2025
341,256,3/4/2025
254,257,3/4/2025
4,258,3/4/2025
583,259,3/4/2025
55,260,3/4/2025
325,261,3/4/2025
271,262,3/4/2025
149,264,3/4/2025
45,265,3/4/2025
50,266,2/25/2025
334,267,3/4/2025
147,268,3/4/2025
349,269,3/4/2025
349,271,3/4/2025
153,272,3/4/2025
4,273,3/4/2025
4,274,3/4/2025
503,275,3/4/2025
351,276,3/4/2025
353,277,3/4/2025
127,278,3/4/2025
321,279,3/4/2025
83,280,3/4/2025
328,281,3/4/2025
253,282,3/4/2025
66,283,3/4/2025
49,284,3/4/2025
503,285,3/4/2025
55,286,3/4/2025
11,287,3/4/2025
503,288,3/4/2025
327,289,3/4/2025
77,290,3/4/2025
87,292,3/4/2025
85,293,3/4/2025
253,294,3/4/2025
340,295,3/4/2025
325,296,3/4/2025
59,297,3/4/2025
3,298,3/4/2025
254,299,3/4/2025
3,300,3/4/2025
3,301,3/4/2025
271,302,3/4/2025
4,303,3/4/2025
149,304,3/4/2025
138,305,3/4/2025
5,306,3/4/2025
135,307,3/4/2025
152,308,3/4/2025
132,309,3/4/2025
132,310,3/4/2025
129,311,3/4/2025
134,312,3/4/2025
340,313,3/4/2025
5,314,3/4/2025
3,315,3/4/2025
3,316,3/4/2025
272,317,3/4/2025
325,318,3/4/2025
361,319,3/4/2025
76,320,3/4/2025
85,321,3/4/2025
85,322,3/4/2025
127,323,3/4/2025
356,324,3/4/2025
360,325,3/4/2025
361,326,3/4/2025
341,328,3/4/2025
10,329,3/4/2025
84,330,3/4/2025
66,331,3/4/2025
5,332,3/4/2025
254,333,3/4/2025
275,334,3/4/2025
146,335,3/4/2025
325,336,3/4/2025
335,337,3/4/2025
334,338,3/4/2025
327,339,3/4/2025
351,340,3/4/2025
407,341,3/4/2025
411,342,3/4/2025
275,343,3/4/2025
65,344,3/4/2025
46,345,3/4/2025
409,346,3/4/2025
136,347,3/4/2025
327,348,3/4/2025
433,350,3/4/2025
68,351,3/4/2025
271,352,3/4/2025
48,353,3/4/2025
336,354,3/4/2025
10,355,3/4/2025
10,356,3/4/2025
336,357,3/4/2025
321,358,3/4/2025
322,359,3/4/2025
352,360,3/4/2025
341,361,3/4/2025
11,362,3/4/2025
359,363,3/4/2025
503,364,3/4/2025
140,365,3/4/2025
121,366,3/6/2025
410,368,3/4/2025
406,369,3/4/2025
406,370,3/4/2025
48,371,3/4/2025
406,372,3/4/2025
322,373,3/4/2025
347,374,3/4/2025
5,375,3/4/2025
127,376,3/4/2025
516,377,3/6/2025
411,378,3/4/2025
333,379,3/4/2025
81,381,3/4/2025
410,382,3/4/2025
66,383,3/4/2025
66,384,3/4/2025
84,385,3/4/2025
132,386,3/4/2025
352,387,3/4/2025
321,388,3/4/2025
352,389,3/4/2025
149,390,3/4/2025
4,391,3/4/2025
344,392,3/4/2025
147,393,3/4/2025
137,394,3/4/2025
80,395,3/4/2025
39,396,3/6/2025
80,397,3/4/2025
46,398,3/4/2025
46,399,3/4/2025
68,400,3/4/2025
131,401,3/4/2025
132,402,3/4/2025
137,403,3/4/2025
87,404,3/4/2025
134,405,3/4/2025
151,406,3/4/2025
81,407,3/4/2025
66,408,3/4/2025
137,409,3/4/2025
146,410,3/4/2025
138,411,3/4/2025
45,412,3/4/2025
569,413,3/4/2025
349,414,3/4/2025
132,415,3/4/2025
151,416,3/4/2025
47,417,3/4/2025
407,418,3/4/2025
406,419,3/4/2025
349,420,3/4/2025
479,421,3/4/2025
273,422,3/4/2025
13,423,3/4/2025
8,424,3/4/2025
11,425,3/4/2025
53,426,2/25/2025
47,427,3/4/2025
130,428,3/4/2025
80,429,3/4/2025
253,430,3/4/2025
253,431,3/4/2025
10,432,3/4/2025
5,433,3/4/2025
5,434,3/4/2025
272,435,3/4/2025
272,436,3/4/2025
84,437,3/4/2025
74,438,3/4/2025
78,440,3/4/2025
78,442,3/4/2025
88,443,3/4/2025
333,444,3/4/2025
256,445,3/4/2025
85,446,3/4/2025
88,447,3/4/2025
127,448,3/4/2025
66,449,3/4/2025
127,450,3/4/2025
359,451,3/4/2025
80,452,3/4/2025
329,453,3/4/2025
272,454,3/4/2025
569,456,3/4/2025
66,457,3/4/2025
78,458,3/4/2025
25,459,3/6/2025
88,461,3/4/2025
61,462,3/4/2025
84,463,3/4/2025
78,464,3/4/2025
77,465,3/4/2025
147,466,3/4/2025
52,467,3/4/2025
47,468,3/4/2025
66,469,3/4/2025
78,470,3/4/2025
49,471,3/4/2025
356,472,3/4/2025
85,473,3/4/2025
83,475,3/4/2025
81,476,3/4/2025
119,477,3/6/2025
77,478,3/4/2025
349,479,3/4/2025
275,480,3/4/2025
273,481,3/4/2025
61,482,3/4/2025
8,483,3/4/2025
411,484,3/4/2025
129,485,3/4/2025
362,486,3/4/2025
97,488,3/6/2025
128,489,3/4/2025
78,490,3/4/2025
253,491,3/4/2025
580,492,3/6/2025
260,493,3/6/2025
16,494,3/6/2025
138,495,3/4/2025
242,497,3/6/2025
134,498,3/4/2025
344,499,3/4/2025
505,500,3/6/2025
141,501,3/4/2025
129,502,3/4/2025
84,503,3/4/2025
61,504,3/4/2025
134,505,3/4/2025
272,506,3/4/2025
260,507,3/6/2025
506,508,3/4/2025
21,510,3/6/2025
38,511,3/6/2025
505,512,3/6/2025
73,513,3/4/2025
39,514,3/6/2025
18,515,3/6/2025
45,516,3/4/2025
353,517,3/4/2025
24,518,3/6/2025
260,519,3/6/2025
21,520,3/6/2025
66,521,3/4/2025
60,522,3/4/2025
46,523,3/4/2025
84,524,3/4/2025
549,525,3/6/2025
242,526,3/6/2025
61,527,3/4/2025
115,528,3/6/2025
61,529,3/4/2025
327,530,3/4/2025
132,531,3/4/2025
130,532,3/4/2025
132,533,3/4/2025
74,535,3/4/2025
74,536,3/4/2025
73,537,3/4/2025
93,538,3/6/2025
134,539,3/4/2025
129,540,3/4/2025
128,541,3/4/2025
129,542,3/4/2025
132,543,3/4/2025
353,544,3/4/2025
258,545,3/6/2025
62,546,3/4/2025
114,547,3/6/2025
25,548,3/6/2025
71,549,3/6/2025
273,550,3/4/2025
93,551,3/6/2025
258,552,3/6/2025
125,553,3/4/2025
88,554,3/4/2025
32,555,3/6/2025
28,556,3/6/2025
407,557,3/4/2025
407,558,3/4/2025
418,559,3/4/2025
360,560,3/4/2025
76,561,3/4/2025
2,562,3/4/2025
94,563,3/6/2025
344,564,3/4/2025
55,565,3/4/2025
580,566,3/4/2025
85,567,3/4/2025
152,568,3/4/2025
257,569,3/4/2025
260,571,3/6/2025
46,572,3/4/2025
361,573,3/4/2025
37,574,3/6/2025
26,575,3/6/2025
345,576,3/4/2025
362,577,3/4/2025
123,578,3/6/2025
94,579,3/6/2025
116,580,3/6/2025
414,581,3/4/2025
94,582,3/6/2025
121,583,3/6/2025
260,584,3/6/2025
42,585,3/6/2025
37,586,3/6/2025
152,587,3/4/2025
27,588,3/6/2025
256,589,3/6/2025
48,590,3/4/2025
259,591,3/6/2025
406,592,3/4/2025
28,593,3/6/2025
19,594,3/6/2025
569,595,3/4/2025
271,596,3/4/2025
429,598,3/4/2025
124,599,3/6/2025
70,600,3/4/2025
74,601,3/4/2025
68,602,3/4/2025
278,603,3/4/2025
7,604,3/4/2025
29,605,3/6/2025
29,606,3/6/2025
349,607,3/4/2025
73,608,3/4/2025
275,609,3/4/2025
76,610,3/4/2025
387,611,3/6/2025
273,612,3/4/2025
94,613,3/6/2025
16,614,3/6/2025
22,615,3/6/2025
38,616,3/6/2025
580,617,3/6/2025
26,618,3/6/2025
119,619,3/6/2025
124,620,3/6/2025
37,621,3/6/2025
344,622,3/4/2025
118,623,3/6/2025
39,624,3/6/2025
37,625,3/6/2025
73,626,3/4/2025
38,627,3/6/2025
36,628,3/6/2025
42,629,3/6/2025
38,630,3/6/2025
35,631,3/6/2025
36,632,3/6/2025
279,633,3/4/2025
38,634,3/6/2025
29,635,3/6/2025
279,636,3/4/2025
429,637,3/4/2025
42,638,3/6/2025
28,639,3/6/2025
35,640,3/6/2025
35,641,3/6/2025
38,642,3/6/2025
37,643,3/6/2025
39,644,3/6/2025
433,645,3/4/2025
415,646,3/4/2025
414,647,3/4/2025
339,648,3/4/2025
92,649,3/6/2025
66,651,3/4/2025
406,652,3/4/2025
253,653,3/4/2025
253,655,3/4/2025
151,656,3/4/2025
152,657,3/4/2025
120,658,3/6/2025
153,659,3/4/2025
137,660,3/4/2025
137,661,3/4/2025
137,662,3/4/2025
119,663,3/6/2025
406,664,3/4/2025
257,665,3/6/2025
115,666,3/6/2025
151,667,3/4/2025
152,668,3/4/2025
120,669,3/6/2025
2,670,3/4/2025
152,671,3/4/2025
122,672,3/6/2025
149,673,3/4/2025
152,674,3/4/2025
146,675,3/4/2025
121,676,3/6/2025
146,677,3/4/2025
123,678,3/6/2025
123,680,3/6/2025
5,681,3/4/2025
151,682,3/4/2025
147,683,3/4/2025
147,684,3/4/2025
123,685,3/6/2025
28,686,3/6/2025
121,687,3/4/2025
153,688,3/4/2025
257,689,3/6/2025
124,690,3/6/2025
3,691,3/4/2025
260,692,3/6/2025
259,693,3/6/2025
254,694,3/4/2025
149,695,3/4/2025
258,696,3/6/2025
93,697,3/6/2025
119,698,3/6/2025
136,699,3/4/2025
8,700,3/4/2025
254,701,3/4/2025
259,702,3/6/2025
67,703,3/4/2025
89,705,3/6/2025
114,706,3/6/2025
136,707,3/4/2025
140,708,3/4/2025
256,709,3/6/2025
153,710,3/4/2025
257,711,3/4/2025
5,712,3/4/2025
114,713,3/6/2025
327,714,3/4/2025
11,715,3/4/2025
136,716,3/4/2025
114,718,3/6/2025
257,719,3/6/2025
260,720,3/6/2025
118,721,3/6/2025
22,722,3/6/2025
7,723,3/4/2025
123,724,3/6/2025
114,725,3/6/2025
10,726,3/4/2025
22,727,3/6/2025
29,728,3/6/2025
256,729,3/6/2025
10,730,3/4/2025
11,731,3/4/2025
10,733,3/4/2025
7,734,3/4/2025
151,735,3/4/2025
253,736,3/4/2025
151,737,3/4/2025
147,738,3/4/2025
258,739,3/6/2025
7,740,3/4/2025
121,741,3/6/2025
124,742,3/6/2025
353,743,3/4/2025
59,744,3/4/2025
19,745,3/6/2025
76,746,3/4/2025
414,748,3/4/2025
414,749,3/4/2025
415,750,3/4/2025
413,751,3/4/2025
63,752,3/4/2025
415,753,3/4/2025
30,754,3/6/2025
70,755,3/4/2025
