Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
81,7,781,SPARK,Scheduled Standard Delivery,45,Executive Review,Recovering,Driver Supply Focus,202407,87.20%,98.40%,7.4,91.70%,84.40%,87.70%,84.50%
347,44,63,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202407,91.10%,99.00%,7.3,92.60%,91.70%,88.10%,91.60%
410,44,111,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202407,90.70%,94.90%,9,98.50%,81.00%,90.00%,93.70%
47,44,38,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202407,88.20%,99.10%,6.7,88.10%,87.00%,89.60%,88.50%
125,13,3167,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202407,87.50%,93.50%,9.4,92.00%,81.00%,88.40%,88.50%
86,7,3106,UBER,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202407,94.20%,92.30%,9.6,97.30%,88.90%,97.30%,93.60%
86,7,5145,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202407,91.80%,97.70%,6.5,93.50%,85.40%,92.90%,95.20%
61,6,482,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202407,90.30%,100.00%,4.1,86.50%,97.20%,90.70%,86.20%
63,6,5959,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202407,87.30%,98.50%,7.7,88.90%,86.90%,86.10%,87.50%
85,6,293,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202407,93.40%,98.90%,3.6,95.80%,100.00%,90.00%,83.30%
85,6,567,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Driver Supply Focus,202407,66.70%,100.00%,5.2,70.00%,80.00%,44.40%,70.00%
370,46,2515,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202407,90.40%,98.20%,9.1,89.20%,88.00%,94.10%,89.70%
494,59,4053,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202407,87.60%,94.00%,9,86.40%,86.60%,92.80%,84.70%
494,59,5804,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202407,91.10%,89.90%,7.5,88.40%,,100.00%,91.30%
580,41,1783,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202407,91.80%,96.60%,9.4,97.20%,93.30%,87.00%,89.30%
260,41,493,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202407,86.40%,96.20%,8.9,90.30%,89.10%,84.00%,82.00%
260,41,2783,UBER,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202407,94.70%,96.20%,9.7,94.40%,97.10%,87.50%,100.00%
242,41,4450,UBER,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202407,91.50%,96.00%,8,90.80%,94.80%,87.10%,93.30%
202,19,2080,UBER,Scheduled Standard Delivery,10,At Risk,Degrading,Driver Supply Focus,202407,87.40%,94.40%,9.1,77.30%,87.00%,90.50%,95.20%
207,19,2350,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202407,92.60%,98.00%,9.2,93.70%,96.30%,89.90%,90.30%
213,19,1429,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202407,82.60%,98.80%,8.9,84.70%,85.90%,77.30%,82.90%
203,19,1423,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202407,95.50%,96.40%,7.3,97.50%,96.80%,89.20%,98.20%
204,19,1432,SPARK,Scheduled Standard Delivery,42,Executive Review,Recovering,Driver Supply Focus,202407,91.80%,97.80%,8.6,95.80%,92.80%,90.30%,88.30%
205,19,2354,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202407,88.50%,91.10%,8.9,83.40%,85.60%,93.80%,90.30%
205,19,3632,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202407,86.10%,100.00%,5.9,82.20%,86.80%,87.50%,88.00%
201,19,2678,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202407,93.60%,95.70%,9.1,95.20%,95.30%,94.50%,89.60%
201,19,5065,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202407,89.00%,94.20%,6.8,86.80%,90.80%,90.10%,88.70%
275,25,334,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202407,86.60%,98.60%,4.7,93.10%,87.90%,76.90%,87.90%
279,25,957,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202407,91.70%,99.40%,5.7,94.90%,86.70%,97.60%,88.10%
266,25,3601,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202407,89.90%,99.30%,9.2,88.50%,88.40%,90.80%,92.00%
267,25,5617,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202407,87.30%,90.90%,9.7,86.30%,84.20%,92.60%,86.40%
208,20,3722,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202407,90.10%,100.00%,9.9,90.80%,90.00%,91.50%,88.10%
227,20,5040,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202407,90.00%,99.10%,5.9,93.90%,87.10%,90.90%,88.00%
227,20,5381,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202407,88.90%,97.60%,5.1,95.60%,89.90%,87.00%,83.40%
229,20,2008,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202407,89.50%,100.00%,6,85.20%,91.00%,94.80%,86.50%
229,20,2540,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202407,85.00%,99.30%,7.4,81.50%,89.70%,86.90%,80.40%
