Top 500 Stores,Power Trays
549,Yes
2,Yes
1367,Yes
868,Yes
673,Yes
719,Yes
1140,Yes
689,Yes
1636,Yes
2300,Yes
1956,Yes
459,Yes
1026,Yes
611,Yes
345,Yes
100,Yes
537,Yes
2051,Yes
220,Yes
1072,Yes
945,Yes
1134,Yes
264,Yes
261,Yes
1763,Yes
2262,Yes
864,Yes
2259,Yes
709,Yes
5041,Yes
5494,Yes
3897,Yes
687,Yes
383,Yes
754,Yes
491,Yes
309,Yes
734,Yes
1655,Yes
140,Yes
588,Yes
1564,Yes
3423,Yes
595,Yes
1995,Yes
794,Yes
277,Yes
287,Yes
2049,Yes
2006,Yes
743,Yes
1794,Yes
2244,Yes
861,Yes
1375,Yes
2610,Yes
1663,Yes
2691,Yes
3319,Yes
809,Yes
331,Yes
2123,Yes
1943,Yes
4627,Yes
1644,Yes
2923,Yes
970,Yes
2089,Yes
212,Yes
1201,Yes
3531,Yes
1902,Yes
1505,Yes
2587,Yes
1569,Yes
604,Yes
382,Yes
216,Yes
884,Yes
2988,Yes
406,Yes
194,Yes
697,Yes
5033,Yes
1193,Yes
608,Yes
3331,Yes
36,Yes
729,Yes
1039,Yes
70,Yes
2055,Yes
1568,Yes
1782,Yes
5274,Yes
405,Yes
1141,Yes
5099,Yes
2221,Yes
661,Yes
407,Yes
4325,Yes
1074,Yes
461,Yes
1165,Yes
799,Yes
2400,Yes
1872,Yes
3590,Yes
1080,Yes
3595,Yes
740,Yes
1014,Yes
1209,Yes
2865,Yes
5497,Yes
1160,Yes
4,Yes
6929,Yes
417,Yes
670,Yes
359,Yes
1130,Yes
1633,Yes
2325,Yes
1555,Yes
1478,Yes
691,Yes
163,Yes
23,Yes
499,Yes
791,Yes
2910,Yes
505,Yes
157,Yes
37,Yes
1788,Yes
4272,Yes
14,Yes
21,Yes
531,Yes
1060,Yes
52,Yes
6898,Yes
307,Yes
2243,Yes
536,Yes
2078,Yes
1567,Yes
3850,Yes
3580,Yes
1240,Yes
1254,Yes
1247,Yes
392,Yes
541,Yes
2116,Yes
741,Yes
3241,Yes
3511,Yes
867,Yes
5071,Yes
6467,Yes
2534,Yes
2205,Yes
2159,Yes
1149,Yes
1238,Yes
2318,Yes
535,Yes
445,Yes
572,Yes
718,Yes
1104,Yes
1294,Yes
515,Yes
1380,Yes
720,Yes
5,Yes
865,Yes
853,Yes
2595,Yes
1600,Yes
45,Yes
1091,Yes
952,Yes
5151,Yes
1976,Yes
601,Yes
3495,Yes
2455,Yes
1001,Yes
1924,Yes
1259,Yes
4243,Yes
4118,Yes
147,Yes
976,Yes
690,Yes
1522,Yes
1959,Yes
553,Yes
1344,Yes
5735,Yes
2528,Yes
2330,Yes
599,Yes
5389,Yes
427,Yes
947,Yes
1749,Yes
2420,Yes
3320,Yes
386,Yes
5191,Yes
1224,Yes
1665,Yes
54,Yes
1460,Yes
559,Yes
500,Yes
735,Yes
810,Yes
742,Yes
95,Yes
112,Yes
1260,Yes
967,Yes
2230,Yes
299,Yes
59,Yes
4352,Yes
3383,Yes
4509,Yes
826,Yes
5319,Yes
4664,Yes
1810,Yes
1607,Yes
3732,Yes
1656,Yes
19,Yes
1270,Yes
886,Yes
649,Yes
3726,Yes
372,Yes
69,Yes
4164,Yes
2991,Yes
1133,Yes
671,Yes
1461,Yes
1463,Yes
803,Yes
468,Yes
501,Yes
1560,Yes
1714,Yes
773,Yes
1871,Yes
2201,Yes
1289,Yes
1758,Yes
41,Yes
571,Yes
2929,Yes
1123,Yes
2405,Yes
1337,Yes
3778,Yes
1222,Yes
5078,Yes
129,Yes
379,Yes
3851,Yes
851,Yes
2920,Yes
3391,Yes
556,Yes
1769,Yes
3581,Yes
1673,Yes
1458,Yes
1604,Yes
2512,Yes
1035,Yes
1089,Yes
1542,Yes
3757,Yes
5155,Yes
1335,Yes
1105,Yes
3645,Yes
1371,Yes
1570,Yes
1909,Yes
259,Yes
1081,Yes
2541,Yes
1010,Yes
2544,Yes
412,Yes
2485,Yes
1215,Yes
767,Yes
2115,Yes
365,Yes
694,Yes
2399,Yes
918,Yes
2273,Yes
3582,Yes
105,Yes
79,Yes
1485,Yes
1306,Yes
603,Yes
2211,Yes
2084,Yes
2502,Yes
4299,Yes
2532,Yes
1168,Yes
1986,Yes
665,Yes
11,Yes
2239,Yes
593,Yes
1781,Yes
75,Yes
1474,Yes
1796,Yes
1543,Yes
130,Yes
269,Yes
533,Yes
630,Yes
399,Yes
3833,Yes
154,Yes
260,Yes
465,Yes
1155,Yes
1207,Yes
2185,Yes
1034,Yes
1888,Yes
2193,Yes
555,Yes
1443,Yes
7199,Yes
804,Yes
514,Yes
990,Yes
557,Yes
5369,Yes
306,Yes
421,Yes
1694,Yes
1204,Yes
660,Yes
2716,Yes
3771,Yes
3278,Yes
1120,Yes
1373,Yes
3403,Yes
520,Yes
1479,Yes
2083,Yes
1823,Yes
1370,Yes
3502,Yes
87,Yes
3739,Yes
3363,Yes
5076,Yes
2339,Yes
894,Yes
676,Yes
4410,Yes
655,Yes
2846,Yes
7,Yes
1299,Yes
589,Yes
1121,Yes
175,Yes
3750,Yes
234,Yes
3329,Yes
1053,Yes
995,Yes
391,Yes
1139,Yes
2249,Yes
674,Yes
113,Yes
5116,Yes
1939,Yes
2340,Yes
828,Yes
615,Yes
5410,Yes
722,Yes
1645,Yes
5707,Yes
2209,Yes
1449,Yes
5358,Yes
152,Yes
4417,Yes
2733,Yes
682,Yes
1598,Yes
7280,Yes
686,Yes
1981,Yes
1836,Yes
364,Yes
1146,Yes
1112,Yes
1817,Yes
5234,Yes
5031,Yes
2093,Yes
1532,Yes
1156,Yes
1291,Yes
813,Yes
5242,Yes
2050,Yes
1620,Yes
180,Yes
4168,Yes
138,Yes
72,Yes
1097,Yes
219,Yes
1194,Yes
1535,Yes
1856,Yes
1065,Yes
1488,Yes
1075,Yes
192,Yes
4423,Yes
2208,Yes
6958,Yes
1417,Yes
513,Yes
4262,Yes
746,Yes
1466,Yes
540,Yes
577,Yes
141,Yes
657,Yes
869,Yes
3262,Yes
2287,Yes
1859,Yes
5117,Yes
610,Yes
877,Yes
4865,Yes
5929,Yes
4115,Yes
1773,Yes
2515,Yes
31,Yes
58,Yes
3794,Yes
652,Yes
1962,Yes
428,Yes
2928,Yes
5035,Yes
932,Yes
168,Yes
656,Yes
1768,Yes
1317,Yes
1503,Yes
2126,Yes
623,Yes
3286,Yes
258,Yes
586,Yes
2480,Yes
5743,Yes
1264,Yes
1617,Yes
393,Yes
2734,Yes
2806,Yes
899,Yes
1356,Yes
148,Yes
