Store,Dept,Inventory Dollars,Format
1,80,"$21,523.18",WM Supercenter
1,93,"$94,129.32",WM Supercenter
1,94,"$61,692.83",WM Supercenter
1,98,"$25,252.60",WM Supercenter
2,80,"$13,201.39",WM Supercenter
2,93,"$54,446.15",WM Supercenter
2,94,"$21,215.95",WM Supercenter
2,98,"$25,309.17",WM Supercenter
3,80,"$7,909.64",WM Supercenter
3,93,"$44,609.90",WM Supercenter
3,94,"$25,404.06",WM Supercenter
3,98,"$19,761.29",WM Supercenter
4,80,"$23,490.79",WM Supercenter
4,93,"$94,131.60",WM Supercenter
4,94,"$58,789.72",WM Supercenter
4,98,"$26,904.12",WM Supercenter
5,80,"$13,491.18",WM Supercenter
5,93,"$65,600.88",WM Supercenter
5,94,"$33,202.45",WM Supercenter
5,98,"$23,326.44",WM Supercenter
7,80,"$20,734.70",WM Supercenter
7,93,"$69,855.43",WM Supercenter
7,94,"$30,562.32",WM Supercenter
7,98,"$23,817.74",WM Supercenter
8,80,"$3,837.42",WM Supercenter
8,93,"$53,889.96",WM Supercenter
8,94,"$27,660.23",WM Supercenter
8,98,"$8,515.72",WM Supercenter
9,80,"$17,020.13",WM Supercenter
9,93,"$77,742.64",WM Supercenter
9,94,"$28,268.42",WM Supercenter
9,98,"$34,717.65",WM Supercenter
10,80,"$28,303.54",WM Supercenter
10,93,"$89,040.38",WM Supercenter
10,94,"$37,178.08",WM Supercenter
10,98,"$22,757.59",WM Supercenter
11,80,"$19,073.03",WM Supercenter
11,93,"$92,674.43",WM Supercenter
11,94,"$62,238.58",WM Supercenter
11,98,"$29,653.48",WM Supercenter
12,80,"$13,305.53",WM Supercenter
12,93,"$70,356.80",WM Supercenter
12,94,"$36,092.76",WM Supercenter
12,98,"$24,178.87",WM Supercenter
13,80,"$18,532.98",WM Supercenter
13,93,"$71,305.76",WM Supercenter
13,94,"$42,054.93",WM Supercenter
13,98,"$20,078.79",WM Supercenter
14,80,"$13,607.92",WM Supercenter
14,93,"$69,819.59",WM Supercenter
14,94,"$36,244.03",WM Supercenter
14,98,"$23,696.77",WM Supercenter
15,80,"$17,940.25",WM Supercenter
15,93,"$81,304.20",WM Supercenter
15,94,"$36,522.48",WM Supercenter
15,98,"$24,961.77",WM Supercenter
16,80,"$16,759.38",WM Supercenter
16,93,"$68,653.44",WM Supercenter
16,94,"$35,791.35",WM Supercenter
16,98,"$24,667.13",WM Supercenter
17,80,"$25,231.10",WM Supercenter
17,93,"$67,320.72",WM Supercenter
17,94,"$35,328.12",WM Supercenter
17,98,"$30,795.84",WM Supercenter
18,80,"$12,639.39",WM Supercenter
18,93,"$37,554.25",WM Supercenter
18,94,"$12,696.47",WM Supercenter
18,98,"$16,671.97",WM Supercenter
19,80,"$28,437.95",WM Supercenter
19,93,"$89,293.88",WM Supercenter
19,94,"$32,670.00",WM Supercenter
19,98,"$26,875.73",WM Supercenter
20,80,"$13,860.15",WM Supercenter
20,93,"$58,756.77",WM Supercenter
20,94,"$23,797.05",WM Supercenter
20,98,"$20,342.32",WM Supercenter
21,80,"$18,847.71",WM Supercenter
21,93,"$80,941.97",WM Supercenter
21,94,"$40,425.38",WM Supercenter
21,98,"$30,102.78",WM Supercenter
22,80,"$16,119.19",WM Supercenter
22,93,"$75,941.61",WM Supercenter
22,94,"$28,472.83",WM Supercenter
22,98,"$21,113.89",WM Supercenter
23,80,"$11,066.86",WM Supercenter
23,93,"$79,949.47",WM Supercenter
23,94,"$56,712.67",WM Supercenter
23,98,"$23,629.32",WM Supercenter
24,80,"$16,643.35",WM Supercenter
24,93,"$76,623.23",WM Supercenter
24,94,"$25,576.03",WM Supercenter
24,98,"$21,759.91",WM Supercenter
25,80,"$13,042.20",WM Supercenter
25,93,"$62,731.46",WM Supercenter
25,94,"$24,328.76",WM Supercenter
25,98,"$18,574.05",WM Supercenter
26,80,"$14,363.65",WM Supercenter
26,93,"$68,451.54",WM Supercenter
26,94,"$30,021.36",WM Supercenter
26,98,"$22,307.06",WM Supercenter
27,80,"$11,835.09",WM Supercenter
27,93,"$40,646.26",WM Supercenter
27,94,"$19,539.39",WM Supercenter
27,98,"$6,771.98",WM Supercenter
28,80,"$18,122.93",WM Supercenter
28,93,"$66,329.29",WM Supercenter
28,94,"$31,391.42",WM Supercenter
28,98,"$21,035.63",WM Supercenter
29,80,"$16,509.61",WM Supercenter
29,93,"$73,806.04",WM Supercenter
29,94,"$49,017.52",WM Supercenter
29,98,"$27,709.78",WM Supercenter
