Store #,Install Date,Install Time
246,3/6/23,11:30 PM
238,3/6/23,11:30 PM
863,3/7/23,11:30 PM
881,3/7/23,11:30 PM
1005,3/7/23,11:30 PM
139,3/8/23,11:30 PM
974,3/8/23,10:00 PM
457,3/9/23,11:30 PM
1508,3/12/23,11:30 PM
1739,3/12/23,5:00 AM
2127,3/12/23,11:30 PM
2338,3/12/23,11:30 PM
2337,3/12/23,11:30 PM
2388,3/12/23,11:30 PM
2466,3/12/23,11:30 PM
3485,3/12/23,10:00 PM
2955,3/13/23,11:30 PM
2967,3/13/23,11:30 PM
3322,3/13/23,11:30 PM
3335,3/13/23,11:30 PM
3860,3/13/23,11:30 PM
4111,3/13/23,11:30 PM
1506,3/15/23,5:00 AM
3809,3/15/23,10:00 PM
4561,3/15/23,11:30 PM
4679,3/15/23,11:30 PM
1427,3/16/23,10:00 PM
5140,3/19/23,11:30 PM
818,3/20/23,10:00 PM
377,3/23/23,11:30 PM
717,3/23/23,11:30 PM
997,3/23/23,11:30 PM
3331,3/23/23,11:30 PM
