Store Number,Item Number,Quantity to be Returned,PO Number
2449,596458858,30,1101800645
2501,596458858,40,1101800646
5802,596458858,30,1101800647
2346,596458858,30,1101800648
1205,596458858,30,1101800649
3716,596458858,20,1101800650
2423,596458858,20,1101800651
742,596458858,20,1700955346
1312,596458858,20,7900934208
2814,596458858,20,5905981669
3937,596458858,20,5050975201
3693,596458858,20,1101800652
1774,596458858,20,7900934210
7179,596458858,20,7900934211
1242,596458858,20,1700955348
1379,596458858,20,7900934212
1293,596458858,20,8305733688
1854,596458858,20,1101800653
1213,596458858,20,8400933511
2240,596458858,10,1101800654
6958,596458858,10,7900934215
943,596458858,10,8400933512
685,596458858,10,1700955351
2721,596458858,10,1101800655
1408,596458858,10,1101800656
725,596458858,10,8400933513
1223,596458858,10,1101800657
5671,596458858,10,5905981671
2065,596458858,10,1700955353
5803,596458858,10,1101800658
3418,596458858,10,8400933514
988,596458858,10,8400933516
2302,596458858,10,1101800659
2067,596458858,10,1101800660
942,596458858,10,8400933517
718,596458858,10,8400933518
5743,596458858,10,7900934224
1011,596458858,10,8305733689
563,596458858,10,1101800662
3308,596458858,10,1101800663
4588,596458858,10,8400933519
1663,596458858,10,1700955360
3702,596458858,10,1101800664
3474,596458858,10,8400933522
4332,596458858,10,8400933523
3197,596458858,10,8400933524
627,596458858,10,7900934229
5348,596458858,10,8250934091
2860,596458858,10,8305733692
1081,596458858,10,1101800665
1297,596458858,10,1101800666
3310,596458858,10,1101800667
5300,596458858,10,8400933525
1763,596458858,10,1700955363
1614,596458858,10,7900934233
3201,596458858,10,8250934092
2843,596458858,10,1101800668
4334,596458858,10,1700955369
3289,596458858,10,1700955370
1578,596458858,10,8250934093
