Store #,Store Notes,Equipment Being Received for Coversion
26,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
35,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
39,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
42,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
43,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
59,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
72,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
79,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
111,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
186,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
242,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
341,Has at least one license PC in dept. that will work after changeover - send license to alternate printer until new laser printer is installed.,Printer
342,Has at least one license PC in dept. that will work after changeover - send license to alternate printer until new laser printer is installed.,Printer
346,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
368,Has at least one license PC in dept. that will work after changeover - send license to alternate printer until new laser printer is installed.,Printer
369,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
370,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
372,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
378,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
382,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
419,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
484,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
486,Has at least one license PC in dept. that will work after changeover - send license to alternate printer until new laser printer is installed.,Printer
557,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
558,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
577,Has at least one license PC in dept. that will work after changeover - send license to alternate printer until new laser printer is installed.,Printer
592,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
652,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
664,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
770,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
794,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
799,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
978,H&F license icon added to Firearm PC - will print to existing laser printer in SG,Terminal (PC+Monitor)
993,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,Terminal (PC+Monitor)
1054,Has at least one license PC in dept. that will work after changeover - license will print to current SG laser printer,No equipment needed
