Stores,Market,Store Type,VIN,Expiration Date
5317,82,SUP,1FTBW3XK2NKA00481,3/31/2023
4165,479,SUP,1FTBW3XK1NKA00522,4/30/2023
2991,82,SUP,1FTBW3XK9NKA00512,4/30/2023
880,50,SUP,1FTBW3XK6NKA00483,4/30/2023
1129,82,SUP,1FTBW3XK4NKA22515,4/30/2023
880,50,SUP,1FTBW3XK1NKA22519,4/30/2023
4503,44,SUP,1FTBW3XK8NKA09637,4/30/2023
2649,50,SUP,1FTBW3XK8NKA00484,4/30/2023
3044,50,SUP,1FTBW3XK4NKA28556,4/30/2023
5094,562,WNM,1FTBW3XK4NKA28539,5/30/2023
3226,65,SUP,1FTBW3XK5NKA30087,5/30/2023
2993,62,SUP,1FTBW3XK2NKA30080,5/30/2023
3213,68,SUP,1FTBW3XK3NKA28435,5/30/2023
703,67,SUP,1FTBW3XK4NKA35653,5/30/2023
1837,59,SUP,1FTBW3XK1NKA00553,5/30/2023
3482,51,SUP,1FTBW3XK6NKA00547,5/31/2023
2976,561,WNM,1FTBW3XK0NKA08241,5/31/2023
5810,49,SUP,1FTBW3XKXNKA00499,5/31/2023
5866,56,SUP,1FTBW3XK1NKA00584,5/31/2023
4182,504,WNM,1FTBW3XK6NKA00614,5/31/2023
475,83,SUP,1FTBW3XK3NKA00490,5/31/2023
1216,53,SUP,1FTBW3XK5NKA08252,5/31/2023
1455,44,SUP,1FTBW3XKXNKA00468,5/31/2023
2974,504,WNM,1FTBW3XK0NKA14380,5/31/2023
2973,51,SUP,1FTBW3XK2NKA14347,5/31/2023
3433,49,SUP,1FTBW3XKXNKA00521,5/31/2023
807,50,SUP,1FTBW3XK8NKA14384,5/31/2023
3341,58,WNM,1FTBW3XK3NKA14115,5/31/2023
896,49,SUP,1FTBW3XK1NKA14209,5/31/2023
2834,50,SUP,1FTBW3XK9NKA14488,5/31/2023
5092,53,SUP,1FTBW3XK9NKA14166,5/31/2023
3773,479,SUP,1FTBW3XK8NKA09640,5/31/2023
2995,504,WNM,1FTBW3XK6NKA14481,5/31/2023
4627,52,SUP,1FTBW3XK2NKA00612,5/31/2023
1800,583,SUP,1FTBW3XK4NKA08257,5/31/2023
3286,52,SUP,1FTBW3XK1NKA14453,5/31/2023
206,52,SUP,1FTBW3XK0NKA00611,5/31/2023
5080,50,SUP,1FTBW3XKXNKA14421,5/31/2023
3419,58,WNM,1FTBW3XK0NKA00608,5/31/2023
2086,56,SUP,1FTBW3XK9NKA14412,5/31/2023
2979,58,WNM,1FTBW3XK9NKA08271,5/31/2023
202,51,SUP,1FTBW3XK2NKA14395,5/31/2023
3284,44,SUP,1FTBW3XK4NKA14365,5/31/2023
3014,49,SUP,1FTBW3XK2NKA00528,5/31/2023
1185,83,SUP,1FTBW3XKXNKA08246,5/31/2023
1801,44,SUP,1FTBW3XK7NKA00511,5/31/2023
1117,51,SUP,1FTBW3XK1NKA14162,5/31/2023
3392,58,WNM,1FTBW3XK1NKA08278,5/31/2023
5311,52,SUP,1FTBW3XKXNKA00552,5/31/2023
5316,479,SUP,1FTBW3XK5NKA00541,5/31/2023
940,479,SUP,1FTBW3XK7NKA00542,5/31/2023
3594,58,WNM,1FTBW3XK8NKA14160,5/31/2023
2978,44,SUP,1FTBW3XK2NKA00545,5/31/2023
1055,583,SUP,1FTBW3XK1NKA00536,5/31/2023
2918,51,SUP,1FTBW3XK8NKA22520,5/31/2023
2981,58,WNM,1FTBW3XK3NKA08282,5/31/2023
590,48,SUP,1FTBW3XK5NKA09630,5/31/2023
220,48,SUP,1FTBW3XK2NKA09634,5/31/2023
3870,561,WNM,1FTBW3XK3NKA22487,5/31/2023
266,50,SUP,1FTBW3XKXNKA09641,5/31/2023
471,49,SUP,1FTBW3XK5NKA00538,5/31/2023
3482,51,SUP,1FTBW3XK7NKA00556,5/31/2023
972,479,SUP,1FTBW3XK6NKA00550,5/31/2023
5479,83,SUP,1FTBW3XK9NKA09629,5/31/2023
3224,583,SUP,1FTBW3XK6NKA14125,5/31/2023
5673,51,SUP,1FTBW3XK8NKA00596,5/31/2023
5480,83,SUP,1FTBW3XK9NKA00493,5/31/2023
940,479,SUP,1FTBW3XK7NKA00508,5/31/2023
284,49,SUP,1FTBW3XK5NKA00524,5/31/2023
2105,53,SUP,1FTBW3XKXNKA14161,5/31/2023
3631,44,SUP,1FTBW3XK8NKA00582,5/31/2023
5021,561,WNM,1FTBW3XK4NKA14415,5/31/2023
5312,479,SUP,1FTBW3XK4NKA09635,5/31/2023
5211,52,SUP,1FTBW3XK4NKA14107,5/31/2023
5416,50,SUP,1FTBW3XK1NKA14436,5/31/2023
5614,58,WNM,1FTBW3XK6NKA00466,5/31/2023
5672,51,SUP,1FTBW3XK4NKA14141,5/31/2023
5824,561,WNM,1FTBW3XK3NKA00487,5/31/2023
5613,58,WNM,1FTBW3XK7NKA14232,5/31/2023
7347,58,WNM,1FTBW3XK4NKA14236,5/31/2023
5147,44,SUP,1FTBW3XK8NKA00579,5/31/2023
2974,504,WNM,1FTBW3XKXNKA30392,5/31/2023
5959,63,SUP,1FTBW3XK2NKA30337,5/31/2023
7361,562,WNM,1FTBW3XK3NKA30122,5/31/2023
3500,60,SUP,1FTBW3XK4NKA30081,5/31/2023
3510,62,SUP,1FTBW3XK0NKA30126,5/31/2023
5045,67,SUP,1FTBW3XK9NKA28424,5/31/2023
5116,60,SUP,1FTBW3XK5NKA35712,5/31/2023
4466,562,WNM,1FTBW3XKXNKA35687,5/31/2023
5612,63,SUP,1FTBW3XK6NKA35654,5/31/2023
4468,562,WNM,1FTBW3XK5NKA30381,5/31/2023
4538,67,SUP,1FTBW3XK6NKA28431,5/31/2023
3572,62,SUP,1FTBW3XK1NKA30121,5/31/2023
2724,63,SUP,1FTBW3XK3NKA46708,5/31/2023
744,59,SUP,1FTBW3XK8NKA31637,5/31/2023
529,61,SUP,1FTBW3XK3NKA30380,5/31/2023
1837,59,SUP,1FTBW3XK7NKA22539,5/30/2023
217,53,SUP,1FTBW3XK6NKA00581,5/31/2023
3432,49,SUP,1FTBW3XK4NKA00580,6/2/2023
2667,55,SUP,1FTBW3XK8NKA00467,6/30/2023
3569,83,SUP,1FTBW3XK4NKA00465,6/30/2023
8930,583,SUP,1FTBW3XKXNKA14158,6/30/2023
2926,56,SUP,1FTBW3XK6NKA14366,6/30/2023
2996,53,SUP,1FTBW3XK6NKA08258,6/30/2023
4240,53,SUP,1FTBW3XKXNKA14483,6/30/2023
5889,53,SUP,1FTBW3XK4NKA00594,6/30/2023
3406,51,SUP,1FTBW3XK6NKA00533,6/30/2023
2883,56,SUP,1FTBW3XK0NKA00530,6/30/2023
4219,82,SUP,1FTBW3XK1NKA08281,6/30/2023
3285,44,SUP,1FTBW3XK6NKA08244,6/30/2023
5624,58,WNM,1FTBW3XK1NKA00505,6/30/2023
3225,583,SUP,1FTBW3XK5NKA22507,6/30/2023
