Store Info,FY24 Assemblers ,Supplier Status ,Tabletop/Quick Assembly  ,Charcoal / Griddles / Smokers ,Gas / Wood / Pellet,Duel Fuel ,Level 1 Grill Repair ,Level 2 Grill Repair ,Level 3 Grill Repair 
1,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
1,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
1,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
2,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
2,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
2,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
3,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
3,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
3,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
4,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
4,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
4,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
5,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
5,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
5,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
7,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
7,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
7,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
8,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
8,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
8,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
9,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
9,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
10,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
10,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
10,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
11,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
11,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
11,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
12,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
12,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
12,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
13,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
13,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
13,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
14,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
14,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
14,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
15,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
15,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
15,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
16,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
16,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
16,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
17,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
17,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
17,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
18,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
18,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
18,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
19,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
19,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
20,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
20,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
20,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
21,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
21,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
22,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
22,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
22,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
23,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
23,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
23,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
24,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
24,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
24,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
25,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
25,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
26,ALL STAR ASSEMBLY LLC,Preferred,13.25,22.25,28.25,46.99,5.25,7.5,10.5
26,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
26,"National Assemblers, Inc.",Secondary,19.35,31.26,43.75,53.37,14.18,18.71,28.35
27,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
27,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
27,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
28,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
28,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
28,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
29,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
29,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
30,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
30,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
31,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
31,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
31,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
32,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
32,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
32,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
