Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,10,,
1,Dept 16,27IN SNOW ROLLER,PDQ,10,,
1,Dept 16,"BABY SLED, 24 units",PDQ,2,,
1,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,6,,Item Replacement due to tariffs: 48in USA sled
2,Dept 11,Command value Pack Sidekick,Sidekick,2,,
2,Dept 14,Holiday Time Gadgets,Full Stack,1,,
2,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,4,,
2,Dept 16,27IN SNOW ROLLER,PDQ,3,,
2,Dept 16,"BABY SLED, 24 units",PDQ,1,,
2,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,,Item Replacement due to tariffs: 48in USA sled
2,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,5,,
4,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
4,Dept 08,"6 Qt Round Heated Pet Bowl, Blue, 40 units",Full Endcap,1,,
4,Dept 11,".65 FIREWOOD BUNDLE, 65 units",Full Stack,3,,
4,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,3,,
4,Dept 16,27IN SNOW ROLLER,PDQ,3,,
4,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,,Item Replacement due to tariffs: 48in USA sled
4,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
4,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
5,Dept 07,Hot Wheels Monster Trucks Dragon Demolition,Full Endcap,1,,
5,Dept 07,Hot Wheels Racing Grand Prix Set,Full Endcap,1,,
5,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
5,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,5,,
5,Dept 14,Holiday Time Gadgets,Full Stack,1,,
5,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,1,,
5,Dept 16,"BABY SLED, 24 units",PDQ,2,,
5,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,6,,Item Replacement due to tariffs: 48in USA sled
5,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,3,,
