Region,Market,Store,BU,Final Tier,Comments
42,323,1,SOUTHEAST BU,Tier 2 - GM Pause,
42,322,2,SOUTHEAST BU,Tier 2 - GM Pause,
2,21,3,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
42,323,4,SOUTHEAST BU,Tier 2 - GM Pause,
42,326,5,SOUTHEAST BU,Tier 2 - GM Pause,
42,326,7,SOUTHEAST BU,Tier 2 - GM Pause,
42,326,8,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,335,9,NORTH BU,Tier 2 - GM Pause,
44,347,10,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,328,11,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,347,12,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
42,334,13,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,357,14,NORTH BU,Tier 2 - GM Pause,
40,333,15,NORTH BU,Tier 2 - GM Pause,
42,321,16,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,334,17,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,328,18,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,335,19,NORTH BU,Tier 2 - GM Pause,
40,357,20,NORTH BU,Tier 2 - GM Pause,
40,336,21,NORTH BU,Tier 1 - ISA On in Total Store,
44,347,22,SOUTWEST BU,Tier 2 - GM Pause,Per RVP direction
42,135,23,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,326,24,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,359,25,NORTH BU,Tier 2 - GM Pause,
47,411,26,WEST BU,Tier 2 - GM Pause,
40,357,27,NORTH BU,Tier 2 - GM Pause,
44,347,28,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,359,29,NORTH BU,Tier 2 - GM Pause,
40,335,30,NORTH BU,Tier 2 - GM Pause,
44,351,31,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,333,32,NORTH BU,Tier 2 - GM Pause,
