Store Number ,City,State,Toolkit Link,Phase I Possession,MFC Go Live,MFC Contact,MFC Type
266,Grapevine,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",n/a,Live,Kristen Knight,Manual
3284,Arlington,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",n/a,Live,Samer Daher,Manual
2907,Miami Gardens,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",n/a,Mar-23,Kristen Knight,Manual
573,Lee's Summit,MO,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",7/31/2023,Q3 2023,Kristen Knight,Manual
2996,Dallas,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",6/1/2023,Q3 2023,Kristen Knight,Manual
3510,Pearland,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",6/19/2023,Q3 2023,Kristen Knight,Manual
992,Tulsa,OK,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",8/21/2023,Q1 2024,Kristen Knight,Manual
206,McKinney,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",8/21/2023,Q4 2023,Kristen Knight,Manual
2861,Garden City,ID,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",9/4/2023,Q1 2024,Kristen Knight,Manual
805,Fenton,MO,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",9/25/2023,Q1 2024,Kristen Knight,Manual
831,Albuquerque,NM,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",7/5/2021,TBD,Kristen Knight,Manual
1090,Jacksonville,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",12/11/2023,Q2 2024,Kristen Knight,Manual
2511,American Fork,UT,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",8/22/2021,TBD,Kristen Knight,Manual
3348,Lake Park,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",1/7/2024,Q2 2024,Kristen Knight,Manual
3620,Riverton,UT,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",8/28/2023,Q1 2024,Kristen Knight,Manual
3728,North Las Vegas,NV,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",10/16/2023,Q2 2024,Kristen Knight,Manual
3790,Lockport,IL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",3/13/2023,Q1 2024,Kristen Knight,Manual
4405,Aurora (NE),IL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",5/8/2023,Q4 2023,Kristen Knight,Manual
5479,Pflugerville,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",11/3/2023,Q2 2024,Kristen Knight,Manual
100,Bentonville,AR,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",1/25/2021,4/24/2023,Amy Knox,Automated
144,Fayetteville,AR,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",3/20/2022,Q1 2024,Amy Knox,Automated
125,Fort Smith,AR,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",1/9/2023,Q2 2023,Amy Knox,Automated
2740,Tampa,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",3/13/2022,Q3 2023,Amy Knox,Automated
3207,Sanford,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",5/2/2022,Q4 2023,Amy Knox,Automated
1413,Crystal Lake,IL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",11/21/2021,Q1 2024,Amy Knox,Automated
3837,Rockton,IL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",9/26/2021,Q2 2024,Amy Knox,Automated
5236,Bowling Green,KY,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",5/9/2022,Q3 2023,Amy Knox,Automated
444,Springfield,MO,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",9/4/2023,Q1 2024,Amy Knox,Automated
