Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL
1,7/11/2025,390743808148,2110 W Walnut St,Rogers,AR,72756,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743808148
2,7/11/2025,390743823641,161 N Walmart Dr,Harrison,AR,72601,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743823641
3,7/11/2025,390743839000,30983 Highway 441 S,Commerce,GA,30529,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743839000
4,7/11/2025,390743851089,2901 Highway 412 E,Siloam Springs,AR,72761,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743851089
5,7/11/2025,390743863954,1155 Hwy 65 North,Conway,AR,72032,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743863954
7,7/11/2025,390743883143,9053 Highway 107,Sherwood,AR,72120,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743883143
8,7/11/2025,390743895364,1621 North Business 9,Morrilton,AR,72110,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743895364
9,7/11/2025,390743909835,1303 S Main St,Sikeston,MO,63801,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743909835
10,7/11/2025,390743933564,2020 S Muskogee Ave,Tahlequah,OK,74464,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743933564
11,7/11/2025,390743945557,65 Wal Mart Dr,Mountain Home,AR,72653,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743945557
12,7/11/2025,390743961027,1500 S Lynn Riggs Blvd,Claremore,OK,74017,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743961027
13,7/11/2025,390743970878,2705 Grand Ave,Carthage,MO,64836,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743970878
14,7/11/2025,390743987510,1800 S Jefferson Ave,Lebanon,MO,65536,https://www.fedex.com/apps/fedextrack/?tracknumbers=390743987510
15,7/11/2025,390744002020,1310 Preacher Roe Blvd,West Plains,MO,65775,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744002020
16,7/11/2025,390744011193,2214 Fayetteville Rd,Van Buren,AR,72956,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744011193
17,7/11/2025,390744027836,3200 Lusk Dr,Neosho,MO,64850,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744027836
18,7/11/2025,390744041726,1211 Highway 367 N,Newport,AR,72112,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744041726
19,7/11/2025,390744053178,333 S Westwood Blvd,Poplar Bluff,MO,63901,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744053178
20,7/11/2025,390744068620,1712 E Ohio St,Clinton,MO,64735,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744068620
21,7/11/2025,390744082277,185 Saint Robert Blvd,Saint Robert,MO,65584,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744082277
22,7/11/2025,390744095005,4901 S Mill St,Pryor,OK,74361,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744095005
23,7/11/2025,390744111601,1201 N Service Rd E,Ruston,LA,71270,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744111601
24,7/11/2025,390744124196,2000 John Harden Dr,Jacksonville,AR,72076,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744124196
25,7/11/2025,390744140310,4820 S Clark St,Mexico,MO,65265,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744140310
26,7/11/2025,390744153137,5000 10Th Ave,Leavenworth,KS,66048,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744153137
27,7/11/2025,390744180082,1101 W Highway 32,Salem,MO,65560,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744180082
28,7/11/2025,390744196151,2415 N Main St,Miami,OK,74354,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744196151
29,7/11/2025,390744211431,724 W Stadium Blvd,Jefferson City,MO,65109,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744211431
30,7/11/2025,390744220815,2025 W Business Us Highway 60,Dexter,MO,63841,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744220815
31,7/11/2025,390744234031,3108 N Broadway St,Poteau,OK,74953,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744234031
32,7/11/2025,390744251490,2050 W 76 Country Blvd,Branson,MO,65616,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744251490
33,7/11/2025,390744275524,1710 S 4Th St,Nashville,AR,71852,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744275524
34,7/11/2025,390744300713,2250 Lincoln Ave,Nevada,MO,64772,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744300713
35,7/11/2025,390744317270,101 Bluemont Ave,Manhattan,KS,66502,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744317270
36,7/11/2025,390744331068,2802 W Kingshighway,Paragould,AR,72450,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744331068
37,7/11/2025,390744345204,707 Walton Dr,Farmington,MO,63640,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744345204
38,7/11/2025,390744372079,1907 Se Washington St,Idabel,OK,74745,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744372079
39,7/11/2025,390744393798,2500 S Main St,Fort Scott,KS,66701,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744393798
40,7/11/2025,390744410132,1301 E Highway 24,Moberly,MO,65270,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744410132
41,7/11/2025,390744431781,4000 Se Green Country Rd,Bartlesville,OK,74006,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744431781
42,7/11/2025,390744444900,1863 Cr 5300,Coffeyville,KS,67337,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744444900
43,7/11/2025,390744459410,521 E Chestnut St,Junction City,KS,66441,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744459410
44,7/11/2025,390744473078,1802 S Business 54,Eldon,MO,65026-1786,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744473078
45,7/11/2025,390744486825,1815 E Highland Dr,Jonesboro,AR,72401,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744486825
46,7/11/2025,390744497167,2451 S Springfield Ave,Bolivar,MO,65613,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744497167
47,7/11/2025,390744512540,1101 W Ruth Ave,Sallisaw,OK,74955,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744512540
48,7/11/2025,390744533559,885 E Us Highway 60,Monett,MO,65708,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744533559
49,7/11/2025,390744559044,1911 E Jackson St,Hugo,OK,74743,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744559044
50,7/11/2025,390744578543,268 S 7Th St,Vinita,OK,74301,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744578543
51,7/11/2025,390744591492,1701 N Bluff St.,Fulton,MO,65251-0248,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744591492
52,7/11/2025,390744604897,1601 Albert Pike Rd,Hot Springs,AR,71913,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744604897
54,7/11/2025,390744622164,2004 S Pleasant St,Springdale,AR,72764,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744622164
55,7/11/2025,390744650657,1400 East Main St,Booneville,AR,72927,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744650657
56,7/11/2025,390744679303,1309 Nw 12th Ave,Ava,MO,65608,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744679303
57,7/11/2025,390744695387,1600 W Main St,Walnut Ridge,AR,72476,https://www.fedex.com/apps/fedextrack/?tracknumbers=390744695387
