Store,Scheduled Removal,18D_Removal,36D_Removal
385,8/9/2023,,2
440,8/9/2023,,2
463,8/7/2023,,2
490,8/8/2023,,2
524,8/7/2023,,2
553,8/9/2023,,3
826,8/10/2023,1,3
842,8/9/2023,1,3
873,8/10/2023,,2
921,8/8/2023,,2
962,8/10/2023,,3
966,8/11/2023,,4
970,8/9/2023,,2
986,8/7/2023,,2
1001,8/8/2023,1,3
1019,8/8/2023,1,3
1175,8/8/2023,,2
1195,8/8/2023,,2
1199,8/7/2023,,3
1299,8/8/2023,,2
1328,8/8/2023,,2
1369,8/9/2023,,2
1417,8/9/2023,,2
1442,8/8/2023,,2
1494,8/8/2023,,2
1680,8/7/2023,,3
1790,8/7/2023,,2
1836,8/7/2023,,2
1996,8/9/2023,,2
2270,8/11/2023,,3
2727,8/7/2023,,2
2872,8/7/2023,,2
2912,8/7/2023,,2
2946,8/9/2023,,1
3042,8/10/2023,,1
3163,8/9/2023,,1
3183,8/7/2023,,1
3241,8/10/2023,,2
3314,8/10/2023,,1
3315,8/7/2023,,1
3336,8/7/2023,,2
3382,8/8/2023,,3
3428,8/11/2023,,2
3465,8/10/2023,,2
3476,8/8/2023,,2
3528,8/8/2023,,2
3625,8/9/2023,,4
3730,8/9/2023,,2
3844,8/7/2023,,1
3845,8/10/2023,,1
3935,8/7/2023,,1
4129,8/10/2023,,1
4233,8/7/2023,,1
4252,8/8/2023,,2
4355,8/8/2023,,2
4383,8/7/2023,,2
4563,8/9/2023,,1
5003,8/11/2023,,2
5079,8/8/2023,,2
5124,8/10/2023,,2
5190,8/10/2023,1,3
5303,8/9/2023,,2
5460,8/9/2023,,2
5472,8/7/2023,,2
5671,8/7/2023,,2
5761,8/8/2023,,2
5828,8/9/2023,,1
5832,8/10/2023,,1
5835,8/9/2023,,2
5842,8/7/2023,,2
5898,8/8/2023,,2
6577,8/9/2023,,1
