Store,Dates,Reg,0.01,0.05,0.1,0.25
54,5/8/2024,30,audit,,,
471,5/8/2024,20,audit,,,
471,5/8/2024,22,audit,,,
471,5/8/2024,24,audit,,,
471,5/8/2024,92,audit,,,
880,5/8/2024,10,3,0,1,2
880,5/8/2024,11,audit,,,
880,5/8/2024,12,audit,,,
880,5/8/2024,13,0,1,0,0
880,5/8/2024,14,audit,,,
880,5/8/2024,15,3,0,1,1
880,5/8/2024,16,0,0,0,1
880,5/8/2024,17,audit,,,
880,5/8/2024,40,audit,,,
880,5/8/2024,41,audit,,,
880,5/8/2024,58,audit,,,
880,5/8/2024,62,audit,,,
880,5/8/2024,63,0,0,0,0
880,5/8/2024,64,1,0,0,1
880,5/8/2024,67,1,0,0,1
880,5/8/2024,68,0,0,0,0
880,5/8/2024,79,audit,,,
880,5/8/2024,90,audit,,,
880,5/8/2024,91,0,0,0,1
880,5/8/2024,93,0,0,0,1
880,5/8/2024,95,0,0,0,1
880,5/8/2024,98,2,1,1,1
1082,5/8/2024,18,audit,,,
1801,5/8/2024,11,audit,,,
1801,5/8/2024,23,audit,,,
2918,5/8/2024,15,0,0,1,0
2918,5/8/2024,17,2,0,0,1
2918,5/8/2024,19,2,0,1,1
2918,5/8/2024,20,audit,1,1,1
2918,5/8/2024,21,0,0,0,0
2918,5/8/2024,40,0,1,1,1
2918,5/8/2024,41,0,0,0,0
2918,5/8/2024,42,0,0,0,0
2918,5/8/2024,54,2,0,0,0
2918,5/8/2024,58,0,0,0,0
2918,5/8/2024,67,0,0,1,0
2918,5/8/2024,70,1,0,0,1
2918,5/8/2024,71,0,0,0,0
2918,5/8/2024,77,0,0,0,0
2918,5/8/2024,79,0,0,0,0
2918,5/8/2024,80,0,0,0,0
2918,5/8/2024,91,1,0,0,0
2918,5/8/2024,92,audit,1,1,1
2918,5/8/2024,93,1,0,0,1
2918,5/8/2024,98,0,0,0,0
3014,5/8/2024,18,audit,,,
3014,5/8/2024,19,audit,,,
3014,5/8/2024,20,audit,,,
3014,5/8/2024,58,audit,,,
3014,5/8/2024,62,audit,,,
4681,5/8/2024,19,audit,,,
5080,5/8/2024,23,audit,,,
5172,5/8/2024,4,audit,,,
5172,5/8/2024,95,audit,,,
5316,5/8/2024,1,0,1,1,1
5316,5/8/2024,2,2,1,1,1
5316,5/8/2024,3,0,0,1,2
5316,5/8/2024,4,audit,,,
5316,5/8/2024,5,2,1,0,2
5316,5/8/2024,6,2,1,1,2
5316,5/8/2024,7,audit,,,
5316,5/8/2024,8,3,2,2,2
5316,5/8/2024,9,3,2,2,2
5316,5/8/2024,10,3,2,2,2
5316,5/8/2024,11,3,2,2,2
5316,5/8/2024,12,3,2,2,2
5316,5/8/2024,13,3,2,2,2
5316,5/8/2024,14,3,2,2,2
5316,5/8/2024,58,3,2,2,2
5316,5/8/2024,59,0,1,1,1
5316,5/8/2024,67,1,0,1,1
5316,5/8/2024,68,1,0,0,1
5316,5/8/2024,71,3,2,2,2
5316,5/8/2024,72,3,2,2,2
5316,5/8/2024,77,0,1,1,0
5316,5/8/2024,78,0,0,1,1
5316,5/8/2024,79,1,0,1,1
5316,5/8/2024,90,1,0,0,1
5316,5/8/2024,91,3,2,1,2
5316,5/8/2024,92,,,1,1
5316,5/8/2024,93,3,1,2,1
5316,5/8/2024,94,0,0,1,1
5316,5/8/2024,95,1,0,1,1
5316,5/8/2024,98,1,1,0,0
