Store,Invoice Date,Store Invoice Period,Invoice #,Machine,Total,OOS Billing Category,Area of Machine,Memo
320,12/01/2021,Feb 2022,537490,8000 - BCR2,$402.90,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
2692,12/01/2021,Feb 2022,537491,8000 - BCR2,$394.53,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
1521,12/01/2021,Feb 2022,537500,8000 - BCR2,$401.23,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
2645,12/01/2021,Feb 2022,537503,DUAL - 7000 - BCR2,$436.48,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
1230,12/02/2021,Feb 2022,537836,8000,$460.83,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
126,12/02/2021,Feb 2022,537838,8000 - BCR2,$463.26,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
932,12/02/2021,Feb 2022,537840,8000 - BCR2,$398.26,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
3482,12/02/2021,Feb 2022,537843,8000 - BCR2,$402.90,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
915,12/02/2021,Feb 2022,537844,8000,$402.90,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
1063,12/02/2021,Feb 2022,537851,DUAL - 7000 - BCR2,$431.09,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
592,12/02/2021,Feb 2022,537970,8000 - BCR2,$401.97,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
2818,12/02/2021,Feb 2022,537974,8000 - BCR2,$3.30,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
4383,12/02/2021,Feb 2022,537976,8000,$119.78,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3177,12/02/2021,Feb 2022,538000,DUAL - 7000 - BCR2,$442.49,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
3588,12/02/2021,Feb 2022,538001,8000 - BCR2,$394.53,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
1920,12/02/2021,Feb 2022,538004,8000 - BCR2,$372.20,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
307,12/04/2021,Feb 2022,538107,8000 - BCR2,$464.59,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
2583,12/04/2021,Feb 2022,538108,8000 - BCR2,$488.67,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
5418,12/04/2021,Feb 2022,538142,8000 - BCR2,"$1,200.98","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1338,12/04/2021,Feb 2022,538355,8000 - BCR2,"$3,119.34","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,Coin Sorter and Bill Validator Entry were both physically damaged.
68,12/04/2021,Feb 2022,538493,8000 - BCR2,$469.63,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,"Rescheduled due to request from associate ""Thomas"""
418,12/04/2021,Feb 2022,538549,8000 - BCR2,$322.50,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#failed"">CUSTOMER FAILED TO CANCEL CALL</a>",OTHER,
4232,12/04/2021,Feb 2022,538553,8000 - BCR2,"$1,616.83","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,Site did not return new or old cassette within 30 days of part delivery.
5866,12/04/2021,Feb 2022,538558,6000,"$1,611.63","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,Site did not return new or old cassette within 30 days of part delivery.
655,12/04/2021,Feb 2022,538559,8000 - BCR2,$450.50,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
2100,12/04/2021,Feb 2022,538571,8000 - BCR2,$450.50,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2917,12/04/2021,Feb 2022,538572,8000 - BCR2,$461.65,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3417,12/04/2021,Feb 2022,538574,8000 - BCR2,$321.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BNR,
1380,12/04/2021,Feb 2022,538576,8000,$508.91,IMPROPER HANDLING - SHUTTER,BNR,
1219,12/04/2021,Feb 2022,538577,8000 - BCR2,$322.50,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
6469,12/04/2021,Feb 2022,538582,8000,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
5282,12/05/2021,Feb 2022,538593,8000 - BCR2,$822.74,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
5199,12/05/2021,Feb 2022,538597,DUAL - 7000 - BCR2,"$1,321.26","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
4530,12/05/2021,Feb 2022,538598,7000,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
1023,12/05/2021,Feb 2022,538599,8000 - BCR2,$447.53,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2724,12/05/2021,Feb 2022,538600,8000 - BCR2,$552.26,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
909,12/05/2021,Feb 2022,538602,8000 - BCR2,$468.53,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
290,12/05/2021,Feb 2022,538609,8000 - BCR2,$460.06,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3078,12/05/2021,Feb 2022,538615,8000 - BCR2,$453.16,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#failed"">CUSTOMER FAILED TO CANCEL CALL</a>",OTHER,
516,12/05/2021,Feb 2022,538625,8000 - BCR2,$880.71,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#foreign"">FOREIGN OBJECT - OTHER</a>",BNR,
136,12/05/2021,Feb 2022,538630,7000 - BCR2,$469.28,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",OTHER,
1347,12/05/2021,Feb 2022,538649,8000 - BCR2,$460.06,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#foreign"">FOREIGN OBJECT - OTHER</a>",BNR,
1660,12/05/2021,Feb 2022,538659,8000 - BCR2,"$1,038.23","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
2270,12/06/2021,Feb 2022,538357,8000 - BCR2,$356.85,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
1338,12/04/2021,Feb 2022,538397,8000 - BCR2,$394.30,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",OTHER,
5434,12/04/2021,Feb 2022,538424,8000 - BCR2,$442.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
432,12/04/2021,Feb 2022,538580,8000 - BCR2,$563.58,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1863,12/06/2021,Feb 2022,538645,8000 - BCR2,$455.82,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2764,12/06/2021,Feb 2022,538702,8000 - BCR2,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
3799,12/06/2021,Feb 2022,538703,8000,$460.28,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
7337,12/11/2021,Feb 2022,538709,Quantum 4 AV,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,"Site did not allow tech to complete service, resulting in a second dispatch."
1783,12/06/2021,Feb 2022,538724,8000 - BCR2,$579.83,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1191,12/06/2021,Feb 2022,538734,8000 - BCR2,$582.54,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
2914,12/06/2021,Feb 2022,538736,8000 - BCR2,$577.12,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
814,12/06/2021,Feb 2022,538742,8000 - BCR2,"$1,197.33","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",OTHER,
1016,12/06/2021,Feb 2022,538759,8000 - BCR2,$464.95,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
1926,12/06/2021,Feb 2022,538760,8000 - BCR2,"$1,088.64","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
5964,12/06/2021,Feb 2022,538763,8000 - BCR2,$376.76,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
5129,12/06/2021,Feb 2022,538764,8000 - BCR2,$551.08,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
5040,12/06/2021,Feb 2022,538775,8000 - BCR2,$321.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
733,12/06/2021,Feb 2022,538776,8000 - BCR2,$312.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,
1495,12/06/2021,Feb 2022,538777,8000 - BCR2,$550.06,IMPROPER HANDLING - SHUTTER,BNR,
2213,12/06/2021,Feb 2022,538778,8000 - BCR2,$315.89,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
6469,12/06/2021,Feb 2022,538779,8000,$321.00,IMPROPER HANDLING - SHUTTER,BNR,
5670,12/06/2021,Feb 2022,538781,7000,$321.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#till"">IMPROPER HANDLING - TILL</a>",BCR,
3434,12/06/2021,Feb 2022,538786,DUAL - 7000 - BCR2,$505.18,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3485,12/06/2021,Feb 2022,538787,8000 - BCR2,$429.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2135,12/06/2021,Feb 2022,538788,8000 - BCR2,$377.25,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
186,12/06/2021,Feb 2022,538789,8000 - BCR2,$322.50,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#till"">IMPROPER HANDLING - TILL</a>",BCR,
