Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
335,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,72.44%,63.51%,18.5,73.90%,72.00%,66.80%,77.40%
587,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202229,86.75%,89.42%,12.6,91.70%,78.90%,94.10%,82.60%
671,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,72.14%,65.58%,16.3,80.80%,63.30%,60.80%,85.70%
1053,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,84.02%,80.08%,9.4,80.70%,75.30%,92.10%,87.50%
3294,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,83.70%,50.26%,17.9,70.40%,91.90%,79.70%,90.20%
3294,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202229,77.95%,56.31%,12.3,71.80%,73.00%,75.90%,89.00%
5417,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,84.01%,89.74%,11.6,84.90%,82.30%,83.20%,85.60%
5418,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,72.19%,67.17%,20.1,69.20%,81.10%,53.70%,87.40%
5418,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202229,69.91%,68.71%,16.3,64.70%,72.20%,53.10%,85.80%
7290,UBER,Scheduled Standard Delivery,31,Executive Review,Degrading,Store Focus,202229,72.87%,75.91%,11.3,79.20%,75.00%,66.70%,73.20%
282,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202229,84.30%,80.60%,15,90.20%,80.70%,87.30%,74.50%
491,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202229,53.33%,75.00%,17.3,50.00%,85.70%,66.70%,20.00%
3362,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202229,75.55%,64.02%,10.5,91.60%,63.90%,66.60%,80.10%
299,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202229,88.41%,80.00%,13.9,83.30%,88.90%,85.70%,100.00%
1341,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,75.54%,66.13%,15.6,75.40%,82.60%,66.90%,79.40%
709,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202229,72.33%,67.59%,17,72.70%,90.50%,66.70%,64.80%
1165,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,77.98%,62.34%,17.9,72.30%,80.00%,75.60%,85.10%
1165,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,68.83%,54.44%,19.3,59.10%,65.00%,76.70%,70.40%
4118,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202229,83.68%,94.60%,7.6,83.70%,78.70%,83.90%,88.30%
689,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,76.56%,77.93%,14,82.40%,76.10%,73.00%,75.70%
825,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202229,80.00%,97.78%,5.7,75.00%,90.90%,66.70%,83.30%
1113,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202229,82.68%,82.56%,12,68.90%,86.30%,80.80%,87.80%
1259,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,87.86%,86.26%,15.7,82.10%,79.20%,88.90%,98.10%
1259,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202229,87.97%,90.71%,12.7,91.40%,79.70%,90.90%,88.80%
591,POINTPICKUP,Scheduled Express Delivery ,15,Executive Review,Degrading,Driver Supply Focus,202229,78.13%,98.21%,5.7,70.00%,83.30%,75.00%,87.50%
1426,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202229,84.38%,90.44%,9.7,85.50%,77.70%,83.30%,89.90%
1478,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,70.28%,70.14%,16.2,72.50%,68.80%,59.60%,76.50%
3894,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202229,59.69%,49.40%,17.9,50.00%,52.00%,53.80%,79.40%
692,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,86.73%,83.54%,15.8,87.20%,85.10%,91.00%,83.60%
720,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,70.11%,67.21%,18.7,81.50%,61.30%,62.20%,76.60%
1210,POINTPICKUP,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202229,97.14%,91.67%,6.5,100.00%,100.00%,100.00%,88.90%
2628,DOORDASH,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202229,55.10%,54.31%,29,92.90%,52.90%,43.10%,62.50%
4524,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202229,81.03%,89.06%,10.3,91.70%,60.00%,84.20%,82.40%
4524,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202229,81.77%,90.86%,8.6,73.90%,76.80%,88.10%,82.70%
853,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202229,58.70%,70.83%,23.8,81.80%,87.50%,46.20%,35.70%
853,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202229,71.34%,66.44%,14.8,87.20%,85.60%,54.90%,67.20%
