STORE,market_nbr,Region_nbr,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
1,323,42,37,0,20,20,0
2,322,42,37,0,12,16,0
3,21,2,37,0,20,28,0
4,323,42,37,0,20,24,0
5,326,42,37,0,20,28,0
7,326,42,37,0,20,12,0
8,326,42,37,0,20,20,0
9,335,40,37,0,20,28,0
10,347,44,37,0,20,20,0
11,328,42,37,0,12,20,0
12,347,44,37,0,20,24,0
13,334,42,37,0,20,12,0
14,357,40,37,0,20,16,0
15,333,40,37,0,20,32,0
16,321,42,37,0,20,16,0
17,334,42,37,0,20,16,0
18,328,42,37,0,20,16,0
19,335,40,37,0,20,20,8
20,361,40,37,0,12,24,0
21,336,40,37,0,20,20,0
22,347,44,37,0,20,16,0
23,135,42,37,0,20,0,0
24,326,42,37,0,20,16,0
25,359,40,37,28,0,0,0
26,411,47,37,0,20,16,0
27,357,40,37,0,12,12,0
28,347,44,37,0,20,12,0
29,336,40,37,0,20,16,0
30,335,40,37,28,0,0,0
31,351,44,37,0,20,8,0
32,333,40,37,0,12,12,0
33,325,42,37,0,12,12,8
34,334,42,37,0,12,20,0
35,407,47,37,0,20,32,0
36,329,11,37,0,20,16,0
37,335,40,37,0,20,20,0
38,47,44,37,0,12,20,0
39,410,44,37,0,12,12,0
40,359,40,37,0,20,12,0
41,345,44,37,0,20,24,0
42,410,44,37,0,20,20,8
43,407,47,37,0,12,24,0
44,336,40,37,20,0,0,0
45,329,11,37,0,20,16,0
46,357,40,37,0,20,28,0
47,351,44,37,0,20,12,0
48,334,42,37,0,20,8,0
49,47,44,37,0,20,12,0
50,347,44,37,0,12,16,0
51,359,40,37,0,20,8,0
52,325,42,37,0,20,32,0
54,322,42,37,0,20,16,0
55,321,42,37,0,12,20,0
56,333,40,37,0,12,8,0
57,328,42,37,0,12,8,0
58,325,42,37,0,20,32,0
59,334,42,37,0,20,20,0
60,339,40,37,0,20,16,0
61,361,40,37,0,20,24,0
62,329,11,37,0,12,24,0
63,347,44,37,0,12,8,0
64,146,11,37,0,12,24,0
65,336,40,37,0,20,16,0
66,321,42,37,0,20,12,0
67,321,42,37,0,20,20,0
68,329,11,37,24,0,0,0
69,335,40,37,0,20,32,0
70,329,11,37,0,12,8,0
71,328,42,37,0,20,8,0
72,410,44,37,0,12,12,0
73,356,44,37,0,20,12,0
74,329,11,37,0,12,20,0
75,134,13,37,0,20,24,0
76,322,42,37,0,12,8,0
77,83,7,37,0,20,20,0
78,357,40,37,0,20,12,0
79,334,42,37,0,12,24,0
80,359,40,37,0,20,12,0
81,347,44,37,16,0,0,0
82,335,40,37,0,20,8,0
83,327,42,37,0,20,16,0
85,324,42,37,0,20,24,0
86,357,40,37,0,20,24,0
87,127,42,37,0,20,20,8
88,357,40,37,0,20,20,8
89,336,40,37,0,12,24,0
90,347,44,37,0,12,20,0
91,329,11,37,0,12,16,0
92,334,42,37,0,20,16,0
93,146,11,37,0,20,20,0
94,145,11,37,0,20,20,0
95,335,40,37,0,20,16,0
96,361,40,37,0,20,16,8
97,146,11,37,0,12,8,0
98,135,42,37,0,20,16,8
99,340,40,37,0,20,12,0
100,323,42,37,0,20,20,0
101,336,40,37,0,20,20,0
102,327,42,37,20,0,0,0
103,351,44,37,0,12,20,0
104,146,11,37,0,12,8,0
105,4,11,37,0,20,20,8
106,146,11,37,0,12,20,0
107,146,11,37,0,20,24,8
108,344,44,37,0,20,20,0
109,360,40,37,0,12,16,0
110,89,3,37,0,20,32,0
111,410,44,37,0,12,12,0
112,138,11,37,0,20,24,0
113,349,44,37,0,12,20,0
114,4,11,37,0,12,16,8
115,138,11,37,0,12,16,0
116,127,42,37,0,12,12,0
117,47,44,37,8,0,0,0
118,4,11,37,0,12,8,0
119,328,42,37,0,20,24,0
120,146,11,37,0,12,20,0
121,351,44,37,0,20,16,8
122,335,40,37,0,20,8,0
123,351,44,37,0,12,20,8
124,324,42,37,0,20,24,0
125,321,42,37,0,20,20,0
126,324,42,37,0,20,20,0
127,325,42,37,0,20,16,0
128,329,11,37,0,20,12,0
129,350,44,37,0,12,20,0
130,347,44,37,0,20,12,0
131,47,44,37,0,12,20,0
132,344,44,37,0,12,12,0
133,325,42,37,0,12,20,0
134,344,44,37,0,20,16,0
135,360,40,37,0,12,12,0
136,345,44,37,12,0,0,0
137,352,44,37,0,20,32,0
138,357,40,37,0,20,20,0
139,353,44,37,0,20,20,0
140,503,13,37,0,20,24,0
141,321,42,37,0,20,32,0
143,253,41,37,0,20,20,0
144,322,42,37,0,20,28,0
145,339,40,37,0,12,8,0
146,46,13,37,0,20,16,0
147,350,44,37,0,20,16,0
148,47,44,37,0,20,24,0
149,135,42,37,0,12,24,0
150,344,44,37,0,20,12,0
151,350,44,37,0,12,20,0
152,335,40,37,0,20,16,0
153,4,11,37,0,12,12,0
154,311,20,37,0,20,12,0
155,136,11,37,0,12,16,0
157,328,42,37,32,0,0,0
158,350,44,37,0,20,12,8
159,359,40,37,0,20,32,0
160,328,42,37,28,0,0,0
161,147,11,37,0,12,20,0
162,349,44,37,0,12,8,0
163,503,13,37,24,0,0,0
164,4,11,37,0,12,8,0
165,46,13,37,0,20,20,0
166,357,40,37,0,20,16,0
167,327,42,37,0,12,20,0
168,345,44,37,0,20,24,0
169,326,42,37,0,20,16,0
170,134,13,37,0,20,8,0
171,327,42,37,0,20,20,0
172,340,40,37,0,20,16,0
173,357,40,37,0,12,16,0
174,92,9,37,0,20,24,0
175,144,11,37,0,20,32,0
176,4,11,37,0,8,16,0
177,146,11,37,0,20,16,0
178,344,44,37,0,20,20,0
179,357,40,37,0,20,8,0
180,46,13,37,0,20,16,8
181,47,44,37,0,20,24,0
182,136,11,37,0,20,8,0
183,138,11,37,0,20,24,0
184,361,40,37,0,20,32,0
185,350,44,37,0,20,20,0
186,409,44,37,0,20,20,0
188,335,40,37,0,20,8,0
189,359,40,37,0,12,12,0
190,329,11,37,0,20,8,0
192,151,12,37,28,0,0,0
194,60,6,37,0,20,28,0
195,360,40,37,0,20,8,0
196,271,41,37,0,20,20,0
197,278,25,37,0,12,24,0
198,272,40,37,0,20,16,0
199,278,25,37,0,20,24,0
200,275,25,37,0,12,24,0
201,341,40,37,0,0,8,0
202,51,5,37,0,20,20,0
203,359,40,37,24,0,0,0
204,253,41,37,0,20,12,0
205,138,11,37,0,12,8,0
206,52,5,37,0,20,12,0
207,345,44,37,0,12,20,0
209,321,42,37,16,0,0,0
210,351,44,37,0,12,8,0
211,76,5,37,0,12,20,0
212,353,44,37,0,20,32,0
213,272,40,37,0,20,32,0
214,503,13,37,0,20,24,0
216,271,41,37,0,20,12,0
217,53,5,37,0,20,20,0
218,147,11,37,0,8,12,0
219,336,40,37,0,20,8,0
220,48,5,37,0,20,32,0
221,344,44,37,0,20,8,0
222,271,41,37,0,20,8,0
224,272,40,37,0,20,12,0
225,350,44,37,0,12,8,0
226,47,44,37,0,20,20,0
227,344,44,37,0,12,12,0
228,48,5,37,0,20,24,0
229,329,11,37,0,12,16,8
230,321,42,37,8,0,0,0
231,351,44,37,0,20,24,0
232,350,44,37,0,8,8,0
233,271,41,37,0,12,12,0
234,360,40,37,0,20,32,0
236,503,13,37,0,12,8,0
237,271,41,37,0,12,20,0
238,147,11,37,0,12,8,0
239,138,11,37,0,12,20,8
240,47,44,37,0,20,16,0
241,323,42,37,0,0,0,0
242,410,44,37,0,12,20,0
243,339,40,37,0,20,24,0
244,135,42,37,0,12,12,0
245,44,5,37,0,0,0,0
246,345,44,37,0,20,16,0
247,351,44,37,16,0,0,0
248,76,5,37,28,0,0,0
249,503,13,37,0,20,20,0
250,357,40,37,0,20,24,0
251,45,5,37,0,20,16,0
252,271,41,37,0,12,16,0
253,341,40,37,0,20,32,0
254,273,25,37,0,12,20,0
256,341,40,37,0,20,32,0
257,254,41,37,0,12,8,0
258,4,11,37,24,0,0,0
259,583,5,37,0,20,28,0
260,55,5,37,0,20,20,0
261,325,42,37,0,20,20,0
262,271,41,37,0,20,16,0
264,149,12,37,0,20,24,0
265,45,5,37,0,20,8,0
266,50,5,37,0,12,24,0
267,334,42,37,0,20,32,0
268,147,11,37,0,12,28,8
269,349,44,37,0,20,20,0
271,349,44,37,0,20,8,0
272,153,12,37,0,20,28,0
273,4,11,37,0,20,20,0
274,4,11,37,12,0,0,0
275,503,13,37,0,12,16,0
276,351,44,37,0,12,8,0
277,353,44,37,0,20,24,0
278,127,42,37,0,20,16,0
279,321,42,37,0,12,20,0
280,83,7,37,0,12,8,0
281,328,42,37,0,12,8,0
282,253,41,37,0,12,8,0
283,66,13,37,12,0,0,0
284,49,5,37,0,20,28,0
285,503,13,37,0,20,32,0
286,55,5,37,0,20,16,0
287,11,11,37,0,12,24,0
288,503,13,37,0,12,8,0
289,327,42,37,12,0,0,0
290,77,7,37,0,20,16,0
292,87,7,37,0,20,12,0
293,85,6,37,0,12,8,0
294,253,41,37,0,12,20,0
295,340,40,37,0,20,20,0
296,325,42,37,16,0,0,0
297,59,6,37,0,20,20,0
298,3,14,37,0,20,20,0
299,254,41,37,0,20,16,0
300,3,14,37,0,12,8,0
301,3,14,37,0,20,16,0
302,271,41,37,0,12,16,0
303,4,11,37,0,20,20,0
304,149,12,37,0,12,20,0
305,138,11,37,0,20,8,0
