,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
1,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
3,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES
4,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
5,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,,YES
7,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
8,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
9,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
10,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
11,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
12,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,,YES
13,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,YES,,,YES
14,,No Bakecenter,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,,YES,,,YES
15,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,,YES
16,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
17,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,,
18,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
19,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
20,,No Bakecenter,,YES,,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
21,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
22,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
23,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
24,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
25,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
26,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
27,,No Bakecenter,,YES,,,,,,,,,,,,,,,YES,,YES,YES,YES
28,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,
29,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
30,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,,,,YES
31,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
33,,No Bakecenter,,,,,,YES,,YES,,,,,,,,,,,,,
34,,No Bakecenter,,YES,YES,YES,,,,,,,,,,,,,YES,,,YES,YES
35,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
36,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,,
37,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
38,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES
39,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
40,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
41,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
42,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
43,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
45,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
46,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
47,Both ,,,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,YES
48,,No Bakecenter,,YES,YES,YES,,,YES,YES,YES,YES,,,,,,,YES,YES,,,
49,,No Bakecenter,,YES,,,,,,,,,,,,,,,,,,,
51,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,,,YES,,YES
52,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
54,,No Bakecenter,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
55,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
56,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,,,,,
58,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
59,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
60,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,,,,,
61,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
62,,No Bakecenter,,YES,,,YES,YES,YES,,,,,,,,,,,YES,,,YES
63,Both ,,,YES,,,,YES,,,,,,,,,,,,,,,
64,Both ,,,,,,,YES,YES,,YES,YES,,,,,,,,YES,,,YES
65,Both ,,,YES,YES,YES,YES,YES,,,YES,YES,,,,,,,,,,,YES
66,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,,,,,YES
67,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,YES,YES,,YES
68,Both ,,,,,,,YES,YES,,,,,,,,,,,YES,,,YES
69,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
70,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
72,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
73,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
74,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
75,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
76,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,,,,,,,,,YES,YES,,YES,YES
78,,No Bakecenter,,YES,YES,YES,,YES,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
79,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
80,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
82,Both ,,,YES,YES,YES,,YES,,,,,,,,,,,,,,,
83,,No Bakecenter,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES
85,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
86,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
87,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
88,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,,YES,,YES
89,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
90,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,,YES,,,YES
91,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
92,Both ,,,YES,,,YES,,YES,,YES,YES,,,,,,,,,,,
93,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
94,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
95,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
96,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
97,Both ,,,YES,,,,YES,,,YES,YES,,,,,,,YES,,,,YES
98,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
99,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,YES,,YES,YES
100,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
101,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
103,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
104,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
105,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
106,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
107,,No Bakecenter,,,YES,YES,,YES,,,YES,YES,,,,,,,YES,YES,,,YES
108,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
109,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,YES,,YES,YES
110,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
111,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,,YES,YES
112,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
113,Both ,,,YES,YES,YES,YES,,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
114,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
118,Both ,,,YES,,,,YES,,YES,YES,YES,,,,,,,YES,,,,YES
119,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
