Store,Dept,Inventory Dollars,Format
1,80,22731.72,WM Supercenter
1,93,85181.18,WM Supercenter
1,94,45739.74,WM Supercenter
1,98,20925.4,WM Supercenter
2,80,13908.65,WM Supercenter
2,93,82673.55,WM Supercenter
2,94,34207.61,WM Supercenter
2,98,21726.09,WM Supercenter
3,80,12243.94,WM Supercenter
3,93,56576.49,WM Supercenter
3,94,26710.43,WM Supercenter
3,98,22844.47,WM Supercenter
4,80,15006.34,WM Supercenter
4,93,108064.04,WM Supercenter
4,94,66249.86,WM Supercenter
4,98,28273.3,WM Supercenter
5,80,17188.47,WM Supercenter
5,93,80641.69,WM Supercenter
5,94,25285.3,WM Supercenter
5,98,23363.18,WM Supercenter
7,80,20208.4,WM Supercenter
7,93,79905.15,WM Supercenter
7,94,21585.29,WM Supercenter
7,98,17910.34,WM Supercenter
8,80,3438.24,WM Supercenter
8,93,66124.85,WM Supercenter
8,94,19422.89,WM Supercenter
8,98,7420.79,WM Supercenter
9,80,22893.79,WM Supercenter
9,93,88564.47,WM Supercenter
9,94,27636.12,WM Supercenter
9,98,27523.03,WM Supercenter
10,80,29287.5,WM Supercenter
10,93,87620.21,WM Supercenter
10,94,32266.62,WM Supercenter
10,98,23528.2,WM Supercenter
11,80,17891.96,WM Supercenter
11,93,116596.3,WM Supercenter
11,94,43017.84,WM Supercenter
11,98,25872.03,WM Supercenter
12,80,16414.23,WM Supercenter
12,93,72688.13,WM Supercenter
12,94,27910.7,WM Supercenter
12,98,24725.78,WM Supercenter
13,80,15892.43,WM Supercenter
13,93,68437.03,WM Supercenter
13,94,23885.57,WM Supercenter
13,98,21431.2,WM Supercenter
14,80,15366.49,WM Supercenter
14,93,74738.97,WM Supercenter
14,94,29272.73,WM Supercenter
14,98,20012.21,WM Supercenter
15,80,15508.31,WM Supercenter
15,93,91175.81,WM Supercenter
15,94,31298.81,WM Supercenter
15,98,22097.16,WM Supercenter
16,80,9135.01,WM Supercenter
16,93,69219.9,WM Supercenter
16,94,26516.68,WM Supercenter
16,98,19322.04,WM Supercenter
17,80,26332.3,WM Supercenter
17,93,74140.34,WM Supercenter
17,94,28180.79,WM Supercenter
17,98,24417.14,WM Supercenter
18,80,10524.56,WM Supercenter
18,93,54296.95,WM Supercenter
18,94,18517.81,WM Supercenter
18,98,17465.89,WM Supercenter
19,80,20515.53,WM Supercenter
19,93,78677.52,WM Supercenter
19,94,20145.92,WM Supercenter
19,98,27115.47,WM Supercenter
20,80,8658.62,WM Supercenter
20,93,70493.15,WM Supercenter
20,94,22827.77,WM Supercenter
20,98,18955.52,WM Supercenter
21,80,10390.27,WM Supercenter
21,93,84094.79,WM Supercenter
21,94,33222.46,WM Supercenter
21,98,21291.44,WM Supercenter
22,80,13053.42,WM Supercenter
22,93,72233.84,WM Supercenter
22,94,23866,WM Supercenter
22,98,19619.91,WM Supercenter
23,80,12448.99,WM Supercenter
23,93,77052.26,WM Supercenter
23,94,34793.91,WM Supercenter
23,98,16506.33,WM Supercenter
24,80,15379.07,WM Supercenter
24,93,74582.76,WM Supercenter
24,94,20942.55,WM Supercenter
24,98,17699.54,WM Supercenter
25,80,16158.74,WM Supercenter
25,93,72100.57,WM Supercenter
25,94,27477.6,WM Supercenter
