Club Number,FDD Current,FDD Oct_7_2025,FDD FY27_Q1,MP Current,MP Oct_7_2025,MP FY_27
4041,21:00-01:00,21:00-01:00,21:00-01:00,06:00-10:00,06:00-10:00,06:00-10:00
4722,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4729,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4771,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4774,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4855,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4994,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6201,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6239,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6330,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6332,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6333,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6352,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6356,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6357,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6366,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6369,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6371,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6383,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6386,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6406,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6423,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6428,18:00-22:00,19:00-05:00,21:00-05:00,18:00-22:00,21:00:05:00,21:00-05:00
6431,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6434,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6440,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6456,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6460,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6462,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6533,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6536,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6539,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6547,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
