Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
1,853,12,10,11
1,866,15,13,15
1,904,10,8,9
1,934,9,7,8
1,991,15,12,14
1,1212,16,15,17
1,2748,5,4,4
1,4333,8,7,8
1,4581,8,6,6
1,5174,13,11,13
1,6173,9,7,8
2,562,9,8,9
2,670,18,15,17
2,762,9,8,9
2,1158,9,8,9
2,1711,9,7,8
2,2723,11,9,10
2,5113,15,12,14
2,7280,15,12,13
3,298,13,11,13
3,300,8,7,8
3,301,14,11,13
3,315,13,10,12
3,316,11,9,10
3,691,13,11,13
3,1201,16,14,15
3,2713,12,10,12
3,3386,13,11,12
3,5126,9,8,9
4,105,14,12,14
4,114,9,7,8
4,118,12,10,11
4,153,11,9,10
4,164,12,10,11
4,258,13,10,12
4,273,9,7,8
4,303,6,4,5
4,391,11,9,10
5,306,11,10,11
5,314,10,8,9
5,332,6,5,5
5,375,6,4,5
5,433,7,5,6
5,434,7,6,6
5,681,11,10,11
5,712,14,11,13
5,5197,9,7,8
5,6878,13,11,12
5,7324,7,5,6
7,604,14,12,14
7,723,14,12,13
7,734,13,11,12
7,740,9,6,7
7,1091,14,12,13
7,1134,11,10,11
7,1462,8,6,7
7,1638,9,7,8
7,2114,11,9,10
7,2534,12,11,12
8,424,11,9,10
8,483,16,11,12
8,700,9,7,8
8,930,11,8,9
8,938,10,8,8
8,1101,10,8,9
8,4318,12,9,10
8,4407,9,6,7
8,5348,10,7,8
9,3049,5,3,3
9,3143,3,2,3
9,3357,3,2,2
9,3377,6,5,6
9,4264,1,1,1
9,4293,5,4,5
9,4324,2,1,1
9,4473,5,4,5
9,4490,7,6,7
9,4603,3,2,2
9,5304,3,2,3
9,5725,4,3,3
10,329,10,9,10
10,355,11,9,10
10,356,6,5,6
10,432,6,5,6
10,726,9,7,8
10,730,12,10,11
10,733,10,9,10
10,809,13,12,13
10,863,10,6,7
10,1057,5,4,4
11,287,14,12,13
11,362,6,5,5
11,425,6,5,6
11,715,13,11,12
11,731,11,8,8
11,764,11,10,11
11,1052,5,4,5
11,2306,9,7,8
13,423,8,7,8
13,1229,7,6,7
13,1481,8,7,8
13,2111,6,5,6
13,3271,10,8,9
13,4330,8,7,8
13,4497,14,11,13
13,5262,7,6,6
14,990,20,17,20
14,1174,10,8,9
14,1222,15,12,14
14,1224,14,11,13
14,1493,9,7,8
14,1605,11,9,10
14,1620,13,10,11
14,2533,8,7,8
14,2739,9,7,8
14,2760,9,8,9
14,3484,11,9,10
14,3785,6,4,5
14,7247,8,7,8
15,818,6,4,5
15,919,10,8,9
15,944,17,15,17
15,1032,11,10,11
15,1207,13,11,12
15,1362,6,5,5
15,3075,8,7,7
15,3119,6,4,5
15,3439,10,8,10
15,5845,8,6,7
15,5872,4,3,3
16,494,13,10,11
16,614,13,9,10
16,932,11,10,11
16,1112,12,10,12
16,1284,16,13,14
16,1311,9,8,9
16,1338,8,7,8
16,3461,10,8,10
16,4200,11,9,11
16,4283,9,8,8
16,5363,9,7,8
18,515,17,11,12
18,1070,8,7,8
18,1122,11,9,10
18,1403,12,11,12
18,2513,7,6,6
18,2753,7,6,6
18,3485,10,8,9
18,3874,7,6,7
18,4616,10,9,10
18,5786,7,6,7
18,5812,10,9,10
18,7185,6,4,4
19,594,12,10,10
19,745,8,7,8
19,787,10,8,9
19,3201,11,9,10
19,3402,9,8,9
19,3609,12,10,10
19,5709,12,10,11
20,855,8,6,7
20,1047,12,9,10
20,3118,4,3,4
20,3401,7,6,6
20,3709,6,6,7
20,3710,5,5,5
20,6998,11,9,9
21,3,11,9,10
21,510,8,6,7
21,520,13,11,12
21,780,14,12,12
21,1111,10,8,9
21,1121,13,11,13
21,1363,8,6,7
21,1400,10,8,9
21,2811,8,7,8
21,3627,9,8,9
21,5482,7,6,6
22,615,13,12,13
22,722,13,12,13
22,727,9,8,9
22,856,13,11,12
22,1488,14,11,13
22,2732,12,10,12
22,3205,10,9,10
22,3741,10,8,9
22,4409,9,8,9
23,1184,7,5,6
23,1373,4,3,4
