Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
1,853,18,17,18
1,866,38,35,35
1,904,17,17,17
1,934,13,11,12
1,991,27,25,24
1,1212,25,25,23
1,2748,11,10,10
1,4333,15,14,15
1,4581,13,13,14
1,5174,21,19,20
1,6173,18,16,16
2,562,14,13,13
2,670,30,28,29
2,762,14,13,14
2,1158,19,17,17
2,1711,13,11,11
2,2723,13,15,16
2,5113,27,23,22
2,7280,25,21,21
3,298,23,23,24
3,300,17,16,14
3,301,23,22,21
3,315,23,21,20
3,316,22,18,19
3,691,28,25,26
3,1201,22,21,21
3,2713,19,18,19
3,3386,22,21,22
3,5126,15,15,17
4,105,33,29,29
4,114,18,17,17
4,118,17,14,16
4,153,21,20,19
4,164,21,19,19
4,258,24,21,22
4,273,13,13,13
4,303,10,7,7
4,391,15,14,16
5,306,27,26,24
5,314,22,18,17
5,332,9,10,11
5,375,13,11,10
5,433,26,18,15
5,434,16,14,13
5,681,24,22,21
5,712,24,22,22
5,5197,21,19,19
5,6878,27,25,27
5,7324,12,13,13
7,604,31,25,27
7,723,17,15,15
7,734,30,26,28
7,740,20,18,17
7,1091,25,23,25
7,1134,23,22,23
7,1462,14,14,13
7,1638,14,16,16
7,2114,32,27,28
7,2534,26,25,23
8,424,14,13,12
8,483,18,15,17
8,700,20,19,21
8,930,15,9,10
8,938,15,14,15
8,1101,20,19,18
8,4318,25,25,24
8,4407,23,20,22
8,5348,20,15,13
9,3049,12,13,13
9,3143,14,13,13
9,3357,11,9,8
9,3377,20,18,18
9,4264,9,9,9
9,4293,12,10,9
9,4324,9,8,8
9,4473,18,17,19
9,4490,24,21,23
9,4603,12,8,8
9,5304,8,7,8
9,5725,15,13,15
10,329,15,15,15
10,355,24,18,17
10,356,14,12,13
10,432,13,11,12
10,726,15,14,14
10,730,17,17,18
10,733,15,14,16
10,809,24,23,23
10,863,17,14,15
10,1057,6,5,5
11,287,31,23,20
11,362,13,12,12
11,425,9,7,8
11,715,21,19,20
11,731,14,14,15
11,764,19,18,17
11,1052,11,9,10
11,2306,16,14,15
13,423,21,20,20
13,1229,17,16,15
13,1481,11,9,10
13,2111,13,14,14
13,3271,15,15,14
13,4330,16,16,17
13,4497,14,14,14
13,5262,13,11,12
14,990,50,47,50
14,1174,11,10,12
14,1222,32,32,34
14,1224,32,29,29
14,1493,12,12,14
14,1605,33,31,34
14,1620,18,17,16
14,2533,20,19,19
14,2739,15,13,13
14,2760,7,7,8
14,3484,23,24,24
14,3785,13,12,12
14,7247,8,8,9
15,818,13,12,13
15,919,23,20,21
15,944,30,29,29
15,1032,29,22,21
15,1207,27,25,25
15,1362,14,14,14
15,3075,18,18,19
15,3119,13,12,14
15,3439,22,22,22
15,5845,20,19,20
15,5872,10,10,9
16,494,23,21,20
16,614,21,17,17
16,932,26,23,23
16,1112,19,17,16
16,1284,23,21,20
16,1311,26,22,24
16,1338,16,14,16
16,3461,24,23,24
16,4200,25,20,20
16,4283,18,15,16
16,5363,22,19,19
18,515,34,30,33
18,1070,22,20,20
18,1122,22,21,21
18,1403,21,19,21
18,2513,20,18,18
18,2753,12,9,11
18,3485,23,23,23
18,3874,24,20,19
18,4616,21,20,20
18,5786,20,19,21
18,5812,19,19,18
18,7185,18,17,16
19,594,32,34,32
19,745,24,19,18
19,787,18,14,14
19,3201,20,18,18
19,3402,16,17,16
19,3609,16,14,15
19,5709,20,20,20
20,855,23,16,16
20,1047,18,15,15
20,3118,11,9,9
20,3401,14,13,13
20,3709,2,10,9
20,3710,14,13,14
20,6998,18,13,13
21,3,24,22,23
21,510,16,15,15
21,520,32,29,27
21,780,24,23,22
21,1111,16,15,15
21,1121,28,23,24
21,1363,19,17,18
21,1400,23,22,22
21,2811,24,15,16
21,3627,22,21,21
21,5482,16,12,12
22,615,18,17,17
22,722,23,20,19
22,727,16,16,16
22,856,19,18,19
22,1488,24,23,22
22,2732,24,22,23
22,3205,23,24,25
22,3741,30,12,11
22,4409,15,16,16
23,1184,16,11,13
23,1373,16,14,14
23,1720,34,31,32
23,2584,12,11,12
23,3067,10,9,9
23,3188,13,12,11
23,3621,22,19,19
24,518,22,20,20
24,878,13,12,13
24,1314,14,14,14
24,1578,13,10,9
24,1766,8,8,8
24,2154,16,13,13
24,2941,13,11,11
24,3462,33,17,14
24,4185,13,11,11
24,4436,14,10,10
24,5814,15,14,15
25,459,24,23,24
25,548,40,36,34
25,1340,12,11,9
25,2475,23,19,20
25,3388,20,18,18
25,3389,17,15,16
25,3786,22,22,21
25,4472,14,13,15
25,4558,18,17,18
25,5252,29,24,25
26,575,19,14,15
26,618,25,22,23
26,937,10,11,11
26,1181,17,15,14
26,1586,18,17,18
26,3403,27,25,26
26,3471,15,14,15
26,3611,19,18,18
26,3748,22,21,19
26,5275,25,22,24
26,5390,18,18,17
27,588,20,19,21
27,843,8,9,8
27,889,13,12,12
27,899,24,21,22
27,952,14,13,12
27,1006,19,17,17
27,1072,17,18,18
27,2615,21,22,19
27,5797,18,15,15
27,7194,14,14,14
27,7245,14,13,13
28,556,25,18,18
28,593,26,23,24
28,639,25,27,26
28,686,16,15,14
28,836,19,18,18
28,862,32,28,27
28,864,28,25,27
28,1018,12,11,12
28,1061,17,14,13
28,2630,24,23,25
28,5392,16,15,15
29,605,27,27,29
29,635,19,15,16
29,728,12,8,7
29,1011,28,26,27
29,1383,20,16,14
29,2832,15,12,10
29,2860,20,17,17
29,4556,15,10,9
29,6395,13,13,13
29,7181,16,15,15
30,754,34,32,32
30,1024,20,20,21
30,1143,14,13,13
30,1227,30,29,30
30,1293,17,18,16
30,1658,29,24,24
30,2754,19,18,18
30,3570,29,27,29
30,4144,18,17,19
30,5735,16,15,17
32,555,28,22,22
32,758,18,17,17
32,907,17,17,15
32,1076,25,23,24
32,1153,17,16,16
32,1367,24,22,23
32,2733,18,17,16
32,2890,19,16,19
32,3750,26,22,22
32,7246,13,10,10
35,631,18,17,18
35,640,18,15,15
35,641,13,9,10
35,1123,25,22,23
35,1244,13,11,14
35,2265,23,19,21
35,2687,25,23,25
35,3191,13,12,13
35,3192,15,13,16
35,3222,12,12,14
35,4583,15,12,15
35,5487,17,30,31
36,628,29,22,21
36,632,13,11,10
36,1037,28,22,22
36,1146,43,39,42
36,1358,20,19,20
36,1359,25,18,17
36,1748,20,19,17
36,2348,6,4,4
36,2928,23,22,23
36,3367,15,11,11
36,4384,19,13,12
37,574,23,21,21
37,586,37,33,36
37,621,45,37,34
37,625,35,32,36
37,643,16,16,16
37,1829,23,18,18
37,2712,17,17,17
37,4664,26,31,32
37,5087,27,24,26
37,5705,22,21,21
38,511,35,32,33
38,616,24,21,23
38,627,17,17,17
38,630,35,32,33
38,634,26,25,26
38,642,23,21,21
38,1017,36,28,27
38,1030,26,26,26
38,1135,35,28,27
38,2703,18,18,19
38,4457,16,14,15
38,7188,22,15,15
39,396,20,19,21
39,514,22,21,23
39,624,15,13,12
39,644,21,17,19
39,795,13,11,12
39,1130,12,12,12
39,1270,26,24,26
39,1382,15,14,16
39,4487,34,31,33
39,6576,19,18,18
39,6887,16,14,17
41,881,21,21,22
41,1164,26,16,16
41,1183,21,19,18
41,1286,24,17,15
41,1339,27,20,20
41,2214,33,25,22
41,4420,24,23,23
41,4440,29,20,19
41,4506,16,12,12
41,4521,28,27,28
42,585,15,16,16
42,629,14,13,15
42,638,16,14,15
42,1035,26,26,26
42,1144,13,13,12
42,1281,17,16,16
42,1603,31,20,18
42,2806,15,13,13
42,3733,17,13,14
42,4237,10,11,11
42,4593,12,9,10
44,1455,26,24,25
44,1801,28,26,29
44,2978,24,22,23
44,3284,21,19,22
44,3285,26,24,27
44,3631,18,18,21
44,4279,18,19,21
44,4503,27,27,29
44,5147,38,38,37
45,251,28,28,30
45,265,19,18,18
45,412,29,25,26
45,516,25,23,25
45,827,23,23,24
45,1022,16,16,16
45,1044,18,17,17
45,2688,21,20,19
45,3764,17,15,17
45,6467,14,13,14
46,146,14,14,14
46,165,13,12,13
46,180,15,15,14
46,345,26,21,23
46,398,25,23,25
46,399,16,18,18
46,523,10,9,8
46,572,19,15,16
46,918,15,15,15
46,3828,13,12,12
47,38,16,16,16
47,49,16,14,15
47,131,17,17,19
47,148,22,22,24
47,181,17,15,18
47,226,13,13,13
47,240,12,12,13
47,417,25,24,23
47,427,23,23,25
47,468,15,15,15
47,2123,29,28,31
48,220,25,25,28
48,228,21,20,22
48,353,13,13,13
48,371,21,22,22
48,590,18,17,18
48,804,26,22,24
48,963,18,18,20
48,3431,25,22,22
48,4509,19,15,14
48,5359,32,29,28
49,284,30,28,29
49,471,27,21,20
49,896,37,34,37
49,3014,29,23,21
49,3432,19,18,19
49,3433,21,21,21
49,5288,25,23,25
49,5810,16,15,17
50,266,22,22,23
50,807,17,13,12
50,880,31,28,30
50,1178,19,20,23
50,2649,16,15,16
50,2834,23,22,23
50,3044,11,8,10
50,3274,11,15,17
50,5080,16,15,17
50,5416,20,21,22
51,202,8,7,8
51,1117,14,15,16
51,2918,11,12,12
51,2973,14,13,14
51,3406,8,10,10
51,3482,14,13,13
51,5210,21,21,21
51,5672,12,12,13
51,5673,18,18,17
52,206,16,16,17
52,467,18,17,18
52,3286,18,17,18
52,4627,27,25,26
52,5211,13,12,13
52,5311,13,13,12
52,5707,19,17,19
52,6963,28,20,20
53,217,15,14,17
53,426,11,12,11
53,1216,16,16,16
53,2105,23,22,21
53,2427,12,11,10
53,2996,6,8,8
53,4240,27,26,27
53,5092,16,15,15
53,5889,5,5,6
55,260,22,23,22
55,286,19,19,20
55,565,18,15,15
55,1118,30,24,25
55,2667,20,19,21
55,4164,25,25,26
55,4215,18,17,19
55,5191,23,21,21
56,2086,11,9,10
56,2463,13,12,12
56,2883,9,9,10
56,2926,7,8,8
56,3777,13,13,14
56,5866,9,10,10
56,6300,15,16,15
56,7178,22,18,18
58,2979,11,11,12
58,2981,9,8,9
58,3043,4,3,4
58,3135,17,17,17
58,3341,9,9,9
58,3392,4,5,5
58,3419,7,5,6
58,3594,10,10,9
58,3653,8,8,8
58,5613,5,5,6
58,5614,10,10,9
58,5624,10,10,10
58,6578,8,7,9
58,7251,8,8,8
58,7347,9,7,9
59,297,17,15,17
59,744,18,19,19
59,849,19,16,17
59,1103,19,18,21
59,1279,18,17,17
59,1837,22,19,20
59,4298,28,18,15
59,6579,30,27,28
60,194,27,22,19
60,522,26,21,18
60,1137,30,29,27
60,1186,22,21,21
60,2439,15,15,15
60,3298,15,16,15
60,3500,35,33,35
60,5116,25,18,17
61,462,39,36,40
61,504,21,17,18
61,527,12,12,12
61,529,27,21,22
61,808,26,20,18
61,1405,10,11,12
61,5388,17,15,14
62,546,16,19,18
62,872,18,14,14
62,915,11,13,14
62,2505,15,15,15
62,2993,16,15,18
62,3510,12,11,12
62,3572,15,15,15
62,5449,7,8,8
63,752,23,22,22
63,1062,14,17,18
63,2724,37,36,37
63,3425,14,13,13
63,4526,22,19,21
63,5612,25,19,17
63,5959,23,18,17
64,772,18,15,14
64,2066,13,14,16
64,3296,15,14,15
64,3302,14,14,13
64,3584,25,23,25
64,3827,15,13,14
65,344,6,6,7
65,768,14,13,14
65,1040,15,15,16
65,1409,10,9,10
65,3226,13,12,14
65,3640,13,10,10
65,4111,12,11,11
65,4512,17,15,14
65,5246,7,8,8
66,331,18,16,17
66,383,23,21,20
66,384,19,18,21
66,408,24,14,14
66,449,14,12,15
66,457,18,17,18
66,469,17,12,11
66,521,15,12,13
66,651,18,15,13
66,777,20,19,21
66,1204,17,15,15
67,703,17,17,18
67,2257,19,17,19
67,3297,18,14,14
67,4416,24,23,23
67,4538,19,18,20
67,5045,17,16,18
67,5091,14,15,14
68,351,9,8,9
68,400,19,19,20
68,602,11,10,9
68,3213,20,15,13
68,3390,11,11,12
68,3585,12,11,11
68,3591,20,17,19
68,5287,17,13,14
70,600,19,17,19
70,755,25,25,26
70,793,13,16,15
70,812,17,16,18
70,822,23,19,21
70,900,10,9,9
70,1516,16,14,16
70,3383,19,18,19
70,3384,21,20,19
70,5216,27,21,22
71,549,35,33,35
71,821,36,35,38
71,861,15,15,16
71,927,26,23,22
71,945,17,16,17
71,1051,13,12,14
71,2653,18,17,18
71,3826,16,15,15
71,4299,22,20,21
71,6898,14,14,14
73,513,15,15,16
73,537,34,30,32
73,608,35,32,33
73,897,24,21,22
73,898,0,1,1
73,2891,26,25,27
73,3645,19,18,17
74,438,8,7,7
74,535,32,30,34
74,536,20,18,20
74,601,19,16,18
74,1249,19,17,19
74,1257,11,9,9
74,1272,17,16,17
74,3381,15,12,13
74,7281,15,15,14
76,211,17,17,18
76,248,18,13,13
76,320,0,0,0
76,561,16,15,15
76,610,20,19,20
76,746,17,17,17
76,939,19,17,18
76,1254,16,14,15
76,5389,13,11,12
76,6929,20,16,17
76,7156,14,14,15
77,290,8,8,8
77,465,8,8,9
77,757,10,11,11
77,901,21,17,19
77,1313,22,21,21
77,3112,10,11,13
77,3279,14,14,15
77,4103,11,11,12
77,5144,16,14,16
77,5245,16,13,14
78,440,11,10,10
78,442,18,14,14
78,458,13,10,10
78,464,28,22,24
78,470,25,22,26
78,490,11,11,11
78,791,19,19,19
78,1494,22,17,18
78,5460,11,11,11
78,5898,17,15,15
80,395,57,53,59
80,397,32,31,31
80,429,28,26,29
80,452,38,34,36
80,1958,38,33,36
80,3320,51,42,44
80,3567,46,32,29
80,3886,43,40,44
80,4508,28,29,32
80,5165,30,27,27
80,5809,31,29,31
81,381,20,18,18
81,407,22,19,20
