Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
1,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
4,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
4,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
7,Dept 13,Drano 96 units,PDQ,1,2,
7,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
7,Dept 46,Neutrogena 50ct Wipe PDQ - 100pc,Full Endcap,1,2,
7,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
8,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
8,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
9,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
9,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
9,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,2,
10,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
10,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
10,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
10,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
10,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
10,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
11,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
11,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
11,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
12,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
12,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
12,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
12,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
13,Dept 02,eos Body Lotion 24pc,SDK,1,2,
13,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
13,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
14,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,2,
14,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
14,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
14,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
14,Dept 92,Ocean's Halo Half Pallet Dump Bin - 120 units,Half Stack,1,2,
14,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
15,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,3,2,
15,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,3,2,
15,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,3,2,
15,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
15,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
15,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
15,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
15,Dept 92,"FL Sweethearts Half Pallet, 126ct",Half Stack,1,2,
15,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
15,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
16,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
16,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
16,Dept 92,"Quaker Protein Oatmeal Half Pallet, 184ct",Half Stack,1,2,
17,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
18,Dept 02,eos Body Lotion 24pc,SDK,1,2,
18,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
19,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
19,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
19,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
19,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
19,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
