Business Unit,Organization ,Business Unit,Function,Building Name
Corporate Affairs,Corporate Functions,Corporate Affairs,Corporate Real Estate,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Communications,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Public Policy ,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Responsibility,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Government Relations,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,International Communications,Purpose
Corporate Affairs,Corporate Functions,Corporate Affairs,Public Affairs - State and Local Government Affairs,Sparky
Design,Walmart US,Design,Design,Upstream
eCommerce,Walmart US,eCommerce,eCommerce,Upstream
End to End,Global Tech,End to End,End to End Fulfillment,DGTC
End to End,Walmart US,End to End,Innovation & Transformation,Together
End to End,Walmart US,End to End,Last Mile Delivery,Together
End to End,Walmart US,End to End,Supply Chain,Change
Energy Transformation,Walmart US,Energy Transformation,Energy Transformation,Always
EBS,Global Tech,EBS,Associate Digital Experience,DGTC
EBS,Global Tech,EBS,Enterprise Business Services,DGTC
EBS,Global Tech,EBS,People Tech and Services,DGTC
Global Finance,Corporate Functions,Global Finance,​Real Estate Controllership,Always
Global Finance,Corporate Functions,Global Finance,​Real Estate Finance,Always
Global Finance,Corporate Functions,Global Finance,Audit,Update Coming Soon
Global Finance,Corporate Functions,Global Finance,Capital Markets,Purpose
Global Finance,Corporate Functions,Global Finance,Care Business Enablement (call center),Change
Global Finance,Corporate Functions,Global Finance,Care Business Enablement (non-agents),Change
Global Finance,Corporate Functions,Global Finance,Centralized Merchandise Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized Operations Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized Supply Chain Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized US Finance Planning - Analysis and Strategy,Purpose
Global Finance,Corporate Functions,Global Finance,Consumables Merch Finance,Ol' Roy
Global Finance,Corporate Functions,Global Finance,Corporate Functions Finance,Sparky
Global Finance,Corporate Functions,Global Finance,Customer Controllership,Upstream
Global Finance,Corporate Functions,Global Finance,Enterprise Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Enterprise Strategy,Purpose
Global Finance,Corporate Functions,Global Finance,Fashion Merch Finance,Cheer
Global Finance,Corporate Functions,Global Finance,Food Merch Finance,Moon Pie
Global Finance,Corporate Functions,Global Finance,General Merch Finance,Hula
Global Finance,Corporate Functions,Global Finance,Global Controllership,Purpose
Global Finance,Corporate Functions,Global Finance,Health and Wellness Contollership,Upstream
Global Finance,Corporate Functions,Global Finance,Health and Wellness Finance,Upstream
Global Finance,Corporate Functions,Global Finance,Indirect Spend Management,Maverick
Global Finance,Corporate Functions,Global Finance,International Finance and Controller,Purpose
Global Finance,Corporate Functions,Global Finance,Investor Relations,Purpose
Global Finance,Corporate Functions,Global Finance,ONE Integration & Financial Services,Purpose
Global Finance,Corporate Functions,Global Finance,Procurement,Update Coming Soon
Global Finance,Corporate Functions,Global Finance,Customer Care,
Global Finance,Corporate Functions,Global Finance,Risk and Benefits Finance,Sparky
Global Finance,Corporate Functions,Global Finance,Store Operations Controllership,Together
Global Finance,Corporate Functions,Global Finance,Store Operations Finance,Together
Global Finance,Corporate Functions,Global Finance,Supply Chain and Ops/​Real Estate Controllership,Change
Global Finance,Corporate Functions,Global Finance,Supply Chain Finance,Change
Global Finance,Corporate Functions,Global Finance,"Tax, Tech Finance, Finance Transformation, Walmart Claims Services",Maverick
Global Finance,Corporate Functions,Global Finance,Technology Transformation and Data Governance,Purpose
Global Finance,Corporate Functions,Global Finance,Treasury,Purpose
Global Finance,Corporate Functions,Global Finance,WMUS ONE Integration and Financial Services,Purpose
Global Governance,Corporate Functions,Global Governance,"US Operations, US Legal",Trust
Global Governance,Corporate Functions,Global Governance,Centers of Excellence – US Legal​,Trust
Global Governance,Corporate Functions,Global Governance,Corporate Secretary ,Trust
Global Governance,Corporate Functions,Global Governance,Digital Citizenship,Trust
Global Governance,Corporate Functions,Global Governance,"eDiscovery and Strategy,Risk and Ops ",Trust
Global Governance,Corporate Functions,Global Governance,Emergency Management ,Trust
Global Governance,Corporate Functions,Global Governance,Global Ethics and Compliance,Trust
Global Governance,Corporate Functions,Global Governance,Global Investigations,Trust
Global Governance,Corporate Functions,Global Governance,Global Security,DGTC
Global Governance,Corporate Functions,Global Governance,Global Security,Purpose
Global Governance,Corporate Functions,Global Governance,Health and Wellness Ethics and Compliance,Upstream
Global Governance,Corporate Functions,Global Governance,International Legal and Compliance,Purpose
Global Governance,Corporate Functions,Global Governance,Litigation,Trust
Global Governance,Corporate Functions,Global Governance,Operations Legal ,Together
Global Governance,Corporate Functions,Global Governance,"Physical Security, Security Tech, and Facility Protection",Trust
