Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
1,8529,3895,-54%,1%,63%,34%,2%,0%
2,2208,1541,-30%,2%,60%,35%,3%,0%
3,2323,1558,-33%,3%,53%,41%,3%,0%
4,4078,2578,-37%,3%,60%,34%,3%,0%
5,7189,3105,-57%,2%,64%,31%,2%,0%
7,6267,2861,-54%,2%,66%,31%,1%,0%
8,1444,952,-34%,3%,71%,24%,1%,0%
9,2878,1940,-33%,3%,60%,34%,3%,0%
10,6241,2613,-58%,4%,56%,37%,3%,0%
11,5946,2547,-57%,2%,60%,35%,2%,0%
12,6300,2912,-54%,2%,58%,38%,2%,0%
13,1765,1663,-6%,2%,73%,24%,1%,0%
14,3365,2607,-23%,2%,68%,28%,2%,0%
15,2579,2488,-4%,2%,68%,27%,3%,0%
16,2279,1528,-33%,2%,57%,37%,3%,0%
17,2440,2032,-17%,1%,68%,28%,2%,0%
18,1047,943,-10%,2%,76%,21%,1%,0%
19,7321,3266,-55%,4%,57%,36%,3%,0%
20,1593,1395,-12%,1%,66%,31%,2%,0%
21,6977,2980,-57%,1%,63%,33%,3%,0%
22,5956,2441,-59%,2%,64%,31%,2%,0%
23,2942,2180,-26%,2%,61%,34%,3%,0%
24,4733,1689,-64%,1%,73%,26%,1%,0%
25,4634,1745,-62%,1%,76%,22%,1%,0%
26,8416,4062,-52%,1%,63%,34%,2%,0%
27,629,703,12%,3%,71%,25%,1%,0%
28,5251,2020,-62%,1%,67%,29%,3%,0%
29,3344,2764,-17%,1%,67%,31%,1%,0%
30,1910,1554,-19%,2%,73%,24%,1%,0%
31,5938,2266,-62%,2%,68%,28%,3%,0%
32,439,831,89%,1%,82%,16%,0%,0%
33,865,737,-15%,1%,77%,21%,1%,0%
34,4525,1413,-69%,2%,65%,30%,2%,0%
35,6704,3050,-55%,1%,56%,40%,2%,0%
36,6883,2795,-59%,1%,59%,37%,3%,0%
37,6413,2835,-56%,2%,66%,29%,2%,0%
38,1941,1345,-31%,3%,66%,29%,3%,0%
39,1007,996,-1%,2%,71%,26%,1%,0%
40,5661,2197,-61%,1%,68%,28%,2%,0%
41,6241,2720,-56%,3%,60%,34%,3%,0%
42,1407,1315,-7%,1%,78%,20%,1%,0%
43,6554,3040,-54%,1%,59%,38%,2%,0%
44,305,399,31%,5%,68%,25%,2%,0%
45,5814,2488,-57%,2%,56%,38%,3%,0%
46,2813,1980,-30%,3%,68%,27%,3%,0%
47,1835,1715,-7%,2%,69%,27%,3%,0%
48,1685,1567,-7%,1%,77%,20%,1%,0%
49,966,844,-13%,2%,66%,30%,2%,0%
50,991,785,-21%,1%,71%,27%,1%,0%
51,3962,1066,-73%,1%,68%,30%,1%,0%
52,6344,2861,-55%,1%,69%,28%,2%,0%
54,5257,2103,-60%,2%,65%,30%,3%,0%
55,569,641,13%,3%,74%,22%,1%,0%
56,894,894,0%,2%,73%,24%,1%,0%
57,356,632,78%,2%,74%,22%,2%,0%
58,8182,3665,-55%,2%,62%,34%,3%,0%
59,3369,2373,-30%,2%,59%,35%,4%,0%
60,6502,2663,-59%,2%,66%,31%,2%,0%
61,6841,3038,-56%,2%,59%,38%,2%,0%
62,1421,1514,7%,1%,73%,24%,2%,0%
63,1101,1018,-8%,6%,72%,21%,1%,0%
64,553,1179,113%,1%,84%,15%,0%,0%
65,4785,1606,-66%,3%,68%,28%,2%,0%
66,1966,1234,-37%,2%,63%,32%,2%,0%
67,1336,1129,-15%,2%,65%,30%,2%,0%
68,1056,896,-15%,1%,72%,26%,2%,0%
69,8851,4361,-51%,2%,63%,33%,2%,0%
70,3038,2730,-10%,1%,68%,28%,3%,0%
71,3962,1188,-70%,4%,65%,30%,2%,0%
72,5551,2642,-52%,3%,71%,24%,2%,0%
73,1975,2005,2%,2%,69%,27%,2%,0%
74,399,722,81%,2%,77%,20%,1%,0%
75,6176,2605,-58%,3%,59%,36%,2%,0%
76,515,867,68%,2%,87%,10%,1%,0%
77,5365,1893,-65%,2%,64%,33%,2%,0%
78,1590,1118,-30%,4%,66%,28%,2%,0%
79,2171,2289,5%,2%,63%,33%,2%,0%
80,1169,1538,32%,2%,71%,26%,1%,0%
81,553,825,49%,1%,77%,21%,1%,0%
82,841,1156,37%,4%,75%,20%,1%,0%
83,1984,1375,-31%,2%,67%,30%,1%,0%
85,6813,3025,-56%,3%,66%,29%,2%,0%
86,5706,2386,-58%,1%,70%,28%,1%,0%
87,2193,1629,-26%,3%,66%,29%,2%,0%
88,1425,1024,-28%,4%,71%,24%,1%,0%
89,5600,2074,-63%,2%,68%,29%,1%,0%
90,2141,1520,-29%,3%,65%,29%,3%,0%
91,796,1156,45%,2%,77%,20%,2%,0%
92,1709,1588,-7%,2%,79%,18%,1%,0%
93,2834,2392,-16%,2%,71%,25%,1%,0%
94,6449,2799,-57%,2%,61%,35%,2%,0%
95,5913,2270,-62%,2%,66%,30%,2%,0%
96,5734,2389,-58%,2%,70%,26%,1%,0%
97,1048,1233,18%,1%,74%,23%,1%,0%
98,1606,1564,-3%,2%,78%,19%,1%,0%
99,733,667,-9%,3%,62%,34%,1%,0%
100,9507,4049,-57%,3%,51%,44%,3%,0%
101,6068,2478,-59%,1%,59%,37%,2%,0%
102,1330,962,-28%,2%,73%,24%,1%,0%
103,6945,3125,-55%,1%,57%,38%,4%,0%
104,2132,1999,-6%,3%,69%,26%,1%,0%
105,1935,1957,1%,2%,68%,27%,2%,0%
106,376,731,94%,1%,80%,19%,1%,0%
107,1988,1557,-22%,2%,64%,32%,2%,0%
108,4355,1482,-66%,2%,75%,22%,1%,0%
109,1077,1049,-3%,2%,67%,29%,1%,0%
110,8026,5064,-37%,2%,54%,41%,3%,0%
111,1415,1238,-13%,2%,68%,28%,1%,0%
112,6557,3143,-52%,2%,60%,34%,3%,0%
113,5377,2058,-62%,2%,60%,35%,3%,0%
114,1378,1388,1%,1%,76%,22%,1%,0%
115,983,1254,28%,1%,81%,17%,1%,0%
116,326,540,66%,1%,86%,14%,0%,0%
117,467,513,10%,2%,68%,27%,2%,0%
118,1379,1110,-20%,3%,71%,25%,1%,0%
119,6452,2488,-61%,2%,64%,31%,3%,0%
120,1185,1215,3%,2%,73%,23%,2%,0%
121,1889,1382,-27%,1%,63%,33%,3%,0%
122,584,900,54%,3%,76%,20%,1%,0%
123,1565,1215,-22%,1%,70%,27%,2%,0%
124,1835,1960,7%,0%,80%,18%,2%,0%
125,7066,2689,-62%,1%,61%,35%,3%,0%
126,4556,1706,-63%,0%,75%,23%,1%,0%
127,1395,1082,-22%,1%,72%,25%,2%,0%
128,1716,1357,-21%,2%,61%,34%,2%,0%
129,3665,2440,-33%,2%,58%,37%,3%,0%
130,6940,3100,-55%,1%,65%,31%,3%,0%
131,3902,2607,-33%,3%,61%,33%,3%,0%
132,406,587,45%,3%,70%,25%,2%,0%
133,253,406,60%,0%,78%,22%,0%,0%
134,5423,2144,-60%,2%,66%,30%,2%,0%
135,1594,1629,2%,2%,71%,27%,1%,0%
136,202,232,15%,6%,62%,28%,4%,0%
137,5156,1915,-63%,1%,58%,38%,3%,0%
138,5886,2617,-56%,1%,69%,28%,1%,0%
