Store Number,Feature Store?
267,Yes
1892,Yes
1901,Yes
5337,Yes
1952,Yes
335,Yes
101,Yes
1554,Yes
2989,Yes
3254,Yes
3548,Yes
724,Yes
2153,Yes
1379,Yes
1209,Yes
2311,Yes
1920,Yes
5440,Yes
2040,Yes
826,Yes
2554,Yes
1045,Yes
5305,Yes
1030,Yes
1279,Yes
3645,Yes
1703,Yes
2474,Yes
3484,Yes
58,Yes
603,Yes
1055,Yes
598,Yes
1956,Yes
5394,Yes
2948,Yes
2051,Yes
75,Yes
1757,Yes
25,Yes
3078,Yes
1959,Yes
2104,Yes
2836,Yes
2006,Yes
3412,Yes
2049,Yes
1742,Yes
5626,Yes
3771,Yes
2515,Yes
5189,Yes
5124,Yes
1968,Yes
3489,Yes
2149,Yes
1674,Yes
1966,Yes
2088,Yes
809,Yes
1604,Yes
1902,Yes
2547,Yes
2634,Yes
1427,Yes
1503,Yes
5131,Yes
850,Yes
1532,Yes
3241,Yes
842,Yes
3796,Yes
1405,Yes
1759,Yes
1525,Yes
1739,Yes
5717,Yes
2658,Yes
2127,Yes
1935,Yes
896,Yes
1543,Yes
697,Yes
1104,Yes
2401,Yes
1563,Yes
2593,Yes
532,Yes
3213,Yes
2764,Yes
5159,Yes
1878,Yes
2283,Yes
1623,Yes
2120,Yes
2116,Yes
2055,Yes
4387,Yes
1139,Yes
1594,Yes
5239,Yes
3339,Yes
906,Yes
3379,Yes
869,Yes
2444,Yes
1888,Yes
1200,Yes
5270,Yes
2712,Yes
2687,Yes
1465,Yes
5040,Yes
5480,Yes
964,Yes
2027,Yes
1830,Yes
670,Yes
2587,Yes
618,Yes
1872,Yes
26,Yes
705,Yes
1655,Yes
2691,Yes
2032,Yes
1723,Yes
1361,Yes
2221,Yes
1976,Yes
2224,Yes
5298,Yes
2385,Yes
5461,Yes
2450,Yes
2016,Yes
1947,Yes
72,Yes
414,Yes
2023,Yes
1591,Yes
1149,Yes
3516,Yes
1042,Yes
3058,Yes
1449,Yes
2491,Yes
1660,Yes
331,Yes
400,Yes
1929,Yes
1428,Yes
2780,Yes
2617,Yes
2585,Yes
2003,Yes
672,Yes
2046,Yes
2183,Yes
2013,Yes
2629,Yes
1322,Yes
1264,Yes
5795,Yes
2230,Yes
3568,Yes
1280,Yes
1588,Yes
585,Yes
781,Yes
1828,Yes
2358,Yes
515,Yes
852,Yes
860,Yes
767,Yes
5154,Yes
3728,Yes
1094,Yes
2508,Yes
1789,Yes
3729,Yes
2024,Yes
2282,Yes
3469,Yes
3495,Yes
1337,Yes
1237,Yes
3850,Yes
5396,Yes
4612,Yes
1607,Yes
3454,Yes
3589,Yes
1699,Yes
5233,Yes
2333,Yes
4325,Yes
3397,Yes
721,Yes
574,Yes
2612,Yes
584,Yes
2544,Yes
1836,Yes
29,Yes
1606,Yes
2310,Yes
2681,Yes
4156,Yes
3304,Yes
7009,Yes
3864,Yes
1962,Yes
2550,Yes
3239,Yes
1889,Yes
544,Yes
2641,Yes
5428,Yes
1344,Yes
3831,Yes
2239,Yes
407,Yes
2357,Yes
3332,Yes
944,Yes
450,Yes
79,Yes
4653,Yes
1535,Yes
4368,Yes
613,Yes
864,Yes
1439,Yes
1584,Yes
1025,Yes
2367,Yes
3209,Yes
1540,Yes
1733,Yes
2002,Yes
2477,Yes
2262,Yes
688,Yes
657,Yes
2227,Yes
1925,Yes
794,Yes
3802,Yes
1230,Yes
625,Yes
2435,Yes
1875,Yes
500,Yes
2083,Yes
3891,Yes
1160,Yes
5215,Yes
5101,Yes
275,Yes
140,Yes
1016,Yes
1738,Yes
1611,Yes
1752,Yes
4553,Yes
1880,Yes
1810,Yes
2332,Yes
1552,Yes
5368,Yes
1306,Yes
1659,Yes
1768,Yes
2921,Yes
1862,Yes
1934,Yes
5488,Yes
1955,Yes
3281,Yes
853,Yes
421,Yes
1460,Yes
43,Yes
1310,Yes
3522,Yes
1764,Yes
1642,Yes
2817,Yes
5751,Yes
5732,Yes
1924,Yes
1868,Yes
5076,Yes
3329,Yes
1930,Yes
877,Yes
5346,Yes
5466,Yes
1495,Yes
2549,Yes
2539,Yes
472,Yes
2169,Yes
2528,Yes
1823,Yes
2223,Yes
1019,Yes
1686,Yes
4340,Yes
3464,Yes
1087,Yes
452,Yes
3219,Yes
1682,Yes
2809,Yes
157,Yes
5275,Yes
4531,Yes
3259,Yes
35,Yes
1053,Yes
5418,Yes
3180,Yes
3477,Yes
1574,Yes
2557,Yes
4243,Yes
2368,Yes
2208,Yes
599,Yes
1304,Yes
1978,Yes
4221,Yes
1736,Yes
3731,Yes
1411,Yes
5167,Yes
1914,Yes
3276,Yes
1364,Yes
2089,Yes
2933,Yes
1396,Yes
11,Yes
459,Yes
1454,Yes
3004,Yes
828,Yes
2985,Yes
2568,Yes
3513,Yes
2818,Yes
5150,Yes
15,Yes
560,Yes
3455,Yes
5864,Yes
2064,Yes
5777,Yes
3409,Yes
2140,Yes
2399,Yes
1749,Yes
3658,Yes
1426,Yes
1099,Yes
1794,Yes
2252,Yes
3633,Yes
1746,Yes
3407,Yes
1273,Yes
3232,Yes
953,Yes
330,Yes
3265,Yes
1524,Yes
154,Yes
2812,Yes
1202,Yes
1993,Yes
2326,Yes
2107,Yes
1637,Yes
557,Yes
5072,Yes
892,Yes
3791,Yes
2872,Yes
3897,Yes
2648,Yes
1781,Yes
2174,Yes
5278,Yes
2336,Yes
2152,Yes
1796,Yes
1849,Yes
2679,Yes
2249,Yes
2476,Yes
5384,Yes
5340,Yes
2777,Yes
2093,Yes
2028,Yes
605,Yes
5947,Yes
1679,Yes
2581,Yes
1949,Yes
2502,Yes
1386,Yes
371,Yes
664,Yes
1877,Yes
4631,Yes
5065,Yes
2010,Yes
2080,Yes
5411,Yes
2735,Yes
1615,Yes
2531,Yes
1075,Yes
1856,Yes
3583,Yes
1132,Yes
3511,Yes
1512,Yes
1357,Yes
5156,Yes
2928,Yes
1707,Yes
5285,Yes
5245,Yes
4055,Yes
821,Yes
1936,Yes
2790,Yes
4597,Yes
4286,Yes
1508,Yes
867,Yes
1567,Yes
5326,Yes
1472,Yes
1074,Yes
1432,Yes
5136,Yes
2069,Yes
1797,Yes
2351,Yes
168,Yes
41,Yes
1644,Yes
1381,Yes
5430,Yes
1612,Yes
1896,Yes
1747,Yes
2541,Yes
2434,Yes
1973,Yes
1656,Yes
52,Yes
1801,Yes
228,Yes
3014,Yes
1585,Yes
2607,Yes
5168,Yes
1645,Yes
2886,Yes
249,Yes
2716,Yes
177,Yes
2276,Yes
1995,Yes
5133,Yes
1903,Yes
2202,Yes
1300,Yes
2185,Yes
1529,Yes
3732,Yes
213,Yes
905,Yes
5334,Yes
2952,Yes
1062,Yes
768,Yes
808,Yes
2799,Yes
5117,Yes
6951,Yes
2078,Yes
512,Yes
