store_number,IDC,Islander Trait
461,7042,Collector Islander
2259,6060,Collector Islander
549,7042,Collector Islander
1426,8980,Collector Islander
2886,6060,Collector Islander
1458,7067,Collector Islander
3739,6060,Collector Islander
2027,8980,Collector Islander
1218,6060,Collector Islander
100,7042,Collector Islander
2049,6088,Collector Islander
1510,7067,Collector Islander
3520,6088,Collector Islander
1977,6088,Collector Islander
2612,7042,Collector Islander
2511,6060,Collector Islander
2249,6060,Collector Islander
3511,6060,Collector Islander
5234,6060,Collector Islander
2405,6088,Collector Islander
2201,7042,Collector Islander
3763,7042,Collector Islander
5078,6060,Collector Islander
1739,6088,Collector Islander
264,7067,Collector Islander
1062,7042,Collector Islander
2243,6060,Collector Islander
1782,8980,Collector Islander
2587,7067,Collector Islander
554,7042,Collector Islander
1796,6088,Collector Islander
272,7067,Collector Islander
537,7042,Collector Islander
58,7067,Collector Islander
5368,6060,Collector Islander
2781,6060,Collector Islander
5270,6060,Collector Islander
865,7042,Collector Islander
1888,6060,Collector Islander
1505,8980,Collector Islander
2688,7042,Collector Islander
1959,6088,Collector Islander
1951,6060,Collector Islander
1677,6088,Collector Islander
2007,6060,Collector Islander
1699,6060,Collector Islander
1871,6088,Collector Islander
184,7042,Collector Islander
5116,7042,Collector Islander
491,7067,Collector Islander
512,7042,Collector Islander
2209,8980,Collector Islander
2921,6060,Collector Islander
2051,6060,Collector Islander
1303,7042,Collector Islander
2361,8980,Collector Islander
808,7042,Collector Islander
1987,7078,Collector Islander
2695,6061,Collector Islander
2036,8980,Collector Islander
1036,8980,Collector Islander
1607,6088,Collector Islander
2221,7067,Collector Islander
2508,6060,Collector Islander
500,7042,Collector Islander
697,6061,Collector Islander
3851,7078,Collector Islander
1567,7078,Collector Islander
5272,6060,Collector Islander
2199,8980,Collector Islander
668,7067,Collector Islander
1823,6088,Collector Islander
1461,6060,Collector Islander
2193,6088,Collector Islander
2115,8980,Collector Islander
1663,8980,Collector Islander
2169,6088,Collector Islander
129,7042,Collector Islander
1644,6088,Collector Islander
4219,7042,Collector Islander
1597,7042,Collector Islander
1476,7067,Collector Islander
4423,8980,Collector Islander
3848,6060,Collector Islander
3363,7067,Collector Islander
2197,6088,Collector Islander
1060,8980,Collector Islander
2046,6088,Collector Islander
2544,7078,Collector Islander
1574,6060,Collector Islander
2234,6088,Collector Islander
5898,7042,Collector Islander
2806,8980,Collector Islander
427,7042,Collector Islander
2340,6088,Collector Islander
5173,7067,Collector Islander
2055,6088,Collector Islander
2450,6060,Collector Islander
2928,8980,Collector Islander
622,7042,Collector Islander
157,7067,Collector Islander
535,7042,Collector Islander
906,6060,Collector Islander
2537,6060,Collector Islander
307,7067,Collector Islander
3500,7042,Collector Islander
1665,7067,Collector Islander
1885,6088,Collector Islander
1454,7078,Collector Islander
671,7067,Collector Islander
1763,8980,Collector Islander
1457,7042,Collector Islander
1781,6088,Collector Islander
838,7042,Collector Islander
3705,6060,Collector Islander
975,7042,Collector Islander
1305,7078,Collector Islander
1768,6060,Collector Islander
2281,6088,Collector Islander
1757,7078,Collector Islander
1769,6088,Collector Islander
828,7067,Collector Islander
5045,7042,Collector Islander
2065,8980,Collector Islander
1341,7067,Collector Islander
2958,7078,Collector Islander
1527,6088,Collector Islander
544,7042,Collector Islander
1215,7067,Collector Islander
1745,7067,Collector Islander
1932,6088,Collector Islander
3403,6061,Collector Islander
536,7042,Collector Islander
1291,6060,Collector Islander
1904,8980,Collector Islander
3265,6088,Collector Islander
1039,8980,Collector Islander
789,7042,Collector Islander
2,7042,Collector Islander
1532,6060,Collector Islander
766,7067,Collector Islander
3390,7042,Collector Islander
1994,6088,Collector Islander
2964,6088,Collector Islander
939,7042,Collector Islander
1064,8980,Collector Islander
5388,7042,Collector Islander
1376,7067,Collector Islander
2331,6088,Collector Islander
861,7042,Collector Islander
3874,6061,Collector Islander
5316,7042,Collector Islander
2464,6060,Collector Islander
2554,6060,Collector Islander
447,7042,Collector Islander
601,7042,Collector Islander
101,7067,Collector Islander
3894,7067,Collector Islander
445,7067,Collector Islander
