Region,Store#,Staffing at store,Possession Actual,Construction Duration
4,631,3,10/5/2025,1 week
4,640,12,9/7/2025,2 weeks
4,641,14,1/4/2026,2 weeks
2,787,12,9/21/2025,1 week
46,850,12,8/24/2025,1 week
2,855,12,9/21/2025,1 week (3 working nights)
4,1037,14,8/31/2025,2 weeks
2,1181,3,7/20/2025,1 week (3 working nights)
7,1185,15,10/5/2025,1 week
2,1340,12,9/28/2025,2 weeks
21,1443,12,10/5/2025,1 week
41,1459,14,9/28/2025,2 weeks
41,1518,14,9/28/2025,3 weeks
41,1557,14,10/19/2025,1 week
2,1586,12,10/12/2025,1 week (3 working nights)
76,1619,12,8/24/2025,2 weeks
54,1689,12,9/14/2025,2 weeks
58,1747,14,9/7/2025,2 weeks
22,1860,14,9/14/2025,2 weeks
20,1863,14,9/7/2025,2 weeks
76,1985,14,9/15/2025,3 weeks
60,2070,15,9/28/2025,3 weeks
21,2098,3,9/28/2025,1 week
16,2152,14,9/7/2025,1 week
56,2189,12,9/21/2025,2 weeks
20,2362,14,10/5/2025,2 weeks
75,2435,14,9/14/2025,1 week
56,2457,12,9/21/2025,2 weeks
56,2537,12,9/28/2025,2 weeks
60,2550,14,9/14/2025,2 weeks
22,2555,12,8/31/2025,1 week
56,2598,12,9/22/2025,2 weeks
21,2774,0,10/5/2025,1 week (3 working nights)
41,2787,14,8/24/2025,1 week
22,2830,14,9/14/2025,2 weeks
76,2859,14,10/5/2025,1 week
57,2886,12,9/7/2025,2 weeks
9,2946,14,10/19/2025,1 week
57,2951,12,9/28/2025,2 weeks
40,3061,12,10/5/2025,1 week
57,3180,12,10/5/2025,2 weeks
4,3192,12,1/11/2026,1 week
76,3280,12,10/5/2025,1 week
17,3292,14,9/21/2025,2 weeks
56,3352,12,9/7/2025,1 week
4,3367,14,10/19/2025,2 weeks
2,3401,0,9/28/2025,1 week (3 working nights)
56,3408,15,8/31/2025,2 weeks
21,3571,14,6/29/2025,1 week 
2,3621,12,9/28/2025,1 week
2,3710,12,10/5/2025,1 week
2,3741,12,9/7/2025,1 week
41,3781,14,9/7/2025,2 weeks
60,3794,12,8/17/2025,2 weeks
60,4137,12,9/14/2025,2 weeks
56,4239,15,10/5/2025,2 weeks
57,4557,12,9/28/2025,2 weeks
17,5077,12,10/19/2025,2 weeks
40,5150,14,8/31/2025,1 week
21,5185,14,10/12/2025,1 week
56,5192,12,10/12/2025,1 week
17,5201,12,9/7/2025,3 weeks
17,5281,14,10/19/2025,2 weeks
54,5334,12,10/12/2025,2 weeks
2,5390,5,7/13/2025,1 week
22,5436,14,9/21/2025,2 weeks 
60,5440,12,9/7/2025,2 weeks
41,5443,12,9/7/2025,1 week
17,5447,14,6/29/2025,2 weeks
54,5676,12,9/21/2025,2 weeks
57,5686,12,11/2/2025,2 weeks
40,5927,12,8/31/2025,1 week
54,5957,12,10/5/2025,1 week 
2,6998,12,9/7/2025,1 week
