Store Number,Trend Pod Store
5214,Yes
5420,Yes
4332,Yes
5293,Yes
2067,Yes
5686,Yes
2091,Yes
2423,Yes
549,Yes
3180,Yes
3159,Yes
461,Yes
608,Yes
8331,Yes
2886,Yes
5154,Yes
3520,Yes
5447,Yes
1862,Yes
5305,Yes
1564,Yes
2240,Yes
689,Yes
5134,Yes
964,Yes
1810,Yes
397,Yes
2814,Yes
554,Yes
2085,Yes
1426,Yes
5299,Yes
5278,Yes
3795,Yes
2959,Yes
1510,Yes
3004,Yes
2150,Yes
395,Yes
4424,Yes
862,Yes
1612,Yes
5337,Yes
5072,Yes
1041,Yes
3464,Yes
3518,Yes
1574,Yes
1565,Yes
2557,Yes
2239,Yes
2722,Yes
2201,Yes
3888,Yes
2612,Yes
3352,Yes
1645,Yes
2068,Yes
5295,Yes
1959,Yes
2708,Yes
817,Yes
5717,Yes
1835,Yes
512,Yes
1983,Yes
908,Yes
2001,Yes
4340,Yes
5425,Yes
456,Yes
1324,Yes
5713,Yes
4383,Yes
2027,Yes
4132,Yes
1588,Yes
2400,Yes
100,Yes
2036,Yes
1815,Yes
3516,Yes
5165,Yes
1938,Yes
299,Yes
2357,Yes
752,Yes
5898,Yes
2912,Yes
500,Yes
928,Yes
3796,Yes
2142,Yes
1247,Yes
670,Yes
2531,Yes
3106,Yes
5809,Yes
1351,Yes
2881,Yes
3500,Yes
2637,Yes
789,Yes
2610,Yes
2252,Yes
2286,Yes
3320,Yes
2141,Yes
4438,Yes
258,Yes
464,Yes
1015,Yes
3420,Yes
1747,Yes
1218,Yes
511,Yes
711,Yes
2005,Yes
1826,Yes
2405,Yes
1118,Yes
3560,Yes
719,Yes
709,Yes
1856,Yes
2763,Yes
4298,Yes
1000,Yes
2181,Yes
2818,Yes
307,Yes
2366,Yes
3763,Yes
491,Yes
1782,Yes
651,Yes
2549,Yes
5334,Yes
1367,Yes
755,Yes
865,Yes
3351,Yes
1922,Yes
220,Yes
535,Yes
140,Yes
5842,Yes
532,Yes
1062,Yes
2371,Yes
2435,Yes
