DC Number,Type,Date,Application,Summary,Status,Cell,CRQ
2364,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell010, Cell011",CHG3358524
2364,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
2364,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
2364,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
2364,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell010, Cell011",CHG3358494
2971,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
2971,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
2971,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell010, Cell011",CHG3358494
2971,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
2971,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
3,Enhancement,7/23/2025,Shore,New version of Shore Install,Planned,Cell003,CHG3269841
3,Enhancement,7/23/2025,Shore,New version of Shore Install,Planned,Cell003,CHG3269841
3010,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
3010,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
3010,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
3010,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes,Planned,Cell012,CHG3353974
3010,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
3010,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
3010,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes,Planned,Cell012,CHG3348423
3010,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
4020,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
4020,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
4020,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
4020,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
4020,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
4047,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
4047,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell010, Cell011",CHG3358524
4047,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
4047,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
4047,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
4154,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
4154,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
4154,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
4154,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
4154,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
4154,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
4154,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
4154,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6042,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6042,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6042,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6042,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6042,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6042,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
