Store #,Store Type,Shipping City,State,Zip Code,Tier Name,Article #
1,Supercenter,Rogers,AR,72756,Tier 03,100673607
2,Supercenter,Harrison,AR,72601,Tier 03,100673607
3,Supercenter,Commerce,GA,30529,Tier 01 ,100673605
4,Supercenter,Siloam Springs,AR,72761,Tier 03,100673607
5,Supercenter,Conway,AR,72032,Tier 03,100673607
7,Supercenter,Sherwood,AR,72120,Tier 03,100673607
8,Supercenter,Morrilton,AR,72110,Tier 03,100673607
9,Supercenter,Sikeston,MO,63801,Tier 05,100673609
10,Supercenter,Tahlequah,OK,74464,Tier 03,100673607
11,Supercenter,Mountain Home,AR,72653,Tier 03,100673607
12,Supercenter,Clar,OK,74017,Tier 03,100673607
13,Supercenter,Carthage,MO,64836,Tier 05,100673609
14,Supercenter,Lebanon,MO,65536,Tier 05,100673609
15,Supercenter,West Plains,MO,65775,Tier 02 ,100673606
16,Supercenter,Van Buren,AR,72956,Tier 03,100673607
17,Supercenter,Neosho,MO,64850,Tier 05,100673609
18,Supercenter,Newport,AR,72112,Tier 03,100673607
19,Supercenter,Poplar Bluff,MO,63901,Tier 04,100673608
20,Supercenter,Clinton,MO,64735,Tier 05,100673609
21,Supercenter,Saint Robert,MO,65584,Tier 05,100673609
22,Supercenter,Pryor,OK,74361,Tier 03,100673607
23,Supercenter,Ruston,LA,71270,Tier 03,100673607
24,Supercenter,Jacksonville,AR,72076,Tier 03,100673607
25,Supercenter,Mexico,MO,65265,Tier 04,100673608
26,Supercenter,Leavenworth,KS,66048,Tier 05,100673609
27,Supercenter,Salem,MO,65560,Tier 05,100673609
28,Supercenter,Miami,OK,74354,Tier 04,100673608
29,Supercenter,Jefferson City,MO,65109,Tier 04,100673608
30,Supercenter,Dexter,MO,63841,Tier 05,100673609
31,Supercenter,Poteau,OK,74953,Tier 03,100673607
32,Wal-Mart,Branson,MO,65616,Tier 05,100673609
33,Supercenter,Nashville,AR,71852,Tier 03,100673607
34,Supercenter,Nevada,MO,64772,Tier 05,100673609
35,Supercenter,Manhattan,KS,66502,Tier 05,100673609
36,Supercenter,Paragould,AR,72450,Tier 05,100673609
37,Supercenter,Farmington,MO,63640,Tier 05,100673609
38,Supercenter,Idabel,OK,74745,Tier 04,100673608
39,Supercenter,Fort Scott,KS,66701,Tier 05,100673609
40,Supercenter,Moberly,MO,65270,Tier 05,100673609
41,Supercenter,Bartlesville,OK,74006,Tier 05,100673609
42,Supercenter,Coffeyville,KS,67337,Tier 05,100673609
43,Supercenter,Junction City,KS,66441,Tier 05,100673609
44,Wal-Mart,Eldon,MO,65026,Tier 05,100673609
45,Supercenter,Jonesboro,AR,72401,Tier 02 ,100673606
46,Supercenter,Bolivar,MO,65613,Tier 05,100673609
47,Supercenter,Sallisaw,OK,74955,Tier 03,100673607
48,Supercenter,Monett,MO,65708,Tier 05,100673609
49,Supercenter,Hugo,OK,74743,Tier 04,100673608
50,Supercenter,Vinita,OK,74301,Tier 05,100673609
51,Supercenter,Fulton,MO,65251,Tier 04,100673608
52,Supercenter,Hot Springs,AR,71913,Tier 03,100673607
54,Supercenter,Springdale,AR,72764,Tier 03,100673607
55,Supercenter,Booneville,AR,72927,Tier 03,100673607
56,Supercenter,Ava,MO,65608,Tier 05,100673609
57,Wal-Mart,Walnut Ridge,AR,72476,Tier 05,100673609
58,Supercenter,Russellville,AR,72802,Tier 03,100673607
59,Supercenter,Joplin,MO,64804,Tier 05,100673609
60,Supercenter,Troy,MO,63379,Tier 03,100673607
61,Supercenter,Warrensburg,MO,64093,Tier 05,100673609
62,Supercenter,Blytheville,AR,72315,Tier 05,100673609
63,Supercenter,Wagoner,OK,74467,Tier 03,100673607
64,Supercenter,Brownsville,TN,38012,Tier 03,100673607
65,Supercenter,Sullivan,MO,63080,Tier 05,100673609
66,Supercenter,Clarksville,AR,72830,Tier 03,100673607
67,Supercenter,Mena,AR,71953,Tier 03,100673607
68,Supercenter,Wynne,AR,72396,Tier 03,100673607
69,Supercenter,Festus,MO,63028,Tier 03,100673607
70,Supercenter,West Memphis,AR,72301,Tier 03,100673607
71,Supercenter,Pocahontas,AR,72455,Tier 05,100673609
72,Supercenter,Pittsburg,KS,66762,Tier 05,100673609
73,Supercenter,Sapulpa,OK,74066,Tier 03,100673607
74,Supercenter,Osceola,AR,72370,Tier 03,100673607
75,Supercenter,Pineville,LA,71360,Tier 03,100673607
76,Supercenter,Berryville,AR,72616,Tier 03,100673607
77,Supercenter,Taylor,TX,76574,Tier 03,100673607
78,Supercenter,Marshfield,MO,65706,Tier 05,100673609
79,Supercenter,Joplin,MO,64801,Tier 05,100673609
80,Supercenter,Columbia,MO,65203,Tier 04,100673608
81,Supercenter,Stilwell,OK,74960,Tier 03,100673607
82,Supercenter,Perryville,MO,63775,Tier 05,100673609
83,Supercenter,Magnolia,AR,71753,Tier 03,100673607
85,Supercenter,Benton,AR,72015,Tier 03,100673607
86,Supercenter,Springfield,MO,65803,Tier 05,100673609
87,Supercenter,Minden,LA,71055,Tier 03,100673607
88,Supercenter,Mountain Grove,MO,65711,Tier 05,100673609
89,Supercenter,Camdenton,MO,65020,Tier 05,100673609
90,Supercenter,Grove,OK,74344,Tier 03,100673607
91,Supercenter,Forrest City,AR,72335,Tier 03,100673607
92,Supercenter,Aurora,MO,65605,Tier 05,100673609
93,Supercenter,Covington,TN,38019,Tier 03,100673607
94,Supercenter,Millington,TN,38053,Tier 03,100673607
95,Supercenter,Desloge,MO,63601,Tier 05,100673609
96,Supercenter,Harrisonville,MO,64701,Tier 05,100673609
97,Supercenter,Ripley,TN,38063,Tier 03,100673607
98,Supercenter,Bastrop,LA,71220,Tier 03,100673607
99,Supercenter,Union,MO,63084,Tier 05,100673609
100,Supercenter,Bentonville,AR,72712,Tier 03,100673607
101,Supercenter,Rolla,MO,65401,Tier 05,100673609
102,Supercenter,Stuttgart,AR,72160,Tier 03,100673607
103,Supercenter,Shawnee,OK,74804,Tier 03,100673607
104,Supercenter,Milan,TN,38358,Tier 03,100673607
105,Supercenter,Corinth,MS,38834,Tier 03,100673607
106,Supercenter,Fulton,KY,42041,Tier 03,100673607
107,Supercenter,Martin,TN,38237,Tier 03,100673607
108,Supercenter,Guthrie,OK,73044,Tier 03,100673607
109,Supercenter,Cameron,MO,64429,Tier 05,100673609
110,Supercenter,Winter Garden,FL,34787,Tier 01 ,100673605
111,Supercenter,Chanute,KS,66720,Tier 05,100673609
112,Supercenter,Starksville,MS,39759,Tier 02 ,100673606
113,Supercenter,Chickasha,OK,73018,Tier 05,100673609
114,Supercenter,Booneville,MS,38829,Tier 02 ,100673606
115,Supercenter,West Point,MS,39773,Tier 02 ,100673606
116,Wal-Mart,Vivian,LA,71082,Tier 04,100673608
117,Wal-Mart,Broken Bow,OK,74728,Tier 04,100673608
118,Supercenter,Amory,MS,38821,Tier 02 ,100673606
