Store,Participating
77,Yes
131,Yes
140,Yes
147,Yes
148,Yes
165,Yes
180,Yes
185,Yes
194,Yes
202,Yes
206,Yes
211,Yes
217,Yes
220,Yes
221,Yes
228,Yes
248,Yes
249,Yes
259,Yes
260,Yes
266,Yes
269,Yes
271,Yes
280,Yes
284,Yes
285,Yes
286,Yes
288,Yes
290,Yes
297,Yes
321,Yes
322,Yes
330,Yes
344,Yes
345,Yes
351,Yes
353,Yes
371,Yes
372,Yes
381,Yes
383,Yes
384,Yes
392,Yes
395,Yes
397,Yes
398,Yes
399,Yes
400,Yes
407,Yes
408,Yes
413,Yes
414,Yes
417,Yes
420,Yes
421,Yes
426,Yes
427,Yes
437,Yes
440,Yes
442,Yes
443,Yes
449,Yes
452,Yes
456,Yes
457,Yes
458,Yes
462,Yes
463,Yes
464,Yes
465,Yes
467,Yes
471,Yes
475,Yes
490,Yes
500,Yes
504,Yes
508,Yes
512,Yes
513,Yes
516,Yes
522,Yes
524,Yes
536,Yes
537,Yes
544,Yes
546,Yes
549,Yes
558,Yes
561,Yes
565,Yes
572,Yes
590,Yes
595,Yes
601,Yes
602,Yes
608,Yes
611,Yes
652,Yes
703,Yes
743,Yes
744,Yes
746,Yes
749,Yes
755,Yes
757,Yes
765,Yes
768,Yes
770,Yes
772,Yes
777,Yes
781,Yes
782,Yes
789,Yes
791,Yes
806,Yes
807,Yes
808,Yes
812,Yes
821,Yes
822,Yes
824,Yes
835,Yes
842,Yes
850,Yes
851,Yes
865,Yes
867,Yes
868,Yes
869,Yes
872,Yes
880,Yes
886,Yes
892,Yes
896,Yes
897,Yes
901,Yes
905,Yes
915,Yes
918,Yes
924,Yes
927,Yes
939,Yes
945,Yes
947,Yes
964,Yes
972,Yes
980,Yes
999,Yes
1000,Yes
1001,Yes
1015,Yes
1022,Yes
1040,Yes
1041,Yes
1042,Yes
1044,Yes
1045,Yes
1055,Yes
1062,Yes
1098,Yes
1103,Yes
1117,Yes
1118,Yes
1125,Yes
1126,Yes
1129,Yes
1137,Yes
1148,Yes
1149,Yes
1150,Yes
1152,Yes
1154,Yes
1178,Yes
1185,Yes
1186,Yes
1198,Yes
1199,Yes
1200,Yes
1216,Yes
1218,Yes
1232,Yes
1235,Yes
1240,Yes
1241,Yes
1249,Yes
1253,Yes
1254,Yes
1256,Yes
1291,Yes
1296,Yes
1303,Yes
1313,Yes
1324,Yes
1347,Yes
1357,Yes
1361,Yes
1381,Yes
1397,Yes
1401,Yes
1409,Yes
1411,Yes
1414,Yes
1420,Yes
1437,Yes
1455,Yes
1470,Yes
1490,Yes
1492,Yes
1494,Yes
1500,Yes
1512,Yes
1516,Yes
1526,Yes
1528,Yes
1531,Yes
1533,Yes
1534,Yes
1535,Yes
1538,Yes
1549,Yes
1553,Yes
1555,Yes
1560,Yes
1567,Yes
1574,Yes
1604,Yes
1612,Yes
1637,Yes
1646,Yes
1657,Yes
1659,Yes
1660,Yes
1668,Yes
1689,Yes
1692,Yes
1721,Yes
1722,Yes
1737,Yes
1746,Yes
1747,Yes
1764,Yes
1800,Yes
1801,Yes
1803,Yes
1814,Yes
1826,Yes
1837,Yes
1846,Yes
1853,Yes
1855,Yes
1858,Yes
1859,Yes
1862,Yes
1892,Yes
1898,Yes
1938,Yes
1943,Yes
1952,Yes
1955,Yes
1958,Yes
1983,Yes
2028,Yes
2066,Yes
2086,Yes
2087,Yes
2105,Yes
2113,Yes
2117,Yes
2133,Yes
2201,Yes
2223,Yes
2231,Yes
2239,Yes
2245,Yes
2257,Yes
2394,Yes
2433,Yes
2439,Yes
2463,Yes
2482,Yes
2515,Yes
2554,Yes
2599,Yes
2612,Yes
2642,Yes
2649,Yes
2667,Yes
2671,Yes
2688,Yes
2716,Yes
2724,Yes
2729,Yes
2751,Yes
2752,Yes
2763,Yes
2765,Yes
2767,Yes
2768,Yes
2769,Yes
2777,Yes
2826,Yes
2827,Yes
2835,Yes
2847,Yes
2864,Yes
2883,Yes
2886,Yes
2891,Yes
2918,Yes
2922,Yes
2926,Yes
2948,Yes
2951,Yes
2973,Yes
2974,Yes
2975,Yes
2976,Yes
2978,Yes
2979,Yes
2980,Yes
2981,Yes
2991,Yes
2993,Yes
2996,Yes
3004,Yes
3019,Yes
3043,Yes
3044,Yes
3057,Yes
3088,Yes
3106,Yes
3107,Yes
3112,Yes
3127,Yes
3131,Yes
3136,Yes
3140,Yes
3169,Yes
3170,Yes
3180,Yes
3199,Yes
3202,Yes
3204,Yes
3213,Yes
3224,Yes
3225,Yes
3226,Yes
3237,Yes
3274,Yes
3279,Yes
3285,Yes
3286,Yes
3297,Yes
3298,Yes
3302,Yes
3314,Yes
3319,Yes
3320,Yes
3360,Yes
3383,Yes
3384,Yes
3385,Yes
3390,Yes
3392,Yes
3395,Yes
3400,Yes
3406,Yes
3407,Yes
3419,Yes
3423,Yes
3425,Yes
3427,Yes
3431,Yes
3432,Yes
3452,Yes
3465,Yes
3482,Yes
3500,Yes
3509,Yes
3510,Yes
3516,Yes
3518,Yes
3533,Yes
3542,Yes
3567,Yes
3569,Yes
3572,Yes
3579,Yes
3584,Yes
3585,Yes
3591,Yes
3594,Yes
3596,Yes
3597,Yes
3601,Yes
3623,Yes
3631,Yes
3640,Yes
3645,Yes
3661,Yes
3725,Yes
3751,Yes
3760,Yes
3763,Yes
3771,Yes
3773,Yes
3777,Yes
3796,Yes
3799,Yes
3806,Yes
3807,Yes
3823,Yes
3824,Yes
3826,Yes
3827,Yes
3828,Yes
3833,Yes
3853,Yes
3861,Yes
3886,Yes
3888,Yes
3891,Yes
4046,Yes
4055,Yes
4102,Yes
4103,Yes
4105,Yes
4112,Yes
4130,Yes
4131,Yes
4162,Yes
4163,Yes
4164,Yes
4165,Yes
4183,Yes
4193,Yes
4194,Yes
4201,Yes
4215,Yes
4219,Yes
4238,Yes
4240,Yes
4256,Yes
4257,Yes
4279,Yes
4286,Yes
4298,Yes
4322,Yes
4336,Yes
4341,Yes
4352,Yes
4358,Yes
4366,Yes
4377,Yes
4392,Yes
4415,Yes
4416,Yes
4451,Yes
4453,Yes
4464,Yes
4465,Yes
4466,Yes
4468,Yes
4490,Yes
4503,Yes
4508,Yes
4509,Yes
4511,Yes
4512,Yes
4526,Yes
4531,Yes
4538,Yes
4554,Yes
4567,Yes
4601,Yes
4618,Yes
4627,Yes
4676,Yes
4699,Yes
4747,Yes
5031,Yes
5033,Yes
5045,Yes
5051,Yes
5060,Yes
5080,Yes
5091,Yes
5092,Yes
5094,Yes
5108,Yes
5115,Yes
5116,Yes
5124,Yes
5137,Yes
5144,Yes
5146,Yes
5147,Yes
5154,Yes
5155,Yes
5165,Yes
5186,Yes
5191,Yes
5210,Yes
5211,Yes
5224,Yes
5226,Yes
5245,Yes
5246,Yes
5247,Yes
5287,Yes
5288,Yes
5290,Yes
5312,Yes
5314,Yes
5316,Yes
5317,Yes
5334,Yes
5335,Yes
5341,Yes
5353,Yes
5361,Yes
5369,Yes
5370,Yes
5388,Yes
5389,Yes
5428,Yes
5429,Yes
5430,Yes
5449,Yes
5460,Yes
5479,Yes
5480,Yes
5491,Yes
5612,Yes
5614,Yes
5626,Yes
5663,Yes
5672,Yes
5700,Yes
5707,Yes
5713,Yes
5715,Yes
5717,Yes
5726,Yes
5748,Yes
5764,Yes
5782,Yes
5806,Yes
5808,Yes
5809,Yes
5810,Yes
5823,Yes
5824,Yes
5866,Yes
5889,Yes
5898,Yes
5947,Yes
5957,Yes
5959,Yes
5960,Yes
5962,Yes
5987,Yes
6078,Yes
6286,Yes
6300,Yes
6459,Yes
6467,Yes
6477,Yes
6578,Yes
6579,Yes
6587,Yes
6813,Yes
6850,Yes
6851,Yes
6898,Yes
6929,Yes
7178,Yes
7224,Yes
7229,Yes
7281,Yes
7320,Yes
7362,Yes
8930,Yes
