Market,Store,Mobile Calling,
0,3129,,
1,866,TBD,
1,4333,6/24/25,
1,4581,TBD,
1,6173,TBD,
1,904,TBD,
1,991,TBD, 
1,1212,6/24/25,
1,2748,TBD,
1,853,TBD,
1,934,TBD,
1,5174,TBD,
2,562,6/24/25,
2,762,TBD,
2,1158,TBD,
2,2723,TBD,
2,670,TBD,
2,1711,6/24/25,
2,5113,6/24/25,
2,7280,TBD,
3,300,6/24/25,
3,1201,6/24/25,
3,2713,TBD,
3,5126,TBD,
3,298,6/24/25,
3,315,TBD,
3,316,6/24/25,
3,691,TBD,
3,301,TBD,
3,3386,TBD,
4,114,6/24/25,
4,258,6/24/25,
4,274,6/24/25,
4,391,6/24/25,
4,105,6/24/25,
4,118,6/24/25,
4,176,6/24/25,
4,303,6/24/25,
4,153,6/24/25,
4,164,6/24/25,
4,273,6/24/25,
5,6878,TBD,
5,332,TBD,
5,375,TBD,
5,434,TBD,
5,314,TBD,
5,433,6/24/25,
5,5197,TBD,
5,7324,TBD,
5,306,TBD,
5,681,6/24/25,
5,712,TBD,
7,604,TBD,
7,740,6/24/25,
7,1091,TBD,
7,2534,6/24/25,
7,723,TBD,
7,1134,TBD,
7,1462,TBD,
7,2114,6/24/25,
7,734,TBD,
7,1063,TBD,
7,1638,TBD,
8,483,TBD,
8,700,6/24/25,
8,5348,TBD,
8,424,6/24/25,
8,930,6/24/25,
8,1101,6/24/25,
8,938,TBD,
8,4318,TBD,
8,4407,TBD,
9,4324,TBD,
9,4264,TBD,
9,4293,TBD,
9,4490,TBD,
9,4603,TBD,
9,3049,TBD,
9,3357,TBD,
9,3377,TBD,
9,3143,TBD,
9,4473,TBD,
9,5725,TBD,
9,5304,TBD,
10,355,TBD,
10,726,TBD,
10,733,6/24/25,
10,863,6/24/25,
10,356,6/24/25,
10,730,TBD,
10,809,TBD,
10,1057,TBD,
10,329,6/24/25,
10,432,TBD,
11,715,6/24/25,
11,731,6/24/25,
11,764,6/24/25,
11,425,TBD,
11,1052,TBD,
11,2306,6/24/25,
11,287,TBD,
11,362,TBD,
13,1229,6/24/25,
13,1481,6/24/25,
13,2111,6/24/25,
13,5262,6/24/25,
13,423,TBD,
13,3271,TBD,
13,4330,6/24/25,
13,4497,TBD,
14,1222,6/24/25,
14,1224,6/24/25,
