Store,DC,Item #,Item Desc.,Whpk Return Qty
7296,6070,567668014,FF APP OF/SHRP,41
5812,6039,567668014,FF APP OF/SHRP,44
1374,6020,567668014,FF APP OF/SHRP,19
3752,6036,567668014,FF APP OF/SHRP,45
1737,6092,567668014,FF APP OF/SHRP,45
5374,6017,567668014,FF APP OF/SHRP,41
1890,7034,567668014,FF APP OF/SHRP,45
697,7035,567668014,FF APP OF/SHRP,42
5130,7034,567668014,FF APP OF/SHRP,40
954,6011,567668883,FF APP TUNA 1.1OZ,47
161,6066,567668883,FF APP TUNA 1.1OZ,44
2786,6017,567668883,FF APP TUNA 1.1OZ,45
1949,6027,567668883,FF APP TUNA 1.1OZ,40
4501,6027,567668883,FF APP TUNA 1.1OZ,42
5142,7034,567668883,FF APP TUNA 1.1OZ,40
1123,6070,567668883,FF APP TUNA 1.1OZ,42
5398,6092,567668883,FF APP TUNA 1.1OZ,45
1823,6027,567668883,FF APP TUNA 1.1OZ,37
809,6006,567668883,FF APP TUNA 1.1OZ,41
3352,6021,572764056,BI 3 IN 1 PB 2610,60
5435,6021,572764056,BI 3 IN 1 PB 2610,37
3126,6019,572764056,BI 3 IN 1 PB 2610,70
2206,6021,572764056,BI 3 IN 1 PB 2610,54
101,6069,577645017,AXE PHOENIX 32OZ BW,30
224,6069,577645017,AXE PHOENIX 32OZ BW,31
1642,6043,577645017,AXE PHOENIX 32OZ BW,33
3401,6054,577645017,AXE PHOENIX 32OZ BW,33
2215,6092,577645017,AXE PHOENIX 32OZ BW,63
5485,6092,577645017,AXE PHOENIX 32OZ BW,32
1853,7033,577645017,AXE PHOENIX 32OZ BW,32
331,6048,577645017,AXE PHOENIX 32OZ BW,31
1454,6009,577645017,AXE PHOENIX 32OZ BW,29
762,6006,577645017,AXE PHOENIX 32OZ BW,32
1101,6006,577645017,AXE PHOENIX 32OZ BW,35
7304,6070,572753015,MRCLN FRK TRG GAIN,27
1617,6019,572753015,MRCLN FRK TRG GAIN,26
2811,6054,572753015,MRCLN FRK TRG GAIN,28
402,6048,572753015,MRCLN FRK TRG GAIN,28
231,6068,572753015,MRCLN FRK TRG GAIN,26
451,6069,572753015,MRCLN FRK TRG GAIN,27
5476,7034,572753015,MRCLN FRK TRG GAIN,24
861,6012,572753015,MRCLN FRK TRG GAIN,27
4686,6094,572753015,MRCLN FRK TRG GAIN,27
645,6009,572753016,MRCLN FRK RFL GAIN,5
5745,6070,572753016,MRCLN FRK RFL GAIN,23
2834,6068,572753016,MRCLN FRK RFL GAIN,26
3585,7036,572753016,MRCLN FRK RFL GAIN,25
4567,6019,572753016,MRCLN FRK RFL GAIN,25
358,6094,572753016,MRCLN FRK RFL GAIN,27
136,6094,572753017,MRCLN FRK TRG LEM,27
6930,7036,572753017,MRCLN FRK TRG LEM,26
867,6019,572753017,MRCLN FRK TRG LEM,27
5611,6026,572753017,MRCLN FRK TRG LEM,27
219,6069,572753017,MRCLN FRK TRG LEM,28
1182,7035,572753017,MRCLN FRK TRG LEM,23
5078,6037,572753018,MRCLN FRK RFL LEM,24
2300,6027,572753018,MRCLN FRK RFL LEM,24
980,6019,572753018,MRCLN FRK RFL LEM,24
879,6066,572753018,MRCLN FRK RFL LEM,25
5142,7034,572753018,MRCLN FRK RFL LEM,27
691,6006,572753018,MRCLN FRK RFL LEM,24
2055,6030,572753018,MRCLN FRK RFL LEM,25
1862,7033,659878953,NSW- LITE TURQUOISE,84
5051,6019,673425119,ALL FC 30OZ,64
242,6035,665144788,"HR 40V 14"" BL CH SAW",12
67,6094,672504716,"HR 40V 15"" AC TRIM",6
424,6006,672504716,"HR 40V 15"" AC TRIM",6
1547,6092,557630495,AXE DARK TEMP 16Z BW,56
5965,6092,557630495,AXE DARK TEMP 16Z BW,57
4543,6031,554794766,ALEX PAINTER'S WHITE,98
91,6018,554794766,ALEX PAINTER'S WHITE,104
2192,7039,554794766,ALEX PAINTER'S WHITE,68
3354,7033,564173579,GV SLC JALAPENO 12FO,146
2639,6030,572153566,OT 1 GALLON JUG,13
198,6069,572138675,DVE CNUT 30.6Z BW,37
343,6069,572138675,DVE CNUT 30.6Z BW,34
648,6069,572138675,DVE CNUT 30.6Z BW,36
4631,6092,572138675,DVE CNUT 30.6Z BW,33
3477,6021,572138675,DVE CNUT 30.6Z BW,34
3284,6068,572138675,DVE CNUT 30.6Z BW,35
5624,6068,572138675,DVE CNUT 30.6Z BW,36
1435,6009,572138675,DVE CNUT 30.6Z BW,37
850,6012,572138675,DVE CNUT 30.6Z BW,35
1522,7045,572138675,DVE CNUT 30.6Z BW,35
2312,7045,572138675,DVE CNUT 30.6Z BW,38
4243,6043,572138675,DVE CNUT 30.6Z BW,34
3201,6054,572138675,DVE CNUT 30.6Z BW,33
3786,6054,572138675,DVE CNUT 30.6Z BW,34
2028,7033,572138675,DVE CNUT 30.6Z BW,34
909,6048,572138675,DVE CNUT 30.6Z BW,33
5096,7033,572138675,DVE CNUT 30.6Z BW,36
3254,6026,572138675,DVE CNUT 30.6Z BW,35
23,6048,572138675,DVE CNUT 30.6Z BW,33
2614,7034,572138675,DVE CNUT 30.6Z BW,32
2706,6048,572138675,DVE CNUT 30.6Z BW,34
2031,6026,572138675,DVE CNUT 30.6Z BW,35
2460,7034,572138675,DVE CNUT 30.6Z BW,36
168,6094,560018917,GAIN ORG SHTS 105CT,22
209,6094,560018917,GAIN ORG SHTS 105CT,22
227,6094,560018917,GAIN ORG SHTS 105CT,20
1514,6069,560018917,GAIN ORG SHTS 105CT,19
