Store,Carries Product?
1,Yes
2,Yes
4,Yes
5,Yes
7,Yes
8,Yes
10,Yes
11,Yes
12,Yes
13,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
22,Yes
24,Yes
28,Yes
30,Yes
31,Yes
32,Yes
33,Yes
34,Yes
36,Yes
38,Yes
41,Yes
42,Yes
45,Yes
47,Yes
48,Yes
49,Yes
50,Yes
52,Yes
54,Yes
58,Yes
59,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
70,Yes
71,Yes
72,Yes
73,Yes
74,Yes
76,Yes
78,Yes
81,Yes
83,Yes
85,Yes
87,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,Yes
97,Yes
100,Yes
102,Yes
103,Yes
104,Yes
105,Yes
106,Yes
107,Yes
108,Yes
110,Yes
112,Yes
113,Yes
114,Yes
115,Yes
117,Yes
118,Yes
119,Yes
120,Yes
121,Yes
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
137,Yes
139,Yes
140,Yes
141,Yes
143,Yes
144,Yes
147,Yes
148,Yes
151,Yes
153,Yes
154,Yes
155,Yes
157,Yes
158,Yes
160,Yes
161,Yes
162,Yes
163,Yes
164,Yes
165,Yes
167,Yes
168,Yes
169,Yes
171,Yes
174,Yes
175,Yes
176,Yes
177,Yes
178,Yes
179,Yes
180,Yes
182,Yes
185,Yes
190,Yes
192,Yes
194,Yes
196,Yes
202,Yes
204,Yes
206,Yes
207,Yes
209,Yes
210,Yes
211,Yes
212,Yes
214,Yes
216,Yes
217,Yes
218,Yes
219,Yes
220,Yes
221,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
231,Yes
232,Yes
233,Yes
234,Yes
236,Yes
237,Yes
238,Yes
240,Yes
243,Yes
246,Yes
248,Yes
250,Yes
251,Yes
254,Yes
257,Yes
258,Yes
259,Yes
260,Yes
261,Yes
262,Yes
263,Yes
264,Yes
265,Yes
266,Yes
267,Yes
268,Yes
269,Yes
271,Yes
