STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales,Right_STORE_NBR,2022 YTD SALES UNITS,2021 SALES UNITS,FYE21 SALES UNITS,FYE20 SALES UNITS,Right_REGION_NBR,CITY_NAME,STATE_PROV_CODE,REGION_NAME,Right_MARKET_AREA_NBR,FYE24 Modular,Total Items on FYE24 Store Modular,Store Set Expected Arrival Wk,DTS Shippments,F16,F17,F18,F19,F20,F21
1,13,20,45,48,39,1,45,93,98,73,42,ROGERS,AR,"AR, MO, LA",323,Angler - Low Volume,10,6,,,,,,,
2,13,115,362,400,376,2,374,766,408,303,42,HARRISON,AR,"AR, MO, LA",322,Avid Rec Combo,23,DTS 6,2,,,,,,
3,9,5,17,17,27,3,16,54,22,24,2,COMMERCE,GA,"TN, GA - Atlanta",21,LOW VOLUME/BASIC,6,5,,,,,,,
4,11,117,276,297,174,4,278,348,105,99,42,SILOAM SPRINGS,AR,"AR, MO, LA",323,Avid Rec Combo,23,DTS 6,1 (Store Set Only),,,,,,
5,16,6,39,42,48,5,39,96,22,82,42,CONWAY,AR,"AR, MO, LA",326,Angler - Low Volume,10,5,,,,,,,
7,12,1,18,19,38,7,18,76,18,33,42,SHERWOOD,AR,"AR, MO, LA",326,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk5,,,,,,,
8,4,5,22,24,41,8,22,82,24,85,42,MORRILTON,AR,"AR, MO, LA",326,LOW VOLUME/BASIC,6,5,,,,,,,
9,6,10,23,26,28,9,24,56,45,49,40,SIKESTON,MO,Missouri,335,LOW VOLUME/BASIC,6,6,,,,,,,
10,90,35,363,408,417,10,381,838,296,149,44,TAHLEQUAH,OK,"Oklahoma, N TX",347,Avid Rec Combo,23,No Store Set Use Cur Inventory was DTS 6,2,,,,,,
11,148,70,455,504,414,11,471,828,315,369,42,MOUNTAIN HOME,AR,"AR, MO, LA",328,Avid Rec SOT,18,No Store Set Use Cur Inventory was DTS 5,3,,,,,,
12,8,13,43,46,39,12,43,78,71,84,44,CLAREMORE,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
13,10,11,60,65,54,13,61,110,36,82,42,CARTHAGE,MO,"AR, MO, LA",334,Angler - Low Volume,10,6,,,,,,,
14,30,28,253,281,150,14,263,306,173,175,40,LEBANON,MO,Missouri,357,Avid Angler SOT,19,No Store Set Use Cur Inventory was DTS 7,1,,,,,,
15,163,22,530,569,371,15,532,746,401,334,40,WEST PLAINS,MO,Missouri,333,Avid Angler SOT,19,No Store Set Use Cur Inventory was DTS 7,3,,,,,,
16,9,13,25,27,86,16,25,173,144,41,42,VAN BUREN,AR,"AR, MO, LA",321,Angler - Low Volume,10,6,,,,,,,
17,4,16,34,36,61,17,34,124,64,86,42,NEOSHO,MO,"AR, MO, LA",334,LOW VOLUME/BASIC,6,6,,,,,,,
18,0,0,0,No Kayak Modular would need to Request Modular,0,18,2,0,0,-1,42,NEWPORT,AR,"AR, MO, LA",328,No Modular,0,,,,,,,,
19,112,6,171,185,151,19,173,308,123,146,40,POPLAR BLUFF,MO,Missouri,335,Angler - Mid to High Volume,16,DTS 5,1 (Store Set Only),,,,,,
20,4,34,42,48,133,20,45,266,101,142,40,CLINTON,MO,Missouri,357,Angler - Mid to High Volume,16,7,,,,,,,
21,0,16,91,98,120,21,92,244,147,184,40,SAINT ROBERT,MO,Missouri,336,Angler - Mid to High Volume,16,7,,,,,,,
22,9,13,40,44,46,22,41,96,48,65,44,PRYOR,OK,"Oklahoma, N TX",347,Angler - Low Volume,10,6,,,,,,,
