Primary Key,BU2,Region,Market,Store,Monthly Procedure Review,Monthly Equipment  Completion,Weekly Compliance  Usage,Weekly Operational  Usage
29,EAST,4,29,605,100%,100%,100%,100%
29,EAST,4,29,635,100%,100%,50%,50%
29,EAST,4,29,728,100%,100%,100%,100%
29,EAST,4,29,1011,100%,100%,100%,75%
29,EAST,4,29,1383,0%,100%,100%,100%
29,EAST,4,29,2832,100%,100%,100%,100%
29,EAST,4,29,2860,0%,0%,75%,75%
29 Total,,,29 Total,,71%,86%,89%,86%
36,EAST,4,36,628,100%,100%,75%,75%
36,EAST,4,36,1037,0%,100%,100%,75%
36,EAST,4,36,1146,100%,100%,50%,50%
36,EAST,4,36,1358,100%,100%,100%,100%
36,EAST,4,36,1748,100%,0%,0%,0%
36,EAST,4,36,2928,0%,100%,75%,50%
36,EAST,4,36,3367,100%,100%,100%,100%
36,EAST,4,36,4384,100%,100%,25%,25%
36 Total,,,36 Total,,75%,88%,66%,59%
37,EAST,4,37,586,100%,100%,100%,100%
37,EAST,4,37,643,100%,100%,75%,75%
37,EAST,4,37,1829,100%,100%,100%,100%
37,EAST,4,37,2712,100%,100%,100%,100%
37,EAST,4,37,5087,100%,100%,100%,100%
37 Total,,,37 Total,,100%,100%,95%,95%
38,EAST,4,38,511,100%,100%,75%,75%
38,EAST,4,38,616,100%,100%,100%,100%
38,EAST,4,38,627,100%,100%,100%,100%
38,EAST,4,38,630,100%,100%,100%,75%
38,EAST,4,38,634,100%,100%,100%,100%
38,EAST,4,38,642,100%,100%,100%,100%
38,EAST,4,38,1017,100%,100%,100%,75%
38,EAST,4,38,1030,100%,100%,100%,100%
38,EAST,4,38,1135,100%,100%,100%,100%
38,EAST,4,38,2703,100%,100%,100%,100%
38 Total,,,38 Total,,100%,100%,98%,93%
41,EAST,4,41,881,100%,100%,100%,100%
41,EAST,4,41,1164,100%,100%,100%,100%
41,EAST,4,41,1183,100%,0%,75%,75%
41,EAST,4,41,1286,100%,100%,100%,100%
41,EAST,4,41,1339,100%,100%,50%,50%
41,EAST,4,41,2214,100%,100%,100%,50%
41,EAST,4,41,4420,100%,100%,100%,100%
41,EAST,4,41,4506,100%,100%,100%,100%
41,EAST,4,41,4521,100%,100%,100%,100%
41 Total,,,41 Total,,100%,89%,92%,86%
42,EAST,4,42,585,100%,100%,50%,50%
42,EAST,4,42,638,100%,100%,100%,100%
42,EAST,4,42,1035,100%,100%,100%,100%
42,EAST,4,42,1144,100%,100%,100%,100%
42,EAST,4,42,1281,100%,100%,100%,100%
42,EAST,4,42,2806,100%,100%,100%,100%
42,EAST,4,42,3733,100%,100%,100%,100%
42 Total,,,42 Total,,100%,100%,93%,93%
124,EAST,4,124,599,100%,100%,100%,75%
124,EAST,4,124,620,100%,100%,75%,75%
124,EAST,4,124,690,100%,100%,100%,100%
124,EAST,4,124,742,100%,100%,100%,100%
124,EAST,4,124,1080,100%,100%,100%,100%
124,EAST,4,124,2749,100%,100%,100%,100%
124,EAST,4,124,3289,100%,100%,100%,100%
124,EAST,4,124,3829,100%,100%,100%,100%
124 Total,,,124 Total,,100%,100%,97%,94%
304,EAST,4,304,1039,100%,100%,100%,100%
304,EAST,4,304,1064,100%,100%,100%,100%
304,EAST,4,304,1096,100%,100%,100%,100%
304,EAST,4,304,1662,100%,100%,100%,100%
304,EAST,4,304,4224,100%,100%,75%,75%
304,EAST,4,304,4410,100%,100%,100%,100%
304 Total,,,304 Total,,100%,100%,96%,96%
305,EAST,4,305,1034,100%,100%,100%,100%
305,EAST,4,305,1209,100%,100%,100%,75%
305,EAST,4,305,1464,0%,100%,75%,75%
305,EAST,4,305,4274,0%,100%,100%,100%
305,EAST,4,305,5085,100%,100%,75%,100%
305,EAST,4,305,5298,100%,100%,75%,75%
305,EAST,4,305,5481,100%,100%,100%,100%
305 Total,,,305 Total,,71%,100%,89%,89%
306,EAST,4,306,1027,100%,100%,100%,100%
306,EAST,4,306,1156,100%,100%,100%,100%
306,EAST,4,306,2005,100%,100%,100%,100%
306,EAST,4,306,3371,100%,100%,75%,75%
306 Total,,,306 Total,,100%,100%,94%,94%
,,4 Total,,,92%,96%,90%,88%
154,EAST,16,154,2228,100%,100%,50%,0%
154,EAST,16,154,5278,100%,100%,100%,100%
154 Total,,,154 Total,,100%,100%,75%,50%
156,EAST,16,156,2118,0%,100%,75%,50%
156,EAST,16,156,2155,100%,100%,100%,100%
156,EAST,16,156,3409,100%,100%,50%,50%
156,EAST,16,156,4387,100%,100%,75%,100%
156 Total,,,156 Total,,75%,100%,75%,75%
157,EAST,16,157,1762,100%,100%,100%,75%
157,EAST,16,157,3535,0%,0%,0%,0%
157 Total,,,157 Total,,50%,50%,50%,38%
159,EAST,16,159,2336,100%,100%,100%,100%
159 Total,,,159 Total,,100%,100%,100%,100%
161,EAST,16,161,2283,0%,100%,75%,75%
161 Total,,,161 Total,,0%,100%,75%,75%
179,EAST,16,179,1924,100%,100%,100%,100%
179,EAST,16,179,1932,100%,100%,100%,100%
179,EAST,16,179,2013,100%,100%,100%,100%
179,EAST,16,179,2143,100%,100%,100%,100%
179,EAST,16,179,2178,100%,100%,75%,75%
179,EAST,16,179,5076,100%,100%,100%,100%
179 Total,,,179 Total,,100%,100%,96%,96%
180,EAST,16,180,1866,100%,100%,100%,100%
180,EAST,16,180,1868,100%,100%,100%,100%
180,EAST,16,180,1939,100%,100%,75%,25%
180,EAST,16,180,2183,100%,100%,100%,100%
180,EAST,16,180,2202,100%,100%,100%,100%
180 Total,,,180 Total,,100%,100%,95%,85%
181,EAST,16,181,1975,100%,100%,100%,100%
181,EAST,16,181,2332,100%,100%,100%,100%
181,EAST,16,181,2369,100%,100%,100%,100%
181,EAST,16,181,2758,100%,100%,100%,100%
181,EAST,16,181,4156,100%,0%,50%,50%
181,EAST,16,181,4389,100%,100%,100%,100%
181 Total,,,181 Total,,100%,83%,92%,92%
183,EAST,16,183,1698,100%,100%,100%,100%
183,EAST,16,183,1788,100%,100%,75%,50%
183,EAST,16,183,1954,100%,100%,75%,75%
183,EAST,16,183,2130,100%,100%,75%,75%
183,EAST,16,183,2153,100%,100%,100%,100%
183,EAST,16,183,2330,100%,100%,100%,100%
183 Total,,,183 Total,,100%,100%,88%,83%
184,EAST,16,184,1907,100%,100%,75%,75%
184,EAST,16,184,2142,100%,100%,75%,75%
184 Total,,,184 Total,,100%,100%,75%,75%
,,16 Total,,,91%,94%,86%,81%
162,EAST,17,162,2022,100%,100%,100%,100%
162,EAST,17,162,2170,100%,100%,100%,100%
162,EAST,17,162,2331,100%,100%,100%,100%
162,EAST,17,162,2854,100%,100%,100%,100%
162 Total,,,162 Total,,100%,100%,100%,100%
163,EAST,17,163,2965,100%,100%,100%,100%
163 Total,,,163 Total,,100%,100%,100%,100%
164,EAST,17,164,1959,0%,100%,100%,100%
164,EAST,17,164,2104,100%,100%,100%,100%
164,EAST,17,164,2547,100%,100%,100%,100%
164,EAST,17,164,2637,100%,100%,100%,100%
