Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
2918,51,3/12/2024,3/13/2024,
5316,479,3/26/2024,3/27/2024,
880,50,4/9/2024,4/10/2024,
488,97,4/24/2024,4/25/2024,
5172,97,4/25/2024,4/26/2024,
1082,98,4/26/2024,4/27/2024,
4681,112,4/27/2024,4/28/2024,
3014,49,4/29/2024,4/30/2024,
471,49,4/30/2024,5/1/2024,
8861,545,5/1/2024,5/1/2024,
1801,44,5/1/2024,5/2/2024,
3284,44,5/2/2024,5/3/2024,
5080,50,5/3/2024,5/4/2024,
54,322,5/6/2024,5/7/2024,
7601,554,5/15/2024,5/15/2024,5/17/2024
2917,171,5/23/2024,5/24/2024,5/22/2024
371,48,6/3/2024,6/4/2024,5/30/2024
2978,44,6/4/2024,6/5/2024,5/29/2024
3044,50,6/5/2024,6/6/2024,5/29/2024
4165,479,6/6/2024,6/7/2024,5/31/2024
807,50,6/7/2024,6/8/2024,5/29/2024
2980,479,6/8/2024,6/9/2024,5/30/2024
5288,49,6/10/2024,6/10/2024,6/4/2024
2667,55,6/11/2024,6/11/2024,6/4/2024
5823,583,6/12/2024,6/12/2024,6/6/2024
8930,583,6/13/2024,6/13/2024,6/6/2024
217,53,6/14/2024,6/14/2024,6/6/2024
2996,53,6/14/2024,6/14/2024,6/5/2024
7178,56,6/17/2024,6/18/2024,6/10/2024
918,46,6/17/2024,6/18/2024,6/12/2024
1150,85,6/18/2024,6/19/2024,6/12/2024
2105,53,6/18/2024,6/19/2024,6/12/2024
4164,55,6/19/2024,6/20/2024,6/10/2024
3591,68,6/22/2024,6/23/2024,6/10/2024
4046,561,6/22/2024,6/23/2024,6/10/2024
939,76,6/22/2024,6/23/2024,6/12/2024
1185,83,6/23/2024,6/24/2024,6/18/2024
5021,561,6/23/2024,6/24/2024,6/13/2024
5287,68,6/23/2024,6/24/2024,6/12/2024
3015,561,6/24/2024,6/25/2024,6/14/2024
3279,77,6/24/2024,6/25/2024,6/21/2024
404,87,6/24/2024,6/25/2024,6/21/2024
1279,59,6/25/2024,6/26/2024,6/18/2024
236,503,6/25/2024,6/26/2024,6/14/2024
4102,86,6/25/2024,6/26/2024,6/20/2024
140,503,6/26/2024,6/27/2024,6/12/2024
2257,67,6/26/2024,6/27/2024,6/21/2024
3106,86,6/26/2024,6/27/2024,6/21/2024
275,503,6/27/2024,6/28/2024,6/13/2024
3297,67,6/27/2024,6/28/2024,6/13/2024
4526,63,6/27/2024,6/28/2024,6/20/2024
330,84,6/29/2024,6/30/2024,6/21/2024
3302,64,6/29/2024,6/30/2024,6/18/2024
504,61,6/29/2024,6/30/2024,6/28/2024
1098,84,6/30/2024,7/1/2024,6/24/2024
3425,63,6/30/2024,7/1/2024,6/24/2024
3542,562,6/30/2024,7/1/2024,6/24/2024
2066,64,7/1/2024,7/2/2024,6/18/2024
2724,63,7/1/2024,7/2/2024,6/18/2024
5246,65,7/1/2024,7/2/2024,6/21/2024
2718,64,7/2/2024,7/3/2024,6/24/2024
3640,65,7/2/2024,7/3/2024,6/24/2024
437,84,7/2/2024,7/3/2024,6/24/2024
1119,105,7/7/2024,7/8/2024,7/1/2024
2946,109,7/7/2024,7/8/2024,6/28/2024
4617,103,7/8/2024,7/9/2024,7/1/2024
759,116,7/8/2024,7/9/2024,7/5/2024
331,66,7/10/2024,7/11/2024,7/9/2024
4380,488,7/10/2024,7/11/2024,7/1/2024
547,114,7/10/2024,7/11/2024,7/1/2024
3011,488,7/11/2024,7/12/2024,7/1/2024
469,66,7/11/2024,7/12/2024,7/1/2024
6968,102,7/11/2024,7/12/2024,7/1/2024
1541,107,7/12/2024,7/13/2024,7/1/2024
4690,111,7/12/2024,7/13/2024,7/8/2024
521,66,7/12/2024,7/13/2024,7/9/2024
1702,92,7/15/2024,7/16/2024,7/8/2024
1960,112,7/15/2024,7/16/2024,7/8/2024
1974,179,7/15/2024,7/16/2024,7/11/2024
402,132,7/15/2024,7/16/2024,7/9/2024
6894,96,7/15/2024,7/16/2024,7/8/2024
7247,14,7/15/2024,7/16/2024,7/9/2024
989,128,7/15/2024,7/16/2024,7/8/2024
2695,89,7/16/2024,7/17/2024,7/8/2024
3817,559,7/16/2024,7/17/2024,7/8/2024
5221,548,7/16/2024,7/17/2024,7/8/2024
5740,545,7/16/2024,7/17/2024,7/9/2024
2627,112,7/17/2024,7/18/2024,7/8/2024
3491,184,7/17/2024,7/18/2024,7/8/2024
4365,90,7/17/2024,7/18/2024,7/8/2024
4679,131,7/17/2024,7/18/2024,7/9/2024
5022,125,7/17/2024,7/18/2024,7/8/2024
5744,545,7/17/2024,7/18/2024,7/9/2024
705,89,7/17/2024,7/18/2024,7/8/2024
1346,143,7/18/2024,7/19/2024,7/8/2024
1967,154,7/18/2024,7/19/2024,7/8/2024
3167,125,7/18/2024,7/19/2024,7/8/2024
3197,112,7/18/2024,7/19/2024,7/8/2024
3207,94,7/18/2024,7/19/2024,7/8/2024
3727,541,7/18/2024,7/19/2024,7/8/2024
4588,91,7/18/2024,7/19/2024,7/8/2024
1619,192,7/19/2024,7/20/2024,5/8/2024
4211,96,7/19/2024,7/20/2024,7/8/2024
539,134,7/19/2024,7/20/2024,7/8/2024
6166,543,7/19/2024,7/20/2024,7/9/2024
857,94,7/19/2024,7/20/2024,7/8/2024
970,143,7/19/2024,7/20/2024,7/8/2024
994,104,7/19/2024,7/20/2024,7/8/2024
1072,27,7/22/2024,7/23/2024,7/15/2024
1207,15,7/22/2024,7/23/2024,7/15/2024
1656,228,7/22/2024,7/23/2024,5/9/2024
170,134,7/22/2024,7/23/2024,7/15/2024
2052,457,7/22/2024,7/23/2024,7/15/2024
2053,457,7/22/2024,7/23/2024,7/15/2024
3309,98,7/22/2024,7/23/2024,7/15/2024
87,127,7/22/2024,7/23/2024,7/15/2024
149,135,7/23/2024,7/24/2024,7/16/2024
2044,457,7/23/2024,7/24/2024,7/15/2024
2197,208,7/23/2024,7/24/2024,7/15/2024
2553,457,7/23/2024,7/24/2024,7/15/2024
2615,27,7/23/2024,7/24/2024,7/15/2024
2801,546,7/23/2024,7/24/2024,7/15/2024
3075,15,7/23/2024,7/24/2024,7/15/2024
3752,542,7/23/2024,7/24/2024,7/16/2024
875,140,7/23/2024,7/24/2024,7/15/2024
1408,97,7/24/2024,7/25/2024,7/15/2024
2362,209,7/24/2024,7/25/2024,7/15/2024
2925,452,7/24/2024,7/25/2024,7/15/2024
3060,140,7/24/2024,7/25/2024,7/15/2024
307,135,7/24/2024,7/25/2024,7/16/2024
376,127,7/24/2024,7/25/2024,7/16/2024
4393,453,7/24/2024,7/25/2024,7/15/2024
588,27,7/24/2024,7/25/2024,7/15/2024
899,27,7/24/2024,7/25/2024,7/15/2024
1338,16,7/25/2024,7/26/2024,7/15/2024
2048,453,7/25/2024,7/26/2024,7/15/2024
3868,127,7/25/2024,7/26/2024,7/15/2024
4427,97,7/25/2024,7/26/2024,7/15/2024
4527,546,7/25/2024,7/26/2024,7/16/2024
5007,552,7/25/2024,7/26/2024,7/15/2024
5410,215,7/25/2024,7/26/2024,7/15/2024
874,141,7/25/2024,7/26/2024,7/15/2024
1110,135,7/26/2024,7/27/2024,7/16/2024
3455,452,7/26/2024,7/27/2024,7/15/2024
347,136,7/26/2024,7/27/2024,7/15/2024
3708,453,7/26/2024,7/27/2024,7/15/2024
593,28,7/26/2024,7/27/2024,7/15/2024
614,16,7/26/2024,7/27/2024,7/15/2024
6932,127,7/26/2024,7/27/2024,7/15/2024
952,27,7/26/2024,7/27/2024,7/16/2024
1018,28,7/27/2024,7/28/2024,7/22/2024
1193,135,7/27/2024,7/28/2024,7/22/2024
182,136,7/27/2024,7/28/2024,7/22/2024
1972,511,7/27/2024,7/28/2024,7/22/2024
2161,511,7/27/2024,7/28/2024,7/17/2024
716,136,7/27/2024,7/28/2024,7/22/2024
840,546,7/27/2024,7/28/2024,7/22/2024
1143,30,7/29/2024,7/30/2024,7/23/2024
118,4,7/29/2024,7/30/2024,7/22/2024
1359,36,7/29/2024,7/30/2024,7/22/2024
1645,581,7/29/2024,7/30/2024,7/22/2024
1771,202,7/29/2024,7/30/2024,7/25/2024
2280,451,7/29/2024,7/30/2024,7/24/2024
3046,512,7/29/2024,7/30/2024,7/22/2024
4459,301,7/29/2024,7/30/2024,7/23/2024
4533,145,7/29/2024,7/30/2024,7/22/2024
5348,8,7/29/2024,7/30/2024,7/22/2024
684,147,7/29/2024,7/30/2024,7/23/2024
104,146,7/30/2024,7/31/2024,7/23/2024
1238,310,7/30/2024,7/31/2024,7/22/2024
1658,30,7/30/2024,7/31/2024,7/22/2024
