Store,Cutover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2021
3456,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3619,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3622,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3635,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3638,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3959,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4157,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4188,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4443,2/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4445,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4528,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4589,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4591,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4607,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4848,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5013,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5014,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5059,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5119,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5143,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5148,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5188,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5267,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5279,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5291,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5297,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367,2/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5371,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5378,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5383,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5427,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5452,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5467,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5645,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5646,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5695,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5697,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5716,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5734,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5754,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5755,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5767,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5813,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5815,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5908,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6172,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6174,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6176,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6233,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6263,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6390,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6585,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6586,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6798,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6814,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6828,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6936,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7062,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7098,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7137,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7146,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7162,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7174,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7177,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7180,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7205,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7209,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7217,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7222,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7235,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7296,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304,2/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7315,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7329,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7334,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7337,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7339,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7340,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7342,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
