BU,REG,MKT,Store,DATE,,TYPE,CITY,STATE,CREW,DIV,DEPT,Cost
M,44,347,10,3/22/2022,,SC,TAHLEQUAH,OK,US-W35,1 6 10 11 15 24 26 27 28 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,42,321,16,3/15/2022,,SC,VAN BUREN,AR,US-W32,1 6 10 11 15 24 26 27 28 30 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,42,325,33,3/09/2022,,SC,NASHVILLE,AR,US-W32,1 6 10 11 15 24 26 27 28 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
M,44,347,50,3/10/2022,,SC,VINITA,OK,US-W35,1 10 11 15 24 26 27 28 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
M,5,83,77,3/17/2022,,SC,TAYLOR,TX,US-W40,1 6 10 11 15 21 24 26 27 28 30 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,42,324,85,3/22/2022,,SC,BENTON,AR,US-W32,1 6 10 11 15 24 26 27 28 30 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
M,44,347,90,3/09/2022,,SC,GROVE,OK,US-W35,1 6 10 11 15 24 26 27 28 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,12,137,105,3/08/2022,,SC,CORINTH,MS,US-W17,1 6 10 11 15 24 26 27 28 30 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,12,137,114,3/23/2022,,SC,BOONEVILLE,MS,US-W17,1 10 11 15 24 26 27 28 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
A,42,324,126,3/24/2022,,SC,LITTLE ROCK,AR,US-W32,1 10 11 15 24 26 27 28 30 31 45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 67 71 72 73 74 77 78 79 81 82 87 90 91 92 95 96 97,38
