Store,Dept,Inventory Dollars,Format
1,80,20679.45,WM Supercenter
2,80,16838.75,WM Supercenter
3,80,15877.05,WM Supercenter
4,80,15042.52,WM Supercenter
5,80,14713.14,WM Supercenter
7,80,15481.52,WM Supercenter
8,80,5007.3,WM Supercenter
9,80,20469.03,WM Supercenter
10,80,22547.82,WM Supercenter
11,80,16450.44,WM Supercenter
12,80,22346.9,WM Supercenter
13,80,14708.69,WM Supercenter
14,80,17261.12,WM Supercenter
15,80,14939.06,WM Supercenter
16,80,13382.92,WM Supercenter
17,80,28618.62,WM Supercenter
18,80,11216.28,WM Supercenter
19,80,20085.79,WM Supercenter
20,80,11506.63,WM Supercenter
21,80,16938.71,WM Supercenter
22,80,15369.35,WM Supercenter
23,80,23843.59,WM Supercenter
24,80,15817.69,WM Supercenter
25,80,14463.14,WM Supercenter
26,80,12351.28,WM Supercenter
27,80,12739.18,WM Supercenter
28,80,19180.09,WM Supercenter
29,80,30228.79,WM Supercenter
30,80,15929.52,WM Supercenter
31,80,13172.36,WM Supercenter
33,80,10763.89,WM Supercenter
34,80,13441.21,WM Supercenter
35,80,17628.55,WM Supercenter
36,80,19887.26,WM Supercenter
37,80,18931.93,WM Supercenter
38,80,11809.25,WM Supercenter
39,80,17020.1,WM Supercenter
40,80,13924.2,WM Supercenter
41,80,25456.4,WM Supercenter
42,80,15452.05,WM Supercenter
43,80,13315.92,WM Supercenter
45,80,13290.75,WM Supercenter
46,80,14754.44,WM Supercenter
47,80,12310.71,WM Supercenter
48,80,13991.81,WM Supercenter
49,80,8553.48,WM Supercenter
50,80,11315.35,WM Supercenter
51,80,6166.44,WM Supercenter
52,80,15833.21,WM Supercenter
54,80,13649.01,WM Supercenter
55,80,8670.06,WM Supercenter
56,80,10930.87,WM Supercenter
58,80,16508.64,WM Supercenter
59,80,23918.28,WM Supercenter
60,80,13897.45,WM Supercenter
61,80,17739.46,WM Supercenter
62,80,12379.96,WM Supercenter
63,80,8217.83,WM Supercenter
64,80,7635.7,WM Supercenter
65,80,20634.93,WM Supercenter
66,80,14431.58,WM Supercenter
67,80,12060.59,WM Supercenter
68,80,10276.78,WM Supercenter
69,80,24905.31,WM Supercenter
70,80,15691.08,WM Supercenter
71,80,11576.63,WM Supercenter
72,80,21076.88,WM Supercenter
73,80,15758.94,WM Supercenter
74,80,2835.73,WM Supercenter
75,80,14872.39,WM Supercenter
76,80,12650.48,WM Supercenter
77,80,16086.6,WM Supercenter
78,80,12455.34,WM Supercenter
79,80,22813.33,WM Supercenter
80,80,13011.5,WM Supercenter
81,80,10916.87,WM Supercenter
82,80,11041.73,WM Supercenter
83,80,9330.29,WM Supercenter
85,80,24462.42,WM Supercenter
86,80,14434.53,WM Supercenter
87,80,18786.56,WM Supercenter
88,80,18150.22,WM Supercenter
89,80,14627.69,WM Supercenter
90,80,11525.18,WM Supercenter
91,80,15432.46,WM Supercenter
92,80,18709.61,WM Supercenter
93,80,22834.84,WM Supercenter
94,80,24864.31,WM Supercenter
95,80,16409.25,WM Supercenter
96,80,15451.08,WM Supercenter
97,80,498.75,WM Supercenter
98,80,10443.54,WM Supercenter
99,80,10177.14,WM Supercenter
100,80,20320.93,WM Supercenter
101,80,17093.66,WM Supercenter
102,80,7605.94,WM Supercenter
103,80,19722.41,WM Supercenter
104,80,16685.8,WM Supercenter
105,80,10076.78,WM Supercenter
106,80,9666.48,WM Supercenter
107,80,12357.29,WM Supercenter
108,80,15367.47,WM Supercenter
