store_number,
1,Your store will receive the new Hyper Tough tote mod.
3,Your store will receive the new Hyper Tough tote mod.
4,Your store will receive the new Hyper Tough tote mod.
9,Your store will receive the new Hyper Tough tote mod.
10,Your store will receive the new Hyper Tough tote mod.
11,Your store will receive the new Hyper Tough tote mod.
12,Your store will receive the new Hyper Tough tote mod.
14,Your store will receive the new Hyper Tough tote mod.
16,Your store will receive the new Hyper Tough tote mod.
17,Your store will receive the new Hyper Tough tote mod.
19,Your store will receive the new Hyper Tough tote mod.
22,Your store will receive the new Hyper Tough tote mod.
25,Your store will receive the new Hyper Tough tote mod.
28,Your store will receive the new Hyper Tough tote mod.
34,Your store will receive the new Hyper Tough tote mod.
35,Your store will receive the new Hyper Tough tote mod.
36,Your store will receive the new Hyper Tough tote mod.
40,Your store will receive the new Hyper Tough tote mod.
41,Your store will receive the new Hyper Tough tote mod.
42,Your store will receive the new Hyper Tough tote mod.
43,Your store will receive the new Hyper Tough tote mod.
52,Your store will receive the new Hyper Tough tote mod.
58,Your store will receive the new Hyper Tough tote mod.
61,Your store will receive the new Hyper Tough tote mod.
69,Your store will receive the new Hyper Tough tote mod.
70,Your store will receive the new Hyper Tough tote mod.
75,Your store will receive the new Hyper Tough tote mod.
77,Your store will receive the new Hyper Tough tote mod.
78,Your store will receive the new Hyper Tough tote mod.
79,Your store will receive the new Hyper Tough tote mod.
86,Your store will receive the new Hyper Tough tote mod.
87,Your store will receive the new Hyper Tough tote mod.
90,Your store will receive the new Hyper Tough tote mod.
93,Your store will receive the new Hyper Tough tote mod.
96,Your store will receive the new Hyper Tough tote mod.
98,Your store will receive the new Hyper Tough tote mod.
101,Your store will receive the new Hyper Tough tote mod.
103,Your store will receive the new Hyper Tough tote mod.
107,Your store will receive the new Hyper Tough tote mod.
113,Your store will receive the new Hyper Tough tote mod.
119,Your store will receive the new Hyper Tough tote mod.
120,Your store will receive the new Hyper Tough tote mod.
125,Your store will receive the new Hyper Tough tote mod.
127,Your store will receive the new Hyper Tough tote mod.
129,Your store will receive the new Hyper Tough tote mod.
