Store,UPC,Item Number,Item Description,SumOfOn Hand,DIVISION NAME
13,0071545942424,568241723,205/70R15 KINERGY ST,2,A
13,0071545942425,568241677,205/75R15 KINERGY ST,2,A
13,0071545942427,568241692,225/70R15 KINERGY ST,2,A
13,0084898300562,555593695,205/55R16 SINCERA SN,1,A
13,0084898300613,556256774,245/65R17XL WILDPEAK,1,A
13,0084898300631,556256777,P285/70R17 WILDPEAK,2,A
13,0084898300640,556256688,LT235/80R17/10 WILDP,6,A
13,0084898300763,661747689,285/75R16 RUBITREK A,6,A
13,0084898301884,596825481,205/70R16 ZIEX CT60,1,A
13,0498191073822,551576498,265/65R18 NT421Q,4,A
13,0498191073825,551576496,265/50R20XL NT421Q,2,A
13,0880895614303,556607680,235/50R18XL SOLUS TA,1,A
13,0880895625451,578596123,235/45R19 CRUGEN HP7,3,A
13,0880895635393,662040409,205/55R16 SOLUS TA51,1,A
14,0005134201179,596812910,235/40ZR19XL EXTREME,2,E
14,0005134205156,658219140,225/55R19 ALTIMAX RT,1,E
14,0005134205164,658219032,225/65R17 ALTIMAX RT,1,E
14,0005134205172,658219028,235/55R18 ALTIMAX RT,2,E
14,0005134205181,658219036,245/50R20XL ALTIMAX,4,E
14,0005134217469,556371869,255/70R16 GRABBER HT,1,E
14,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,E
14,0005134220639,578596407,255/55R20 CROSSCONTA,2,E
14,0008669918728,650467722,LAREDO CRS CTRY TOUR,3,E
14,0008669941360,650468418,TIGER PAW TOURING AS,4,E
14,0019156300937,596855301,235/65R18 N5000 PLAT,4,E
14,0019156300960,596855364,205/55R16 N5000 PLAT,2,E
14,0019156300966,596855308,235/55R18 N5000 PLAT,2,E
14,0019156300969,596855371,245/45R18 N5000 PLAT,3,E
14,0019156300972,596855303,235/50R18 N5000 PLAT,2,E
14,0019156300987,596855342,235/55R19 N5000 PLAT,7,E
14,0019156300997,596855350,195/50R16 N5000 PLAT,1,E
14,0019156301005,596855274,245/50R20 N5000 PLAT,2,E
14,0071545934237,553091560,225/55R16/XL H457,2,E
14,0071545935190,551565372,235/65R18 DYNAPRO HP,2,E
14,0071545935203,551565345,255/50R20XL DYNAPRO,2,E
14,0071545935232,551565344,P255/55R20 DYNAPRO H,2,E
14,0071545938044,568241719,225/50R17 KINERGY GT,3,E
14,0071545941622,568241650,205/55R16 KINERGY PT,1,E
14,0071545941625,568241669,225/60R17 KINERGY PT,1,E
1,0005134205130,658219121,205/55R16 ALTIMAX RT,1,A
1,0005134219681,578596148,215/55R17 PROCONTACT,1,A
1,0071545934234,553090857,225/45R17/XL H457,2,A
1,0071545934867,563454076,215/55R17 KINERGY GT,2,A
1,0071545936898,563454457,215/55R17 KINERGY GT,1,A
1,0084898300613,556256774,245/65R17XL WILDPEAK,1,A
1,0880895625456,578596380,245/45R19XL ECSTA PA,1,A
2,0005134212184,1091177,P205/65R15XL PRO CON,1,A
2,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
2,0005134217456,556384868,255/65R17 GRABBER HT,4,A
2,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,A
2,0008669934687,650473675,LT245/75R16/10 AGILI,1,A
2,0019156300949,596855359,215/55R16 N5000 PLAT,2,A
2,0019156300960,596855364,205/55R16 N5000 PLAT,1,A
2,0071545931008,550699013,LT235/85R16/10 DYNAP,2,A
