store,Date,reg,0.01,0.05,0.1,0.25
471,5/4/2024,20,audit,,,
471,5/4/2024,22,audit,,,
471,5/4/2024,24,audit,,,
471,5/4/2024,28,audit,,,
471,5/4/2024,61,audit,,,
471,5/4/2024,68,audit,,,
471,5/4/2024,92,audit,,,
471,5/4/2024,95,audit,,,
488,5/4/2024,9,audit,,,
488,5/4/2024,77,audit,,,
880,5/4/2024,10,3,0,2,2
880,5/4/2024,11,2,0,0,2
880,5/4/2024,12,audit,,,
880,5/4/2024,13,2,0,0,2
880,5/4/2024,14,audit,,,
880,5/4/2024,15,3,0,2,2
880,5/4/2024,16,2,0,2,2
880,5/4/2024,17,3,2,2,2
880,5/4/2024,40,0,0,0,1
880,5/4/2024,41,0,0,0,2
880,5/4/2024,58,0,0,0,0
880,5/4/2024,62,2,2,2,2
880,5/4/2024,63,0,1,2,2
880,5/4/2024,64,audit,,,
880,5/4/2024,67,0,0,1,2
880,5/4/2024,68,audit,,,
880,5/4/2024,79,2,0,0,2
880,5/4/2024,90,audit,,,
880,5/4/2024,95,0,0,0,2
880,5/4/2024,98,2,1,1,2
1082,5/4/2024,22,audit,,,
1082,5/4/2024,93,audit,,,
1801,5/4/2024,26,audit,,,
1801,5/4/2024,67,audit,,,
2918,5/4/2024,15,2,1,0,2
2918,5/4/2024,17,2,1,0,2
2918,5/4/2024,19,2,0,0,0
2918,5/4/2024,21,audit,,,
2918,5/4/2024,41,0,0,0,1
2918,5/4/2024,54,0,1,0,0
2918,5/4/2024,67,1,0,1,1
2918,5/4/2024,70,1,0,0,0
2918,5/4/2024,91,1,1,1,1
2918,5/4/2024,93,audit,,,
3014,5/4/2024,20,audit,,,
3014,5/4/2024,21,audit,,,
3014,5/4/2024,58,audit,,,
3014,5/4/2024,69,audit,,,
4681,5/4/2024,17,audit,,,
4681,5/4/2024,94,audit,,,
5172,5/4/2024,5,audit,,,
5172,5/4/2024,6,audit,,,
5316,5/4/2024,1,0,1,1,1
5316,5/4/2024,2,0,1,1,0
5316,5/4/2024,3,0,0,1,1
5316,5/4/2024,4,2,0,0,1
5316,5/4/2024,5,2,1,0,1
5316,5/4/2024,7,audit,,,
5316,5/4/2024,8,audit,,,
5316,5/4/2024,9,0,1,1,1
5316,5/4/2024,10,0,1,0,0
5316,5/4/2024,11,2,0,1,1
5316,5/4/2024,12,1,1,1,1
5316,5/4/2024,68,1,1,0,1
5316,5/4/2024,72,0,1,0,0
5316,5/4/2024,78,audit,,,
5316,5/4/2024,90,1,0,0,1
5316,5/4/2024,92,2,1,0,1
5316,5/4/2024,93,2,1,1,1
5316,5/4/2024,95,0,0,1,1
