State,Store ID,CBSA,Type,Address,Zip Code,City
AR,54,"Fayetteville-Springdale-Rogers, AR-MO",SUP,2004 S Pleasant St,72764-6204,Springdale
AR,100,"Fayetteville-Springdale-Rogers, AR-MO",SUP,406 S Walton Blvd,72712-5705,Bentonville
AR,144,"Fayetteville-Springdale-Rogers, AR-MO",SUP,2875 W Martin Luther King Blvd,72704-7625,Fayetteville
MO,184,"Kansas City, MO-KS",SUP,600 Ne Coronado Dr,64014-3084,Blue Springs
TX,194,"Houston-The Woodlands-Sugar Land, TX",SUP,4900 Garth Rd,77521-2257,Baytown
IL,201,"St. Louis, MO-IL",SUP,2608 Green Mount Commons Dr,62221-6742,BELLEVILLE
TX,202,"Dallas-Fort Worth-Arlington, TX",SUP,16066 State Highway 121,75035-0000,Frisco
TX,206,"Dallas-Fort Worth-Arlington, TX",SUP,2041 N Redbud Blvd,75069-8214,Mckinney
OK,212,"Oklahoma City, OK",SUP,333 N Interstate Dr,73069-6326,Norman
TX,217,"Dallas-Fort Worth-Arlington, TX",SUP,801 W Main St,75067-3556,Lewisville
MO,234,"Kansas City, MO-KS",SUP,8301 N Church Rd,64158-1106,Kansas City
IL,256,"St. Louis, MO-IL",SUP,400 Junction Dr,62034-4323,Glen Carbon
TX,266,"Dallas-Fort Worth-Arlington, TX",SUP,1601 W State Highway 114,76051-8651,Grapevine
TN,272,"Nashville-Davidson--Murfreesboro--Franklin, TN",SUP,3600 Mallory Ln,37067-2900,Franklin
OK,277,"Oklahoma City, OK",SUP,501 Sw 19th St,73160-5427,Moore
TX,297,"Houston-The Woodlands-Sugar Land, TX",SUP,23561 Us Hwy 59,77365-4991,Porter
MO,319,"Kansas City, MO-KS",SUP,2015 W Foxwood Dr,64083-9380,Raymore
TX,351,"Houston-The Woodlands-Sugar Land, TX",SUP,25800 Kuykendahl Rd,77375-0000,Tomball
AR,359,"Fayetteville-Springdale-Rogers, AR-MO",SUP,3919 No Mall Ave,72703-4906,Fayetteville
IL,361,"St. Louis, MO-IL",SUP,1040 Collinsville Crossing Blvd,62234-1882,Collinsville
OK,389,"Oklahoma City, OK",SUP,1225 W I35 Frontage,73034-7394,Edmond
TN,406,"Nashville-Davidson--Murfreesboro--Franklin, TN",SUP,570 Enon Springs Rd E,37167-4409,Smyrna
TX,426,"Dallas-Fort Worth-Arlington, TX",SUP,4691 State Highway 121,75056-4010,Colony
TX,467,"Dallas-Fort Worth-Arlington, TX",SUP,1515 S Loop 288,76205-4729,Denton
TX,471,"Dallas-Fort Worth-Arlington, TX",SUP,150 N Interstate 35 E,75146-1844,Lancaster
OK,472,"Tulsa, OK",SUP,2301 W Kenosha St,74012-8912,Broken Arrow
TX,475,"Austin-Round Rock, TX",SUP,2701 S Interstate 35,78664-7320,Round Rock
TX,500,"El Paso, TX",SUP,4530 Woodrow Bean,79924-4408,El Paso
TX,512,"El Paso, TX",SUP,10727 Gateway Blvd W,79935-4906,El Paso
KY,526,"Louisville-Jefferson County, KY-IN",SUP,3706 Diann Marie Rd,40241-3818,Louisville
