Store Number,Patio Set Week,Parking Lot Set
1,4,4
2,2,2
3,6,6
4,4,4
5,1,1
7,1,1
8,1,1
9,4,4
10,4,4
11,2,2
12,4,4
13,5,5
14,4,4
15,4,4
16,2,2
17,5,5
18,2,2
19,4,4
20,5,5
21,4,4
22,4,4
23,1,No Set
24,52,52
25,4,4
26,5,5
27,4,4
28,4,4
29,4,4
30,4,4
31,3,3
32,3,No Set
33,1,1
34,5,5
35,5,5
36,2,2
37,4,4
38,3,3
39,5,5
40,4,4
41,4,4
42,3,3
43,5,5
44,3,3
45,1,1
46,4,4
47,3,3
48,5,5
49,3,3
50,4,4
51,3,3
52,4,4
54,4,4
55,4,4
56,4,4
57,1,1
58,4,4
59,5,5
60,4,4
61,5,5
62,1,1
63,2,No Set
64,2,2
65,4,4
66,4,4
67,4,4
68,2,2
69,4,4
70,2,2
71,2,2
72,5,5
73,4,4
74,1,No Set
75,1,No Set
76,4,4
77,4,4
78,4,4
79,5,5
80,2,No Set
81,2,No Set
82,4,4
83,1,1
85,1,1
86,4,4
87,1,No Set
88,4,4
89,4,4
90,4,4
91,2,2
92,4,4
93,2,No Set
94,2,2
95,4,4
96,5,5
97,2,No Set
98,1,No Set
99,4,4
100,4,4
101,4,4
102,52,52
103,3,3
104,2,2
105,1,1
106,2,No Set
107,2,2
108,4,4
109,4,4
110,49,No Set
111,5,5
112,52,52
113,3,3
114,1,1
115,52,52
116,52,No Set
117,1,No Set
118,1,1
119,2,2
120,2,No Set
121,4,4
122,4,4
123,3,3
124,52,No Set
125,4,4
126,52,No Set
127,1,1
128,2,2
129,3,3
130,3,3
131,52,52
132,2,No Set
133,52,52
134,4,4
135,4,4
136,2,No Set
137,4,4
138,4,4
139,3,3
140,2,2
141,4,4
143,2,2
144,4,4
145,4,4
146,52,52
147,52,52
148,1,1
149,52,No Set
150,4,4
151,3,3
152,4,4
153,1,1
154,8,8
155,1,1
157,2,2
158,52,52
159,4,4
160,2,2
161,2,2
162,1,No Set
163,2,2
164,1,1
165,1,1
166,4,4
167,52,52
168,4,4
169,52,52
170,1,1
171,1,1
172,4,4
173,4,4
174,49,49
175,2,No Set
176,52,No Set
177,2,2
178,2,No Set
179,4,4
180,52,52
181,1,1
182,52,52
183,52,52
184,5,5
185,4,4
186,5,5
188,4,4
189,6,6
190,4,4
192,2,2
194,52,52
195,4,4
196,6,6
197,7,7
198,7,7
199,7,7
200,7,7
201,4,4
202,1,No Set
203,2,No Set
204,2,2
205,52,52
206,1,1
207,2,No Set
209,4,No Set
210,3,3
211,1,1
212,3,3
213,7,7
214,1,1
216,7,7
217,1,No Set
218,2,2
219,4,4
220,52,52
221,3,3
222,7,7
224,7,7
225,1,No Set
226,1,1
227,3,3
228,52,52
229,1,1
230,4,No Set
231,3,3
232,3,3
233,7,7
234,4,4
236,52,52
237,7,7
238,2,2
239,1,1
240,1,No Set
242,5,5
243,4,4
244,52,No Set
246,2,No Set
247,2,2
248,2,2
249,2,2
250,4,4
251,2,2
252,6,6
253,7,7
254,7,7
256,4,4
257,4,No Set
258,1,1
259,52,52
260,4,4
261,4,4
262,7,7
264,2,No Set
265,4,4
266,4,4
267,5,5
268,2,2
269,3,3
271,52,52
272,2,No Set
273,52,No Set
274,52,52
275,1,1
276,3,3
277,3,3
278,52,No Set
279,1,1
280,1,1
281,2,2
282,2,2
283,52,52
284,1,1
285,1,1
286,52,52
287,1,No Set
288,1,1
289,52,52
290,1,1
292,1,No Set
293,2,2
294,4,4
295,4,4
296,4,4
297,2,2
298,1,1
299,2,2
300,1,1
301,1,No Set
302,7,7
303,52,No Set
304,2,No Set
305,52,No Set
306,1,1
307,1,No Set
308,2,2
309,51,No Set
310,51,No Set
311,51,No Set
312,52,No Set
313,4,4
314,2,2
315,1,No Set
316,1,1
317,7,7
318,2,2
319,5,5
320,52,52
321,52,52
322,52,52
323,52,No Set
324,4,4
325,4,4
326,2,No Set
328,4,4
329,1,1
330,52,52
331,51,No Set
332,52,No Set
333,5,No Set
334,7,7
335,2,2
336,1,1
337,4,4
338,3,3
339,52,52
340,3,3
341,5,5
342,5,5
343,7,7
344,52,52
345,4,4
346,3,3
347,52,No Set
348,1,1
350,11,11
351,52,52
352,5,No Set
353,1,1
354,4,4
355,1,1
356,1,1
357,4,4
358,2,No Set
359,4,4
360,4,4
361,4,4
362,52,No Set
363,4,4
364,52,52
365,1,1
366,2,2
368,5,5
369,5,5
370,3,3
371,52,52
372,5,5
373,2,2
374,4,4
375,52,No Set
376,1,No Set
377,No Set,No Set
378,5,5
379,4,4
381,52,52
382,5,5
383,4,4
384,1,1
385,52,No Set
386,51,No Set
387,1,No Set
388,2,No Set
389,1,No Set
390,2,2
391,1,1
392,4,4
393,2,2
394,1,1
395,52,52
396,6,6
397,52,52
398,1,1
399,2,No Set
400,52,52
401,51,No Set
402,51,No Set
403,1,1
404,1,No Set
405,52,No Set
406,2,No Set
407,1,1
408,2,2
409,1,No Set
410,2,2
411,52,52
412,1,1
413,52,No Set
414,3,No Set
415,51,No Set
416,2,2
417,4,4
418,11,11
419,3,3
420,5,5
421,52,52
422,7,7
423,52,No Set
424,1,1
425,52,52
426,2,No Set
427,1,1
428,52,No Set
429,52,No Set
430,2,2
431,2,2
432,52,52
433,52,No Set
434,1,1
435,7,7
436,7,7
437,4,4
438,3,No Set
440,2,2
442,52,52
443,1,1
444,4,4
445,2,2
446,52,52
447,52,52
448,52,No Set
449,52,52
450,52,No Set
451,4,4
452,52,No Set
453,3,3
454,7,7
456,52,No Set
457,1,1
458,52,52
459,6,6
461,52,52
462,2,2
463,52,No Set
464,2,2
465,52,52
466,2,2
467,52,52
468,1,1
469,51,No Set
470,52,No Set
471,4,4
472,4,4
473,52,52
475,52,No Set
476,1,1
477,2,2
478,52,No Set
479,3,3
480,7,7
481,7,7
482,1,1
483,52,52
484,5,5
485,51,No Set
486,5,5
488,51,No Set
489,50,No Set
490,52,52
491,2,2
492,3,3
493,6,6
494,6,6
495,52,52
497,6,No Set
498,1,No Set
499,4,4
500,2,2
501,1,1
502,51,No Set
503,52,52
504,1,1
505,52,No Set
506,5,No Set
507,6,6
508,2,2
510,6,6
511,4,4
512,2,No Set
513,52,52
514,4,No Set
515,8,8
516,1,No Set
517,3,3
518,6,6
519,6,6
520,6,6
521,51,No Set
522,52,52
523,1,1
524,52,52
525,49,No Set
526,4,4
527,2,2
528,52,52
529,4,4
530,1,1
531,51,No Set
532,52,No Set
533,51,No Set
535,2,2
536,2,2
537,1,1
538,52,No Set
539,52,No Set
540,52,No Set
541,52,No Set
542,51,51
543,52,No Set
544,3,3
545,5,5
546,52,52
547,49,No Set
548,6,6
549,6,6
550,5,5
551,52,No Set
552,6,6
553,50,No Set
554,52,52
555,2,No Set
556,51,51
557,5,5
558,5,5
559,7,7
560,4,4
561,52,52
562,1,1
563,50,No Set
564,3,3
565,2,2
566,5,5
567,52,No Set
568,2,2
569,2,2
571,6,6
572,2,2
573,5,5
574,52,52
575,6,6
576,2,No Set
577,5,5
578,6,6
579,52,52
580,49,No Set
581,7,7
582,52,52
583,2,2
584,6,6
585,4,No Set
586,4,4
587,2,2
588,2,2
589,4,No Set
590,52,52
591,6,6
592,5,5
593,2,No Set
594,6,6
595,52,No Set
596,7,7
598,11,11
599,6,No Set
600,2,2
601,2,2
602,1,1
603,7,7
604,52,No Set
605,51,No Set
606,52,No Set
607,1,No Set
608,2,No Set
609,4,4
610,4,4
611,6,6
612,7,7
613,50,No Set
614,4,4
615,4,No Set
616,2,No Set
617,3,3
618,4,No Set
619,4,4
620,5,5
621,4,4
622,3,3
623,52,52
624,2,No Set
625,52,52
626,2,No Set
627,4,No Set
628,52,52
629,4,No Set
630,4,No Set
631,6,6
632,52,52
633,7,7
634,4,4
635,52,No Set
636,7,7
637,11,11
638,4,No Set
639,52,52
640,6,6
641,4,4
642,4,4
643,51,No Set
644,6,6
645,11,11
646,5,5
647,7,7
648,4,4
649,49,49
651,52,52
652,5,5
653,2,2
655,2,No Set
656,2,No Set
657,2,2
658,4,No Set
659,2,No Set
660,1,1
661,1,No Set
662,1,1
663,2,2
664,5,5
665,2,2
666,52,52
667,2,2
668,2,2
669,6,6
670,1,No Set
671,2,2
672,6,6
673,2,No Set
674,2,No Set
675,2,2
676,2,2
677,2,2
678,8,8
680,6,6
681,1,No Set
682,2,No Set
683,2,2
684,2,2
685,6,6
686,2,No Set
687,2,2
688,2,No Set
689,5,5
690,6,6
691,1,1
692,2,2
693,4,4
694,4,No Set
695,2,No Set
696,4,4
697,52,No Set
698,4,4
699,1,1
700,1,1
701,5,No Set
702,4,No Set
703,4,4
705,52,52
706,49,No Set
707,52,52
708,52,No Set
709,7,7
710,2,No Set
711,2,2
712,1,1
713,49,49
714,1,1
715,52,No Set
716,1,No Set
718,49,49
719,6,6
720,6,6
721,52,52
722,6,6
723,52,52
724,6,6
725,52,No Set
726,1,1
727,6,6
728,51,No Set
729,2,2
730,1,1
731,52,52
733,52,52
734,52,52
735,2,2
736,2,No Set
737,2,No Set
738,2,No Set
739,5,5
740,1,No Set
741,2,2
742,6,6
743,3,3
744,2,2
745,4,No Set
746,4,4
747,5,5
748,7,7
749,7,7
750,7,7
751,5,No Set
752,52,52
753,7,7
754,2,2
755,2,2
756,6,6
757,1,1
758,2,2
759,52,No Set
760,2,No Set
761,51,51
762,52,No Set
764,52,No Set
765,3,3
766,1,No Set
767,52,No Set
768,4,4
769,52,No Set
770,5,5
771,52,52
772,52,No Set
773,52,No Set
774,11,11
775,7,7
776,11,11
777,4,4
778,52,52
779,49,49
780,4,No Set
781,1,1
782,2,2
783,2,No Set
784,7,7
785,1,No Set
786,7,7
787,4,No Set
788,2,2
789,52,52
790,11,11
791,52,52
792,5,5
793,52,52
794,5,5
795,2,2
796,7,7
797,7,7
798,7,7
799,5,5
800,52,52
801,4,4
802,8,8
803,51,No Set
804,2,2
805,4,4
806,6,6
807,1,1
808,52,52
809,52,52
810,7,7
811,52,52
812,52,52
813,52,52
814,49,No Set
815,4,4
816,1,1
817,49,No Set
818,51,No Set
819,52,No Set
820,4,4
821,6,6
822,2,2
823,4,4
824,8,8
825,5,5
826,No Set,No Set
827,52,52
828,6,6
829,11,11
830,5,5
831,No Set,No Set
833,5,5
834,4,4
835,8,8
836,50,No Set
837,6,6
838,4,4
839,51,No Set
840,3,No Set
841,5,No Set
842,11,11
843,2,2
844,7,7
845,3,3
846,52,52
847,8,8
848,1,1
849,52,52
850,No Set,No Set
851,13,13
852,7,7
853,52,52
854,5,5
855,4,No Set
856,6,6
857,50,No Set
858,2,2
859,52,No Set
860,50,50
861,1,1
862,52,52
863,52,52
864,2,2
865,2,2
866,5,5
867,11,11
868,6,6
869,13,13
870,5,5
871,4,4
872,52,52
873,13,13
874,1,1
875,52,No Set
876,1,No Set
877,6,No Set
878,6,6
879,2,2
880,1,No Set
881,4,4
882,8,8
884,6,6
885,11,11
886,7,7
887,52,52
888,3,3
889,4,4
890,52,No Set
891,7,7
892,7,7
893,1,No Set
894,2,No Set
895,6,6
