Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
135,42,42,2,1,3,0,0,0,0,6,64, 4.52 ,9.73%,1,10
144,42,12,2,1,3,1,7,0,0,14,64, 4.37 ,6.57%,2,12
30,42,3,2,1,3,1,7,0,0,14,63, 4.35 ,4.86%,3,16
4,42,12,2,1,3,1,7,0,0,14,55, 4.57 ,3.61%,4,34
138,42,14,0,1,3,1,0,0,0,5,55, 4.52 ,3.90%,5,35
8,42,14,0,1,3,1,0,0,0,5,54, 4.37 ,8.74%,6,37
327,42,42,0,1,0,1,0,0,0,2,54, 4.34 ,9.54%,7,38
329,42,12,2,1,3,1,7,0,0,14,53, 4.46 ,8.68%,8,42
21,42,2,0,0,3,1,0,0,0,4,46, 4.37 ,5.64%,9,75
18,42,2,2,1,3,1,7,0,0,14,45, 4.56 ,9.87%,10,76
23,42,2,2,0,3,1,0,0,0,6,45, 4.38 ,4.90%,11,81
109,42,9,0,1,3,1,0,0,0,5,44, 4.54 ,4.93%,12,83
108,42,9,2,1,3,0,0,0,0,6,44, 4.51 ,5.89%,13,84
127,42,42,0,0,3,0,0,0,0,3,44, 4.49 ,12.09%,14,85
553,42,9,2,1,3,1,7,0,0,14,44, 4.47 ,3.65%,15,87
112,42,9,2,1,3,0,0,0,0,6,44, 4.45 ,10.01%,16,90
19,42,2,2,1,3,0,0,0,0,6,44, 4.42 ,3.01%,17,92
2,42,14,2,1,3,0,0,0,0,6,43, 4.45 ,10.22%,18,100
20,42,2,2,1,3,1,0,0,0,7,43, 4.44 ,7.58%,19,102
324,42,42,2,0,3,0,0,0,0,5,43, 4.35 ,11.03%,20,108
137,42,12,2,0,3,1,0,0,0,6,41, 4.48 ,11.27%,21,122
326,42,42,2,0,3,1,0,0,-3,3,41, 4.44 ,11.26%,22,126
322,42,42,0,0,3,1,0,0,-3,1,41, 4.39 ,11.38%,23,129
153,42,12,2,1,3,0,0,0,0,6,41, 4.36 ,12.79%,24,133
22,42,2,2,0,3,0,0,0,0,5,41, 4.32 ,8.19%,25,137
26,42,2,0,1,3,1,0,0,0,5,40, 4.42 ,7.58%,26,145
13,42,14,2,0,3,1,0,0,0,6,40, 4.41 ,5.46%,27,146
328,42,42,0,1,3,0,0,0,-3,1,39, 4.44 ,11.16%,28,153
147,42,12,0,1,0,0,0,0,0,1,37, 4.49 ,8.93%,29,175
39,42,2,2,1,3,0,0,0,-3,3,37, 4.46 ,8.65%,30,177
91,42,9,2,1,3,1,7,0,0,14,37, 4.43 ,6.68%,31,179
105,42,9,0,1,3,0,0,0,0,4,36, 4.47 ,9.79%,32,189
145,42,12,0,1,3,0,0,0,0,4,36, 4.37 ,6.80%,33,193
123,42,2,2,1,0,1,0,0,0,4,36, 4.36 ,8.71%,34,194
90,42,9,2,1,3,0,0,0,0,6,35, 4.54 ,11.46%,35,196
136,42,12,2,0,3,0,0,0,0,5,35, 4.48 ,1.71%,36,198
28,42,3,2,1,3,0,0,0,-3,3,34, 4.37 ,7.05%,37,223
118,42,9,2,1,0,0,0,0,-3,0,33, 4.52 ,17.83%,38,227
111,42,9,2,0,3,0,0,0,0,5,33, 4.42 ,4.23%,39,237
3,42,14,0,1,3,1,0,0,0,5,33, 4.29 ,7.13%,40,243
5,42,12,0,0,3,1,0,0,0,4,32, 4.38 ,10.40%,41,255
93,42,3,0,0,3,0,0,0,0,3,32, 4.38 ,8.55%,42,256
122,42,2,2,1,3,0,0,0,0,6,32, 4.38 ,6.94%,43,257
325,42,42,0,0,3,0,0,0,0,3,31, 4.48 ,10.85%,44,264
97,42,3,2,0,3,0,0,0,-3,2,31, 4.42 ,7.44%,45,270
323,42,42,2,1,3,1,0,0,0,7,31, 4.31 ,13.73%,46,281
110,42,9,2,0,3,0,0,0,0,5,30, 4.61 ,11.60%,47,282
11,42,14,0,1,3,0,0,0,0,4,30, 4.50 ,7.46%,48,283
121,42,2,2,1,3,0,0,0,0,6,30, 4.48 ,9.51%,49,285
10,42,14,2,1,0,1,0,0,0,4,30, 4.46 ,7.95%,50,288
89,42,9,2,0,3,1,0,0,-3,3,30, 4.41 ,7.50%,51,295
120,42,2,2,1,3,0,0,0,0,6,30, 4.38 ,8.37%,52,302
98,42,3,2,0,3,1,0,0,0,6,29, 4.48 ,10.11%,53,310
7,42,14,2,1,3,0,0,0,0,6,29, 4.46 ,10.17%,54,312
92,42,9,2,0,3,1,0,0,0,6,29, 4.41 ,3.50%,55,316
116,42,9,2,1,3,0,0,0,0,6,29, 4.37 ,9.27%,56,318
334,42,42,2,0,3,0,0,0,-3,2,29, 4.35 ,9.69%,57,319
321,42,42,2,1,3,0,0,0,0,6,28, 4.45 ,11.70%,58,327
35,42,2,0,0,3,1,0,0,0,4,28, 4.40 ,9.05%,59,333
101,42,3,2,0,3,0,0,0,0,5,28, 4.38 ,10.08%,60,335
119,42,2,2,0,0,0,0,0,-3,-1,27, 4.37 ,9.64%,61,344
1,42,14,2,0,0,1,0,0,-3,0,27, 4.37 ,5.14%,62,345
27,42,3,2,1,0,0,0,0,0,3,26, 4.30 ,5.37%,63,358
811,42,29,0,0,3,1,0,0,0,4,25, 4.81 ,7.92%,64,359
801,42,29,0,0,3,0,0,0,0,3,25, 4.80 ,9.67%,65,360
24,42,2,0,1,3,0,0,0,0,4,25, 4.51 ,5.24%,66,363
14,42,14,2,1,0,0,0,0,0,3,25, 4.42 ,8.41%,67,369
149,42,12,2,0,3,0,0,0,-3,2,25, 4.41 ,8.42%,68,370
15,42,14,2,0,0,1,0,0,-3,0,24, 4.52 ,6.03%,69,379
294,42,2,2,0,3,0,0,0,0,5,24, 4.48 ,10.72%,70,380
107,42,9,2,1,3,1,0,0,0,7,22, 4.44 ,6.43%,71,394
115,42,9,0,0,3,0,0,0,0,3,20, 4.51 ,12.16%,72,408
151,42,12,0,1,3,0,0,0,0,4,20, 4.46 ,10.21%,73,410
94,42,3,0,1,0,0,0,0,-3,-2,20, 4.40 ,12.66%,74,416
104,42,9,0,1,3,0,0,0,0,4,18, 4.48 ,8.99%,75,432
25,42,2,0,1,3,1,0,0,0,5,15, 4.35 ,8.04%,76,439
32,42,3,0,1,3,0,0,0,-6,-2,14, 4.35 ,7.34%,77,442
114,42,9,0,0,0,0,0,0,-3,-3,14, 4.33 ,9.23%,78,443
16,42,3,2,0,3,0,0,0,-6,-1,12, 4.34 ,-1.26%,79,446
85,42,6,2,0,3,1,0,0,0,6,60, 4.48 ,7.11%,1,20
366,42,46,2,0,0,1,0,0,-3,0,57, 4.54 ,10.86%,2,26
372,42,46,2,0,3,0,0,0,0,5,52, 4.43 ,6.68%,3,46
64,42,6,2,1,3,1,7,0,0,14,51, 4.55 ,4.49%,4,49
369,42,46,0,0,3,0,0,0,0,3,51, 4.49 ,6.00%,5,50
68,42,6,0,0,3,1,0,0,0,4,50, 4.56 ,5.87%,6,53
61,42,6,0,1,3,0,0,0,-3,1,50, 4.46 ,5.53%,7,55
410,42,44,0,1,3,1,0,0,0,5,49, 4.38 ,9.51%,8,60
62,42,6,2,1,3,1,0,0,0,7,46, 4.51 ,5.17%,9,73
140,42,13,2,0,3,1,0,0,0,6,45, 4.43 ,3.66%,10,80
88,42,46,0,0,3,1,0,0,0,4,44, 4.64 ,9.00%,11,82
59,42,6,2,0,3,1,0,0,0,6,44, 4.46 ,5.66%,12,88
77,42,6,0,1,3,0,0,0,0,4,43, 4.50 ,7.58%,13,98
387,42,46,2,1,3,1,0,0,0,7,43, 4.38 ,9.12%,14,103
44,42,5,0,0,0,1,0,0,0,1,43, 4.29 ,8.42%,15,110
134,42,13,2,1,0,1,0,0,0,4,42, 4.43 ,9.85%,16,113
130,42,13,2,1,0,0,0,0,0,3,42, 4.38 ,7.22%,17,116
371,42,46,0,0,3,0,0,0,-6,-3,42, 4.38 ,5.92%,18,117
141,42,13,0,1,0,0,0,0,-3,-2,42, 4.38 ,5.46%,19,118
129,42,13,2,1,3,0,0,0,0,6,41, 4.54 ,3.85%,20,120
503,42,6,2,1,3,1,7,0,0,14,41, 4.47 ,8.31%,21,123
353,42,44,2,0,3,0,0,0,0,5,41, 4.36 ,9.82%,22,134
384,42,46,2,1,0,1,0,0,0,4,41, 4.35 ,8.35%,23,135
63,42,6,0,1,3,1,0,0,0,5,40, 4.48 ,6.41%,24,143
375,42,46,2,1,3,0,0,0,0,6,40, 4.34 ,9.42%,25,148
345,42,44,2,1,0,1,0,0,0,4,39, 4.37 ,9.53%,26,158
53,42,5,2,0,3,1,0,0,0,6,38, 4.48 ,10.03%,27,164
131,42,13,0,0,3,1,0,0,0,4,38, 4.45 ,6.97%,28,165
