Store Number,Ship By Date,Must Arrive By Date,Construction Start
114,12/12/2022,12/26/2022,01/02/2023
118,12/12/2022,12/26/2022,01/02/2023
182,12/12/2022,12/26/2022,01/02/2023
303,12/12/2022,12/26/2022,01/02/2023
305,12/12/2022,12/26/2022,01/02/2023
347,12/12/2022,12/26/2022,01/02/2023
707,12/12/2022,12/26/2022,01/02/2023
816,12/12/2022,12/26/2022,01/02/2023
869,12/12/2022,12/26/2022,01/02/2023
916,12/12/2022,12/26/2022,01/02/2023
954,12/12/2022,12/26/2022,01/02/2023
984,12/12/2022,12/26/2022,01/02/2023
1032,12/12/2022,12/26/2022,01/02/2023
1059,12/12/2022,12/26/2022,01/02/2023
1074,12/12/2022,12/26/2022,01/02/2023
1199,12/12/2022,12/26/2022,01/02/2023
1200,12/12/2022,12/26/2022,01/02/2023
1468,12/12/2022,12/26/2022,01/02/2023
1511,12/12/2022,12/26/2022,01/02/2023
1590,12/12/2022,12/26/2022,01/02/2023
1659,12/12/2022,12/26/2022,01/02/2023
1680,12/12/2022,12/26/2022,01/02/2023
1731,12/12/2022,12/26/2022,01/02/2023
1760,12/12/2022,12/26/2022,01/02/2023
1805,12/12/2022,12/26/2022,01/02/2023
1830,12/12/2022,12/26/2022,01/02/2023
1896,12/12/2022,12/26/2022,01/02/2023
1916,12/12/2022,12/26/2022,01/02/2023
1966,12/12/2022,12/26/2022,01/02/2023
2048,12/12/2022,12/26/2022,01/02/2023
2146,12/12/2022,12/26/2022,01/02/2023
2210,12/12/2022,12/26/2022,01/02/2023
2237,12/12/2022,12/26/2022,01/02/2023
2253,12/12/2022,12/26/2022,01/02/2023
2351,12/12/2022,12/26/2022,01/02/2023
2586,12/12/2022,12/26/2022,01/02/2023
2715,12/12/2022,12/26/2022,01/02/2023
2717,12/12/2022,12/26/2022,01/02/2023
2789,12/12/2022,12/26/2022,01/02/2023
2844,12/12/2022,12/26/2022,01/02/2023
2911,12/12/2022,12/26/2022,01/02/2023
2946,12/12/2022,12/26/2022,01/02/2023
2963,12/12/2022,12/26/2022,01/02/2023
2987,12/12/2022,12/26/2022,01/02/2023
3082,12/12/2022,12/26/2022,01/02/2023
3083,12/12/2022,12/26/2022,01/02/2023
3084,12/12/2022,12/26/2022,01/02/2023
3104,12/12/2022,12/26/2022,01/02/2023
3163,12/12/2022,12/26/2022,01/02/2023
3175,12/12/2022,12/26/2022,01/02/2023
3176,12/12/2022,12/26/2022,01/02/2023
3183,12/12/2022,12/26/2022,01/02/2023
3307,12/12/2022,12/26/2022,01/02/2023
3607,12/12/2022,12/26/2022,01/02/2023
3625,12/12/2022,12/26/2022,01/02/2023
3858,12/12/2022,12/26/2022,01/02/2023
3887,12/12/2022,12/26/2022,01/02/2023
4063,12/12/2022,12/26/2022,01/02/2023
4140,12/12/2022,12/26/2022,01/02/2023
4161,12/12/2022,12/26/2022,01/02/2023
4169,12/12/2022,12/26/2022,01/02/2023
4303,12/12/2022,12/26/2022,01/02/2023
4563,12/12/2022,12/26/2022,01/02/2023
4586,12/12/2022,12/26/2022,01/02/2023
4734,12/12/2022,12/26/2022,01/02/2023
4826,12/12/2022,12/26/2022,01/02/2023
5008,12/12/2022,12/26/2022,01/02/2023
5027,12/12/2022,12/26/2022,01/02/2023
5139,12/12/2022,12/26/2022,01/02/2023
5215,12/12/2022,12/26/2022,01/02/2023
5231,12/12/2022,12/26/2022,01/02/2023
5321,12/12/2022,12/26/2022,01/02/2023
5325,12/12/2022,12/26/2022,01/02/2023
5341,12/12/2022,12/26/2022,01/02/2023
5451,12/12/2022,12/26/2022,01/02/2023
5615,12/12/2022,12/26/2022,01/02/2023
5632,12/12/2022,12/26/2022,01/02/2023
5634,12/12/2022,12/26/2022,01/02/2023
5639,12/12/2022,12/26/2022,01/02/2023
5663,12/12/2022,12/26/2022,01/02/2023
5671,12/12/2022,12/26/2022,01/02/2023
5683,12/12/2022,12/26/2022,01/02/2023
5684,12/12/2022,12/26/2022,01/02/2023
5701,12/12/2022,12/26/2022,01/02/2023
5719,12/12/2022,12/26/2022,01/02/2023
5854,12/12/2022,12/26/2022,01/02/2023
5886,12/12/2022,12/26/2022,01/02/2023
5911,12/12/2022,12/26/2022,01/02/2023
5945,12/12/2022,12/26/2022,01/02/2023
5980,12/12/2022,12/26/2022,01/02/2023
6165,12/12/2022,12/26/2022,01/02/2023
6166,12/12/2022,12/26/2022,01/02/2023
6190,12/12/2022,12/26/2022,01/02/2023
6469,12/12/2022,12/26/2022,01/02/2023
6849,12/12/2022,12/26/2022,01/02/2023
6941,12/12/2022,12/26/2022,01/02/2023
6964,12/12/2022,12/26/2022,01/02/2023
6967,12/12/2022,12/26/2022,01/02/2023
7307,12/12/2022,12/26/2022,01/02/2023
8958,12/12/2022,12/26/2022,01/02/2023
613,12/19/2022,1/2/2023,01/09/2023
623,12/19/2022,1/2/2023,01/09/2023
1517,12/19/2022,1/2/2023,01/09/2023
1789,12/19/2022,1/2/2023,01/09/2023
1840,12/19/2022,1/2/2023,01/09/2023
1957,12/19/2022,1/2/2023,01/09/2023
1976,12/19/2022,1/2/2023,01/09/2023
2097,12/19/2022,1/2/2023,01/09/2023
2117,12/19/2022,1/2/2023,01/09/2023
2119,12/19/2022,1/2/2023,01/09/2023
