Store Nbr,Market,Region,Tier,Details
2680,201,19,Tier 1,ISA On in Total Store
68,329,12,Tier 1,ISA On in Total Store
729,256,41,Tier 1,ISA On in Total Store
1054,411,47,Tier 1,ISA On in Total Store
342,411,47,Tier 1,ISA On in Total Store
2666,219,21,Tier 1,ISA On in Total Store
5196,144,12,Tier 1,ISA On in Total Store
2777,368,46,Tier 1,ISA On in Total Store
557,407,47,Tier 1,ISA On in Total Store
7020,153,12,Tier 1,ISA On in Total Store
4577,542,64,Tier 1,ISA On in Total Store
5207,485,59,Tier 1,ISA On in Total Store
1670,168,22,Tier 1,ISA On in Total Store
2535,232,22,Tier 2,GM Pause
1107,134,13,Tier 1,ISA On in Total Store
5180,485,59,Tier 2,GM Pause
540,129,13,Tier 1,ISA On in Total Store
4383,197,19,Tier 1,ISA On in Total Store
1173,98,3,Tier 1,ISA On in Total Store
3447,219,21,Tier 1,ISA On in Total Store
3436,201,19,Tier 1,ISA On in Total Store
4543,365,57,Tier 1,ISA On in Total Store
4303,553,9,Tier 1,ISA On in Total Store
2959,206,19,Tier 1,ISA On in Total Store
786,264,25,Tier 1,ISA On in Total Store
5040,227,20,Tier 1,ISA On in Total Store
5616,153,12,Tier 1,ISA On in Total Store
1569,259,41,Tier 1,ISA On in Total Store
371,48,5,Tier 1,ISA On in Total Store
2362,209,20,Tier 1,ISA On in Total Store
1057,10,14,Tier 1,ISA On in Total Store
5047,558,22,Tier 1,ISA On in Total Store
5927,340,40,Tier 1,ISA On in Total Store
2873,206,19,Tier 1,ISA On in Total Store
1586,26,2,Tier 1,ISA On in Total Store
578,123,2,Tier 1,ISA On in Total Store
2061,201,19,Tier 1,ISA On in Total Store
6178,490,61,Tier 1,ISA On in Total Store
2950,448,57,Tier 1,ISA On in Total Store
6395,29,4,Tier 1,ISA On in Total Store
5486,266,25,Tier 1,ISA On in Total Store
2585,173,17,Tier 1,ISA On in Total Store
1175,364,46,Tier 1,ISA On in Total Store
2817,238,19,Tier 1,ISA On in Total Store
6394,444,53,Tier 1,ISA On in Total Store
2412,293,75,Tier 1,ISA On in Total Store
866,1,14,Tier 1,ISA On in Total Store
32,333,40,Tier 1,ISA On in Total Store
1953,297,26,Tier 1,ISA On in Total Store
855,22,2,Tier 1,ISA On in Total Store
284,44,5,Tier 1,ISA On in Total Store
391,4,12,Tier 1,ISA On in Total Store
849,59,6,Tier 1,ISA On in Total Store
2191,207,19,Tier 1,ISA On in Total Store
2276,238,19,Tier 1,ISA On in Total Store
5130,166,22,Tier 1,ISA On in Total Store
1927,214,20,Tier 1,ISA On in Total Store
5695,495,59,Tier 1,ISA On in Total Store
4293,9,61,Tier 1,ISA On in Total Store
5340,558,22,Tier 1,ISA On in Total Store
2348,36,4,Tier 1,ISA On in Total Store
5890,450,56,Tier 1,ISA On in Total Store
2422,477,60,Tier 1,ISA On in Total Store
3529,249,25,Tier 1,ISA On in Total Store
329,10,14,Tier 1,ISA On in Total Store
909,125,13,Tier 1,ISA On in Total Store
4260,107,9,Tier 1,ISA On in Total Store
3008,23,2,Tier 1,ISA On in Total Store
2838,396,57,Tier 1,ISA On in Total Store
5260,323,42,Tier 1,ISA On in Total Store
664,406,47,Tier 1,ISA On in Total Store
3494,459,57,Tier 1,ISA On in Total Store
247,351,44,Tier 1,ISA On in Total Store
5028,207,19,Tier 1,ISA On in Total Store
1737,268,25,Tier 1,ISA On in Total Store
877,309,26,Tier 1,ISA On in Total Store
1408,97,3,Tier 1,ISA On in Total Store
4286,265,25,Tier 1,ISA On in Total Store
2398,183,16,Tier 1,ISA On in Total Store
730,10,14,Tier 1,ISA On in Total Store
5760,559,72,Tier 1,ISA On in Total Store
4683,130,13,Tier 1,ISA On in Total Store
1541,107,9,Tier 1,ISA On in Total Store
3435,249,25,Tier 1,ISA On in Total Store
200,275,25,Tier 1,ISA On in Total Store
3185,566,59,Tier 1,ISA On in Total Store
1722,421,52,Tier 1,ISA On in Total Store
651,66,13,Tier 1,ISA On in Total Store
1222,14,14,Tier 1,ISA On in Total Store
3167,125,13,Tier 1,ISA On in Total Store
2554,368,46,Tier 1,ISA On in Total Store
468,47,44,Tier 1,ISA On in Total Store
2214,41,4,Tier 1,ISA On in Total Store
5022,125,13,Tier 1,ISA On in Total Store
513,73,46,Tier 1,ISA On in Total Store
659,153,12,Tier 1,ISA On in Total Store
752,63,6,Tier 1,ISA On in Total Store
3690,800,29,Tier 1,ISA On in Total Store
641,35,2,Tier 1,ISA On in Total Store
2518,558,22,Tier 1,ISA On in Total Store
2123,47,44,Tier 1,ISA On in Total Store
6879,310,26,Tier 1,ISA On in Total Store
5189,369,46,Tier 1,ISA On in Total Store
260,55,5,Tier 1,ISA On in Total Store
2281,235,20,Tier 1,ISA On in Total Store
4424,206,19,Tier 1,ISA On in Total Store
6964,144,12,Tier 1,ISA On in Total Store
2890,32,3,Tier 1,ISA On in Total Store
1257,74,5,Tier 2,GM Pause
3280,192,17,Tier 1,ISA On in Total Store
1286,41,4,Tier 1,ISA On in Total Store
733,10,14,Tier 1,ISA On in Total Store
3716,801,29,Tier 1,ISA On in Total Store
141,321,42,Tier 1,ISA On in Total Store
5686,448,57,Tier 1,ISA On in Total Store
1556,266,25,Tier 1,ISA On in Total Store
1689,376,47,Tier 1,ISA On in Total Store
1455,44,5,Tier 1,ISA On in Total Store
2956,262,25,Tier 1,ISA On in Total Store
6263,509,59,Tier 1,ISA On in Total Store
2649,50,5,Tier 1,ISA On in Total Store
5150,340,40,Tier 1,ISA On in Total Store
1492,376,47,Tier 1,ISA On in Total Store
1596,265,25,Tier 1,ISA On in Total Store
2726,219,21,Tier 1,ISA On in Total Store
3397,553,9,Tier 1,ISA On in Total Store
4516,537,72,Tier 1,ISA On in Total Store
5483,249,25,Tier 1,ISA On in Total Store
848,144,12,Tier 1,ISA On in Total Store
1311,16,3,Tier 2,GM Pause
2816,267,25,Tier 1,ISA On in Total Store
332,5,12,Tier 1,ISA On in Total Store
1580,249,25,Tier 1,ISA On in Total Store
5404,238,19,Tier 1,ISA On in Total Store
465,77,6,Tier 1,ISA On in Total Store
5613,58,64,Tier 1,ISA On in Total Store
1517,108,9,Tier 1,ISA On in Total Store
2650,166,22,Tier 1,ISA On in Total Store
3750,32,3,Tier 1,ISA On in Total Store
1231,379,47,Tier 1,ISA On in Total Store
648,339,40,Tier 1,ISA On in Total Store
4063,105,9,Tier 1,ISA On in Total Store
2365,174,17,Tier 1,ISA On in Total Store
5103,166,22,Tier 1,ISA On in Total Store
688,153,12,Tier 1,ISA On in Total Store
3803,173,17,Tier 1,ISA On in Total Store
2137,296,26,Tier 1,ISA On in Total Store
6998,19,2,Tier 1,ISA On in Total Store
1238,310,26,Tier 1,ISA On in Total Store
5173,120,2,Tier 1,ISA On in Total Store
2897,173,17,Tier 2,GM Pause
7232,561,64,Tier 1,ISA On in Total Store
687,121,2,Tier 1,ISA On in Total Store
873,375,46,Tier 1,ISA On in Total Store
2523,464,57,Tier 1,ISA On in Total Store
5804,494,59,Tier 1,ISA On in Total Store
1102,130,13,Tier 1,ISA On in Total Store
5111,176,17,Tier 1,ISA On in Total Store
3161,548,72,Tier 1,ISA On in Total Store
1561,145,12,Tier 1,ISA On in Total Store
2930,103,72,Tier 1,ISA On in Total Store
172,336,40,Tier 1,ISA On in Total Store
2515,371,46,Tier 1,ISA On in Total Store
2925,453,56,Tier 1,ISA On in Total Store
3182,296,26,Tier 1,ISA On in Total Store
5326,93,3,Tier 1,ISA On in Total Store
4700,557,61,Tier 1,ISA On in Total Store
1314,24,2,Tier 1,ISA On in Total Store
875,140,13,Tier 1,ISA On in Total Store
5301,107,9,Tier 1,ISA On in Total Store
6390,494,59,Tier 1,ISA On in Total Store
1118,55,5,Tier 1,ISA On in Total Store
5135,494,59,Tier 1,ISA On in Total Store
5391,105,9,Tier 1,ISA On in Total Store
485,129,13,Tier 1,ISA On in Total Store
606,29,4,Tier 1,ISA On in Total Store
5105,286,75,Tier 1,ISA On in Total Store
7224,561,64,Tier 1,ISA On in Total Store
5029,207,19,Tier 1,ISA On in Total Store
2766,370,46,Tier 1,ISA On in Total Store
4132,465,57,Tier 1,ISA On in Total Store
4520,97,3,Tier 1,ISA On in Total Store
4065,300,26,Tier 1,ISA On in Total Store
206,52,5,Tier 1,ISA On in Total Store
347,136,12,Tier 1,ISA On in Total Store
5844,206,19,Tier 1,ISA On in Total Store
920,554,59,Tier 1,ISA On in Total Store
604,7,14,Tier 1,ISA On in Total Store
5419,144,12,Tier 1,ISA On in Total Store
3225,583,5,Tier 1,ISA On in Total Store
1711,2,14,Tier 1,ISA On in Total Store
2468,552,61,Tier 1,ISA On in Total Store
2368,174,17,Tier 1,ISA On in Total Store
372,406,47,Tier 1,ISA On in Total Store
5184,219,21,Tier 1,ISA On in Total Store
772,64,6,Tier 1,ISA On in Total Store
1201,3,14,Tier 1,ISA On in Total Store
2987,109,9,Tier 1,ISA On in Total Store
5082,214,20,Tier 1,ISA On in Total Store
1195,143,13,Tier 1,ISA On in Total Store
1128,134,13,Tier 1,ISA On in Total Store
539,134,13,Tier 1,ISA On in Total Store
3061,340,40,Tier 1,ISA On in Total Store
5201,175,17,Tier 1,ISA On in Total Store
303,4,12,Tier 1,ISA On in Total Store
1698,183,16,Tier 1,ISA On in Total Store
3110,495,59,Tier 1,ISA On in Total Store
4686,534,72,Tier 1,ISA On in Total Store
1468,136,12,Tier 1,ISA On in Total Store
3445,207,19,Tier 1,ISA On in Total Store
5497,187,17,Tier 1,ISA On in Total Store
965,438,53,Tier 2,GM Pause
5912,110,9,Tier 1,ISA On in Total Store
1372,299,26,Tier 1,ISA On in Total Store
1751,297,26,Tier 1,ISA On in Total Store
1265,340,40,Tier 1,ISA On in Total Store
919,15,14,Tier 1,ISA On in Total Store
2051,405,46,Tier 1,ISA On in Total Store
5982,552,61,Tier 1,ISA On in Total Store
1021,339,40,Tier 1,ISA On in Total Store
2641,168,22,Tier 1,ISA On in Total Store
3460,278,25,Tier 1,ISA On in Total Store
1853,461,57,Tier 1,ISA On in Total Store
1846,366,46,Tier 1,ISA On in Total Store
5610,512,61,Tier 1,ISA On in Total Store
5422,97,3,Tier 1,ISA On in Total Store
4355,364,46,Tier 1,ISA On in Total Store
1364,365,57,Tier 1,ISA On in Total Store
2860,29,4,Tier 1,ISA On in Total Store
2638,259,41,Tier 1,ISA On in Total Store
6469,140,13,Tier 1,ISA On in Total Store
106,146,41,Tier 1,ISA On in Total Store
3530,561,64,Tier 1,ISA On in Total Store
5058,153,12,Tier 1,ISA On in Total Store
950,145,12,Tier 1,ISA On in Total Store
449,66,13,Tier 1,ISA On in Total Store
101,336,40,Tier 1,ISA On in Total Store
99,336,40,Tier 1,ISA On in Total Store
5425,461,57,Tier 1,ISA On in Total Store
3781,482,25,Tier 1,ISA On in Total Store
940,479,5,Tier 1,ISA On in Total Store
3259,383,54,Tier 1,ISA On in Total Store
2760,14,14,Tier 1,ISA On in Total Store
1702,92,9,Tier 1,ISA On in Total Store
3885,502,59,Tier 1,ISA On in Total Store
132,344,44,Tier 1,ISA On in Total Store
929,107,9,Tier 1,ISA On in Total Store
1998,267,25,Tier 1,ISA On in Total Store
3851,246,21,Tier 1,ISA On in Total Store
5443,249,25,Tier 1,ISA On in Total Store
4295,134,13,Tier 1,ISA On in Total Store
1816,297,26,Tier 1,ISA On in Total Store
3407,368,46,Tier 1,ISA On in Total Store
605,29,4,Tier 1,ISA On in Total Store
2631,197,19,Tier 1,ISA On in Total Store
1686,403,54,Tier 1,ISA On in Total Store
5014,509,59,Tier 1,ISA On in Total Store
7251,58,64,Tier 1,ISA On in Total Store
5932,109,9,Tier 1,ISA On in Total Store
4354,102,72,Tier 1,ISA On in Total Store
2090,174,17,Tier 1,ISA On in Total Store
2403,514,60,Tier 1,ISA On in Total Store
5735,30,3,Tier 1,ISA On in Total Store
4279,44,5,Tier 1,ISA On in Total Store
2748,1,14,Tier 1,ISA On in Total Store
931,92,9,Tier 1,ISA On in Total Store
2490,362,40,Tier 1,ISA On in Total Store
2526,446,57,Tier 1,ISA On in Total Store
2142,184,16,Tier 2,GM Pause
1756,462,57,Tier 1,ISA On in Total Store
511,38,4,Tier 1,ISA On in Total Store
2941,24,2,Tier 1,ISA On in Total Store
375,5,12,Tier 1,ISA On in Total Store
1303,81,5,Tier 1,ISA On in Total Store
229,329,12,Tier 1,ISA On in Total Store
2479,459,57,Tier 1,ISA On in Total Store
800,89,9,Tier 1,ISA On in Total Store
1587,450,56,Tier 1,ISA On in Total Store
987,105,9,Tier 1,ISA On in Total Store
4531,265,25,Tier 1,ISA On in Total Store
3133,515,61,Tier 1,ISA On in Total Store
2793,308,26,Tier 1,ISA On in Total Store
1312,310,26,Tier 1,ISA On in Total Store
1340,20,2,Tier 1,ISA On in Total Store
1206,130,13,Tier 1,ISA On in Total Store
2354,205,19,Tier 1,ISA On in Total Store
3717,153,12,Tier 1,ISA On in Total Store
684,147,12,Tier 1,ISA On in Total Store
