BU,Region,Market,Store Number,Item Number,Item Description,WHPKs Eligible for Return,RA Number
NORTH,20,311,154,599934440,S/8 C9 LIGHT SET,34,9878790156
NORTH,20,311,154,599930768,8.5FT TREX INFLAT,26,9878790156
NORTH,20,311,154,599943242,28IN POPUP PENGUIN,23,9878790156
NORTH,20,311,154,599930767,9FT TRICERA INFLAT,19,9878790156
NORTH,20,311,154,599934424,9FT CLYDESDALE INFLAT,18,9878790156
NORTH,20,311,154,599930760,10FT SNOWMAN INFLAT,14,9878790156
NORTH,20,311,154,599943221,14FT SANTA INFLAT,12,9878790156
NORTH,20,311,154,651104789,S2 EVERGREEN CANDLES,12,9878790156
NORTH,20,311,154,599961518,16X20 FRAMED CANVAS,10,9878790156
NORTH,20,311,154,599934435,11.5FT GRINCH INFLAT,9,9878790156
NORTH,20,311,154,599966161,RED MTL TRUCK W DOG,9,9878790156
NORTH,20,311,154,599974882,4FT LAMP POST,9,9878790156
NORTH,20,311,154,599943011,8FT NTCRKR FACE INFLAT,7,9878790156
NORTH,20,311,154,599942979,6.5FT ANG TREE INFLAT,6,9878790156
NORTH,20,311,154,599947399,15IN WHT CERAMIC TREE,6,9878790156
NORTH,20,311,154,599947400,15IN GRN CERAMIC TREE,6,9878790156
NORTH,20,311,154,599949140,GNOME CANY STKG HLDR,6,9878790156
NORTH,20,311,154,599975097,BLK REINDEER TT DECO,6,9878790156
NORTH,20,311,154,599934414,36IN BLOWMOLD GRINCH,5,9878790156
NORTH,20,311,154,599943182,6FT FABRIC SANTA PJS,5,9878790156
NORTH,20,311,154,599949195,18IN FB SANTA W BAKT,5,9878790156
NORTH,20,311,154,651104806,MANGO WD MERRY TBTP,5,9878790156
NORTH,20,311,154,599949007,10.5IN JUKE BOX,4,9878790156
NORTH,20,311,154,599949291,RED BERRY PLAID POT,4,9878790156
NORTH,20,311,154,651124605,RED MDF CAMPER W WR,4,9878790156
NORTH,20,311,154,599930266,16.5IN MGO ORNAMENT,3,9878790156
NORTH,20,311,154,650843247,MINI HOUSE TT DECOR,3,9878790156
NORTH,20,311,154,650843269,BWN TIERED TRAY SQU,3,9878790156
NORTH,20,311,154,651166140,NAT STAND RESIN DEER,3,9878790156
