Store,Date,Reg,0.01,0.05,0.1,0.25
880,4/24/2024,10,audit,,,
880,4/24/2024,11,audit,,,
880,4/24/2024,12,2,0,0,2
880,4/24/2024,13,audit,,,
880,4/24/2024,14,3,2,2,2
880,4/24/2024,15,2,2,2,2
880,4/24/2024,16,3,2,2,2
880,4/24/2024,17,audit,,,
880,4/24/2024,40,audit,,,
880,4/24/2024,41,1,1,0,1
880,4/24/2024,58,0,0,0,1
880,4/24/2024,62,3,2,0,2
880,4/24/2024,64,3,2,2,2
880,4/24/2024,67,audit,,,
880,4/24/2024,68,0,0,0,1
880,4/24/2024,79,1,0,0,1
880,4/24/2024,90,1,0,0,0
880,4/24/2024,91,0,0,0,2
880,4/24/2024,93,2,0,2,0
880,4/24/2024,95,0,0,0,1
880,4/24/2024,98,0,1,0,0
2918,4/24/2024,17,0,0,0,1
2918,4/24/2024,19,0,0,1,0
2918,4/24/2024,92,audit,,,
5316,4/24/2024,1,0,1,1,1
5316,4/24/2024,2,0,1,1,0
5316,4/24/2024,3,0,0,1,1
5316,4/24/2024,4,2,0,0,1
5316,4/24/2024,5,0,0,0,1
5316,4/24/2024,6,0,0,1,1
5316,4/24/2024,7,audit,,,
5316,4/24/2024,8,2,1,1,1
5316,4/24/2024,9,0,1,0,1
5316,4/24/2024,10,2,0,0,1
5316,4/24/2024,11,2,1,1,1
5316,4/24/2024,12,0,1,1,1
5316,4/24/2024,68,0,0,1,0
5316,4/24/2024,79,1,0,0,0
5316,4/24/2024,90,0,0,0,1
5316,4/24/2024,92,0,0,0,1
5316,4/24/2024,93,0,0,1,1
5316,4/24/2024,94,0,0,0,1
