Store,DC,Commodity,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec
1,6082,FDD,1,1,1,1,1,1,1
2,6082,FDD,1,0,1,1,1,1,1
3,6055,FDD,1,1,1,1,1,1,1
4,6082,FDD,1,0,1,1,1,1,1
5,6082,FDD,1,1,1,1,1,1,1
7,6082,FDD,1,1,1,1,1,1,1
8,6082,FDD,1,1,1,1,1,1,1
9,6059,FDD,1,0,1,1,1,1,1
10,7015,FDD,1,0,1,1,1,1,1
11,6082,FDD,1,0,1,1,1,1,1
12,7015,FDD,1,1,1,1,1,1,1
13,7015,FDD,1,0,1,1,1,1,1
14,6077,FDD,1,0,1,1,1,1,1
15,6082,FDD,1,0,1,1,1,1,1
16,6082,FDD,1,1,1,1,1,1,1
17,7015,FDD,1,0,1,1,1,1,1
18,6082,FDD,1,0,1,1,1,1,1
19,6072,FDD,1,0,1,1,1,1,1
20,6065,FDD,1,1,1,1,1,1,1
21,6077,FDD,1,0,1,1,1,1,1
22,7015,FDD,1,1,1,1,1,1,1
23,6082,FDD,1,1,1,1,1,1,1
24,6082,FDD,1,0,1,1,1,1,1
25,6077,FDD,1,1,1,1,1,1,1
26,6065,FDD,1,1,1,1,1,1,1
27,6077,FDD,1,0,1,1,1,1,1
28,7015,FDD,1,0,1,1,1,1,1
29,6077,FDD,1,1,1,1,1,1,1
30,6059,FDD,1,0,1,1,1,1,1
31,6082,FDD,1,1,1,1,1,1,1
32,6082,FDD,1,0,1,1,1,1,1
33,6082,FDD,1,0,1,1,1,1,1
34,6065,FDD,1,1,1,1,1,1,1
35,6065,FDD,1,0,1,1,1,1,1
36,6072,FDD,1,0,1,1,1,1,1
37,6077,FDD,1,0,1,1,1,1,1
38,6082,FDD,1,0,1,1,1,1,1
39,6065,FDD,1,0,1,1,1,1,1
40,6077,FDD,1,1,1,1,1,1,1
41,7015,FDD,1,1,1,1,1,1,1
42,7015,FDD,1,0,1,1,1,1,1
43,7018,FDD,1,1,1,1,1,1,1
45,6082,FDD,1,0,1,1,1,1,1
46,6065,FDD,1,0,1,1,1,1,1
47,6082,FDD,1,1,1,1,1,1,1
48,6082,FDD,1,0,1,1,1,1,1
49,6042,FDD,1,0,1,1,1,1,1
50,7015,FDD,1,0,1,1,1,1,1
51,6077,FDD,1,1,1,1,1,1,1
52,6082,FDD,1,1,1,1,1,1,1
54,6082,FDD,1,1,1,1,1,1,1
55,6082,FDD,1,1,1,1,1,1,1
56,6065,FDD,1,0,1,1,1,1,1
58,6082,FDD,1,1,1,1,1,1,1
59,7015,FDD,1,0,1,1,1,1,1
60,6077,FDD,1,1,1,1,1,1,1
61,6065,FDD,1,1,1,1,1,1,1
62,6072,FDD,1,0,1,1,1,1,1
63,7015,FDD,1,0,1,1,1,1,1
64,6072,FDD,1,1,0,1,1,1,0
65,6077,FDD,1,0,1,1,1,1,1
66,6082,FDD,1,1,1,1,1,1,1
67,6082,FDD,1,1,1,1,1,1,1
68,6072,FDD,1,0,1,1,1,1,1
69,6059,FDD,1,0,1,1,1,1,1
70,6072,FDD,1,1,1,1,1,1,1
71,6082,FDD,1,0,1,1,1,1,1
72,7015,FDD,1,0,1,1,1,1,1
73,7015,FDD,1,0,1,1,1,1,1
74,6072,FDD,1,0,1,1,1,1,1
75,6057,FDD,1,1,1,1,1,1,1
76,6082,FDD,1,1,1,1,1,1,1
77,6083,FDD,0,0,1,0,1,1,1
78,6065,FDD,1,0,1,1,1,1,1
79,7015,FDD,1,0,1,1,1,1,1
80,6077,FDD,1,1,1,1,1,1,1
81,6082,FDD,1,1,1,1,1,1,1
82,6077,FDD,1,0,1,1,1,1,1
83,6082,FDD,1,0,1,1,1,1,1
85,6082,FDD,1,0,1,1,1,1,1
86,6065,FDD,1,0,1,1,1,1,1
87,6082,FDD,1,1,1,1,1,1,1
88,6077,FDD,1,0,1,1,1,1,1
89,6077,FDD,1,1,1,1,1,1,1
90,7015,FDD,1,0,1,1,1,1,1
91,6072,FDD,1,0,1,1,1,1,1
92,6082,FDD,1,0,1,1,1,1,1
93,6072,FDD,1,0,1,1,1,1,1
94,6072,FDD,1,1,1,1,1,1,1
95,6077,FDD,1,0,1,1,1,1,1
96,6065,FDD,1,1,1,1,1,1,1
97,6072,FDD,1,0,1,1,1,1,1
98,6082,FDD,1,0,1,1,1,0,1
99,6077,FDD,1,0,1,1,1,1,1
100,6082,FDD,1,1,1,1,1,1,1
101,6077,FDD,1,1,1,1,1,1,1
102,6082,FDD,1,0,1,1,1,1,1
103,6042,FDD,1,0,1,1,1,1,1
104,6072,FDD,1,0,1,1,1,1,1
105,6072,FDD,1,1,1,1,1,1,1
106,6072,FDD,1,0,0,1,1,1,0
107,6072,FDD,1,0,1,1,1,1,1
108,6042,FDD,1,1,1,1,1,1,1
109,6077,FDD,1,1,1,1,1,1,1
110,6071,FDD,1,1,1,1,1,1,1
111,7015,FDD,1,0,1,1,1,1,1
112,6072,FDD,1,1,1,1,1,1,1
113,6042,FDD,1,1,1,1,1,1,1
114,6072,FDD,1,1,1,1,1,1,1
115,6072,FDD,1,1,1,1,1,0,1
116,6082,FDD,1,0,1,1,1,0,1
118,6072,FDD,1,1,1,1,1,1,1
119,6082,FDD,1,0,1,1,1,1,1
120,6072,FDD,1,0,1,1,1,1,1
121,7015,FDD,1,1,1,1,1,1,1
122,6059,FDD,1,0,1,1,1,1,1
123,6042,FDD,1,0,1,1,1,1,1
124,6082,FDD,1,0,1,1,1,1,1
125,6082,FDD,1,1,1,1,1,1,1
126,6082,FDD,1,0,1,1,1,1,1
127,6082,FDD,1,0,1,1,1,1,1
128,6082,FDD,1,0,1,1,1,1,1
129,6042,FDD,1,1,1,1,1,1,1
130,6082,FDD,1,0,1,1,1,1,1
131,6056,FDD,1,0,1,1,1,1,1
132,7015,FDD,1,1,0,1,1,0,1
133,6082,FDD,1,0,1,1,1,0,1
134,6042,FDD,1,1,1,1,1,1,1
135,6077,FDD,1,1,1,1,0,1,1
136,7015,FDD,0,0,1,1,0,1,1
137,7015,FDD,1,0,1,1,1,1,1
138,6065,FDD,1,0,1,1,1,1,1
139,6042,FDD,1,1,1,1,1,1,1
140,7010,FDD,1,1,1,1,1,1,1
141,6082,FDD,1,1,1,1,1,1,1
143,6062,FDD,1,0,1,1,1,1,1
144,6082,FDD,1,1,1,1,1,1,1
145,6077,FDD,1,1,1,1,1,1,1
146,6056,FDD,1,0,1,1,1,1,1
147,6042,FDD,1,0,1,1,1,1,1
148,6042,FDD,1,0,1,1,1,1,1
149,7010,FDD,1,1,1,1,1,1,1
150,7015,FDD,1,1,1,1,1,1,1
151,6042,FDD,1,0,1,1,1,1,1
152,6077,FDD,1,0,1,1,1,1,1
153,6072,FDD,1,1,1,1,1,1,1
154,6097,FDD,1,0,1,1,1,1,1
155,6072,FDD,1,1,1,1,1,1,1
157,6082,FDD,1,0,1,1,1,1,1
